Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_A_class,lithology_A_status,lithology_A_source
5774.0,VMS,Paleozoic,felsic,-42.0657812716,145.570973714,502.0,felsic,resolved,Macrostrat_original
5792.0,Porphyry,Cenozoic,other,31.410301572411,97.73015250491,33.0,other,other,Macrostrat_original
5793.0,Porphyry,Cenozoic,other,31.0166666667,97.9166666667,36.55,other,other,Macrostrat_original
5798.0,Porphyry,Cenozoic,other,27.4,101.133333333,33.55,other,other,Macrostrat_original
6001.0,VMS,Paleozoic,volcanic,44.566012554007,-71.257580934437,470.0,volcanic,resolved,Macrostrat_original
6771.0,VMS,Precambrian,volcanic,49.1552777778,-85.7894444444,2720.0,volcanic,resolved,Macrostrat_original
6926.0,Porphyry,Mesozoic,carbonate,44.9833333333,21.7833333333,74.005,carbonate,resolved,Macrostrat_original
7314.0,Porphyry,Unknown,unknown,0.0,0.0,,unknown,unknown,Macrostrat_original
7372.0,VMS,Paleozoic,unknown,0.0,0.0,440.0,unknown,unknown,Macrostrat_original
7376.0,VMS,Paleozoic,unknown,0.0,0.0,500.0,unknown,unknown,Macrostrat_original
7377.0,Porphyry,Paleozoic,felsic,45.6,-70.3333333333,443.0,felsic,resolved,Macrostrat_original
7378.0,Porphyry,Paleozoic,felsic,45.5358333333,-70.2166666667,443.0,felsic,resolved,Macrostrat_original
7797.0,Magmatic sulfide,Precambrian,mafic,-27.22868394857,120.54439591183,2706.0,mafic,resolved,Macrostrat_original
7971.0,Sediment-Hosted,Unknown,carbonate,35.993888855,-106.896942139,,carbonate,resolved,Macrostrat_original
8049.0,Magmatic sulfide,Precambrian,siliciclastic,46.458842,-81.080933,1785.0,siliciclastic,resolved,Macrostrat_original
8064.0,Porphyry,Cenozoic,felsic,38.4891666667,-113.1275,28.0,felsic,resolved,Macrostrat_original
8082.0,Magmatic sulfide,Precambrian,other,46.6333333333,-81.3833333333,1770.0,other,other,Macrostrat_original
8182.0,Magmatic sulfide,Precambrian,felsic,46.5361111111,-80.9988888889,1785.0,felsic,resolved,Macrostrat_original
8302.0,Sediment-Hosted,Precambrian,mafic,26.180074,103.05997,1500.0,mafic,resolved,Macrostrat_original
8417.0,Porphyry,Paleozoic,volcanic,40.8138888889,69.6463888889,293.0,volcanic,resolved,Macrostrat_original
8418.0,VMS,Precambrian,other,18.0163888889,43.7011111111,1520.5,other,other,Macrostrat_original
8428.0,Porphyry,Cenozoic,other,7.33333333333,126.15,10.65,other,other,Macrostrat_original
8563.0,VMS,Cenozoic,other,15.987921786818,119.95553389241,50.0,other,other,Macrostrat_original
8577.0,Porphyry,Cenozoic,other,9.49166666667,122.679166667,28.45,other,other,Macrostrat_original
8582.0,Porphyry,Cenozoic,other,17.3444444444,121.058333333,8.45,other,other,Macrostrat_original
8587.0,VMS,Paleozoic,metamorphic,23.1097222222,97.2966666667,470.0,metamorphic,resolved,Macrostrat_original
8588.0,VMS,Mesozoic,other,24.35,56.4,100.0,other,other,Macrostrat_original
8667.0,VMS,Mesozoic,other,33.8527777778,133.313888889,170.0,other,other,Macrostrat_original
8700.0,VMS,Precambrian,volcanic,54.6611111111,-102.033333333,1520.5,volcanic,resolved,Macrostrat_original
8701.0,Magmatic sulfide,Precambrian,metamorphic,55.7022222222,-97.9247222222,1880.0,metamorphic,resolved,Macrostrat_original
8744.0,Sediment-Hosted,Precambrian,carbonate,-31.087736111111,138.67381944444,630.0,carbonate,resolved,Macrostrat_original
8794.0,VMS,Mesozoic,mafic,55.393361111111,-129.85136388889,226.5,mafic,resolved,Macrostrat_original
8802.0,Porphyry,Cenozoic,other,16.6377777778,120.676666667,10.5,other,other,Macrostrat_original
8831.0,Porphyry,Cenozoic,other,-6.31513109142,155.495322227,3.4,other,other,Macrostrat_original
8859.0,Porphyry,Mesozoic,felsic,49.879444444444,-120.00638888889,143.0,felsic,resolved,Macrostrat_original
8875.0,VMS,Mesozoic,volcanic,49.61,-123.141666667,105.5,volcanic,resolved,Macrostrat_original
8886.0,Porphyry,Cenozoic,volcanic,-33.149265422398,-70.280914306641,4.9535,volcanic,resolved,Macrostrat_original
8905.0,VMS,Paleozoic,volcanic,47.4083333333,-65.8225,445.0,volcanic,resolved,Macrostrat_original
8906.0,VMS,Paleozoic,other,47.4788888889,-65.8922222222,445.0,other,other,Macrostrat_original
8945.0,VMS,Paleozoic,mafic,48.8230555556,-56.8661111111,452.0,mafic,resolved,Macrostrat_original
9014.0,VMS,Paleozoic,other,50.1975,82.4347222222,398.0,other,other,Macrostrat_original
9386.0,Magmatic sulfide,Mesozoic,volcanic,61.4652777778,-139.5275,232.0,volcanic,resolved,Macrostrat_original
9496.0,VMS,Precambrian,felsic,64.871667,20.362968,1520.5,felsic,resolved,Macrostrat_original
9552.0,VMS,Mesozoic,carbonate,38.2294444444,-120.881944444,170.0,carbonate,resolved,Macrostrat_original
9592.0,VMS,Paleozoic,volcanic,-35.5915697261,149.442210503,431.5,volcanic,resolved,Macrostrat_original
9697.0,VMS,Precambrian,siliciclastic,64.058,24.79,1880.0,siliciclastic,resolved,Macrostrat_original
