Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,glim_level1_code,glim_level1_description,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_mapping_rationale,glim_match_method,glim_match_count,glim_overlap_ambiguous,lithology_B_source
2751.0,Magmatic sulfide,Mesozoic,69.4918008,88.4238928,232.3,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
2778.0,Sediment-Hosted,Precambrian,56.5833333333,118.5,2100.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
3063.0,Magmatic sulfide,Precambrian,0.0,0.0,2060.0,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
3064.0,Magmatic sulfide,Unknown,-24.2972222,29.8791667,,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3075.0,Magmatic sulfide,Unknown,-30.716666666667,29.299722222222,,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3123.0,VMS,Paleozoic,37.699166666667,-6.5708333333333,350.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
3326.0,Porphyry,Cenozoic,33.0583333333,-110.745833333,63.5,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3346.0,VMS,Precambrian,34.75,-112.122222222,1520.5,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3373.0,Porphyry,Unknown,31.9822222222,-111.063055556,,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
3374.0,Porphyry,Cenozoic,32.4,-111.5,63.2,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3376.0,Porphyry,Cenozoic,31.8930555556,-111.035,58.0,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
3377.0,Porphyry,Mesozoic,33.149444444444,-110.98722222222,70.3,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3856.0,Sediment-Hosted,Precambrian,46.75,-89.55,1047.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
3978.0,Porphyry,Cenozoic,32.79,-108.06731,55.5,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
4181.0,Porphyry,Cenozoic,40.5222222222,-112.148611111,39.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
4322.0,Sediment-Hosted,Paleozoic,-10.713490343447,25.445446855678,521.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4331.0,Sediment-Hosted,Unknown,-11.6344444444,27.5808333333,,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4343.0,Sediment-Hosted,Precambrian,-12.6819444444,27.9166666667,900.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4345.0,Sediment-Hosted,Precambrian,-12.5227777778,28.2361111111,900.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4346.0,Sediment-Hosted,Precambrian,-13.039544,28.713245,900.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4349.0,Sediment-Hosted,Paleozoic,-12.833055555556,28.201666666667,511.5,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4350.0,Sediment-Hosted,Unknown,-12.7733333333,28.1591666667,,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
