Mindat_id,index_right,glim_attr_identity,glim_attr_litho,glim_attr_xx,glim_attr_shape_length,glim_attr_shape_area,__glim_level1_value_raw,__glim_level1_code,__source_layer,__source_crs,__polygon_row_order,__polygon_area_km2,__original_level1_field,glim_level1_code,glim_level1_description,glim_model_class,glim_assignment_confidence,glim_mapping_rationale,glim_status,__status_rank
196596.0,7165,USA_AK1972,pi____,pi,141450.3511616447,203007472.19686222,pi,pi,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",7165,203.77919036803794,xx,pi,Intermediate plutonic rocks,other,low,Intermediate plutonic not forced into felsic or mafic,other,1
196701.0,6852,USA_AK1659,sspyvr,ss,917560.547755412,801942429.0243127,ss,ss,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",6852,805.1421302306944,xx,ss,Siliciclastic sedimentary rocks,siliciclastic,high,Siliciclastic sedimentary rock,resolved,0
197027.0,8228,USA_AK3069,vb____,vb,332119.87622561376,239981177.4178534,vb,vb,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",8228,240.8036414242477,xx,vb,Basic volcanic rocks,volcanic,high,Basic volcanic rock,resolved,0
197159.0,6776,USA_AK1583,smshmt,sm,1096674.4229184175,5828560800.25188,sm,sm,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",6776,5851.294790308828,xx,sm,Mixed sedimentary rocks,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,other,1
198217.0,5885,USA_AK572,smmxmt,sm,4431196.318435501,14941702864.213917,sm,sm,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",5885,15012.09402359941,xx,sm,Mixed sedimentary rocks,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,other,1
198360.0,7942,USA_AK2762,sspyvr,ss,880223.7892227111,2943632469.112789,ss,ss,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",7942,2953.7561017269686,xx,ss,Siliciclastic sedimentary rocks,siliciclastic,high,Siliciclastic sedimentary rock,resolved,0
198517.0,6852,USA_AK1659,sspyvr,ss,917560.547755412,801942429.0243127,ss,ss,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",6852,805.1421302306944,xx,ss,Siliciclastic sedimentary rocks,siliciclastic,high,Siliciclastic sedimentary rock,resolved,0
198681.0,6852,USA_AK1659,sspyvr,ss,917560.547755412,801942429.0243127,ss,ss,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",6852,805.1421302306944,xx,ss,Siliciclastic sedimentary rocks,siliciclastic,high,Siliciclastic sedimentary rock,resolved,0
199265.0,7197,USA_AK2004,vbpymt,vb,114773.25793408105,157001779.4451195,vb,vb,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",7197,157.59568523175972,xx,vb,Basic volcanic rocks,volcanic,high,Basic volcanic rock,resolved,0
199343.0,8543,USA_AK3389,vb____,vb,531818.7317185053,3232394137.493725,vb,vb,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",8543,3243.1402929323453,xx,vb,Basic volcanic rocks,volcanic,high,Basic volcanic rock,resolved,0
199407.0,6191,USA_AK971,smshmt,sm,163155.5597131564,461825235.03546846,sm,sm,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",6191,463.8202740950511,xx,sm,Mixed sedimentary rocks,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,other,1
199695.0,6852,USA_AK1659,sspyvr,ss,917560.547755412,801942429.0243127,ss,ss,GLiM_export,"PROJCS[""World_Eckert_IV"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Eckert_IV""],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""ESRI"",""54012""]]",6852,805.1421302306944,xx,ss,Siliciclastic sedimentary rocks,siliciclastic,high,Siliciclastic sedimentary rock,resolved,0
