Mindat_id,Deposit_type,age_category,Latitude,Longitude,macrostrat_class,macrostrat_status,glim_level1_code,glim_level1_description,glim_model_class,glim_status,glim_assignment_confidence,agreement_status,glim_overlap_ambiguous,lithology_C_class,lithology_C_status,lithology_C_source,lithology_C_confidence,lithology_C_reason
2751.0,Magmatic sulfide,Mesozoic,69.4918008,88.4238928,carbonate,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
2778.0,Sediment-Hosted,Precambrian,56.5833333333,118.5,metamorphic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3063.0,Magmatic sulfide,Precambrian,0.0,0.0,unknown,unknown,,,unknown,unknown,none,both_unresolved_macro_unknown_glim_unknown,False,unknown,unknown,unresolved_no_class,none,Neither source provides a usable lithology class
3064.0,Magmatic sulfide,Unknown,-24.2972222,29.8791667,mafic,resolved,pb,Basic plutonic rocks,mafic,resolved,high,both_resolved_agree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3075.0,Magmatic sulfide,Unknown,-30.716666666667,29.299722222222,mafic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3123.0,VMS,Paleozoic,37.699166666667,-6.5708333333333,carbonate,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3326.0,Porphyry,Cenozoic,33.0583333333,-110.745833333,carbonate,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3346.0,VMS,Precambrian,34.75,-112.122222222,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3373.0,Porphyry,Unknown,31.9822222222,-111.063055556,other,other,su,Unconsolidated sediments,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
3374.0,Porphyry,Cenozoic,32.4,-111.5,felsic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3376.0,Porphyry,Cenozoic,31.8930555556,-111.035,other,other,su,Unconsolidated sediments,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
3377.0,Porphyry,Mesozoic,33.149444444444,-110.98722222222,carbonate,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3856.0,Sediment-Hosted,Precambrian,46.75,-89.55,siliciclastic,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_agree,False,siliciclastic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
3978.0,Porphyry,Cenozoic,32.79,-108.06731,carbonate,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4181.0,Porphyry,Cenozoic,40.5222222222,-112.148611111,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4322.0,Sediment-Hosted,Paleozoic,-10.713490343447,25.445446855678,other,other,mt,Metamorphics,metamorphic,resolved,high,glim_resolves_macrostrat_other,False,metamorphic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
4331.0,Sediment-Hosted,Unknown,-11.6344444444,27.5808333333,other,other,mt,Metamorphics,metamorphic,resolved,high,glim_resolves_macrostrat_other,False,metamorphic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
4343.0,Sediment-Hosted,Precambrian,-12.6819444444,27.9166666667,metamorphic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_agree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4345.0,Sediment-Hosted,Precambrian,-12.5227777778,28.2361111111,metamorphic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_agree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4346.0,Sediment-Hosted,Precambrian,-13.039544,28.713245,metamorphic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_agree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4349.0,Sediment-Hosted,Paleozoic,-12.833055555556,28.201666666667,volcanic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4350.0,Sediment-Hosted,Unknown,-12.7733333333,28.1591666667,volcanic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4364.0,VMS,Cenozoic,40.402012533194,140.69662520124,volcanic,resolved,py,Pyroclastics,volcanic,resolved,medium,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4381.0,VMS,Precambrian,48.69,-81.3666666667,mafic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4464.0,Porphyry,Cenozoic,32.651040512379,-108.36550795271,volcanic,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4496.0,VMS,Precambrian,45.4425,-91.115277777778,volcanic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
4555.0,Sediment-Hosted,Cenozoic,0.0,0.0,unknown,unknown,,,unknown,unknown,none,both_unresolved_macro_unknown_glim_unknown,False,unknown,unknown,unresolved_no_class,none,Neither source provides a usable lithology class
