Deposit_type,Macrostrat_lithology_status,count,group_total,percent_within_group,cohort,status_variable,grouping,continent_country,GLiM_lithology_status,age_status,coordinate_status
Magmatic sulfide,other,2,18,11.11111111111111,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
Magmatic sulfide,resolved,16,18,88.88888888888889,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
Magmatic sulfide,resolved,4,4,100.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
Porphyry,resolved,3,3,100.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
Porphyry,other,106,182,58.24175824175824,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Porphyry,resolved,76,182,41.75824175824176,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Porphyry,other,12,65,18.46153846153846,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
Porphyry,resolved,53,65,81.53846153846153,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
Porphyry,other,11,171,6.432748538011696,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
Porphyry,resolved,160,171,93.5672514619883,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
Porphyry,other,8,52,15.384615384615385,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
Porphyry,resolved,44,52,84.61538461538461,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
Porphyry,other,88,122,72.1311475409836,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
Porphyry,resolved,34,122,27.868852459016395,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
Sediment-Hosted,other,24,53,45.283018867924525,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
Sediment-Hosted,resolved,29,53,54.716981132075475,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
