Mindat_id,Deposit_type,age_category,litho_class,Latitude_stage0,Longitude_stage0,age_midpoint_ma,Deposit_name,Country,Latitude_main,Longitude_main,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,Latitude,Longitude,coordinate_valid,Country_clean,continent_country,Macrostrat_lithology_status,GLiM_lithology_status,age_status,coordinate_status,Macrostrat_nonresolved,GLiM_nonresolved,age_unknown,coordinate_missing
2567,VMS,Cenozoic,other,16.859871411637,120.77577662768,1.4300000000000002,Mankayan,Philippines,16.859871411637,120.77577662768,other,other,felsic,resolved,16.859871411637,120.77577662768,True,Philippines,Asia,other,resolved,resolved,valid,True,False,False,False
2596,Porphyry,Mesozoic,carbonate,44.7377777778,21.7025,69.05,Moldova  Noua,Romania,44.7377777778,21.7025,carbonate,resolved,metamorphic,resolved,44.7377777778,21.7025,True,Romania,Europe,resolved,resolved,resolved,valid,False,False,False,False
2725,Magmatic sulfide,Precambrian,metamorphic,67.922425,32.838977777778,2496.5,Monchegorsk,Russia,67.922425,32.838977777778,metamorphic,resolved,metamorphic,resolved,67.922425,32.838977777778,True,Russia,Europe,resolved,resolved,resolved,valid,False,False,False,False
2751,Magmatic sulfide,Mesozoic,carbonate,69.4918008,88.4238928,232.3,Talnakh,Russia,69.4918008,88.4238928,carbonate,resolved,siliciclastic,resolved,69.4918008,88.4238928,True,Russia,Europe,resolved,resolved,resolved,valid,False,False,False,False
2778,Sediment-Hosted,Precambrian,metamorphic,56.5833333333,118.5,2100.0,Udokan,Russia,56.5833333333,118.5,metamorphic,resolved,other,other,56.5833333333,118.5,True,Russia,Europe,resolved,other,resolved,valid,False,True,False,False
3063,Magmatic sulfide,Precambrian,unknown,0.0,0.0,2060.0,Merensky Reef,South Africa,0.0,0.0,unknown,unknown,unknown,unknown,0.0,0.0,False,South Africa,Africa,unknown,unknown,resolved,missing_or_invalid,True,True,False,True
3064,Magmatic sulfide,Unknown,mafic,-24.2972222,29.8791667,,Atok,South Africa,-24.2972222,29.8791667,mafic,resolved,mafic,resolved,-24.2972222,29.8791667,True,South Africa,Africa,resolved,resolved,unknown,valid,False,False,True,False
3075,Magmatic sulfide,Unknown,mafic,-30.716666666667,29.299722222222,,Insizwa,South Africa,-30.716666666667,29.299722222222,mafic,resolved,volcanic,resolved,-30.716666666667,29.299722222222,True,South Africa,Africa,resolved,resolved,unknown,valid,False,False,True,False
3123,VMS,Paleozoic,carbonate,37.699166666667,-6.5708333333333,350.0,Rio Tinto,Spain,37.699166666667,-6.5708333333333,carbonate,resolved,other,other,37.699166666667,-6.5708333333333,True,Spain,Europe,resolved,other,resolved,valid,False,True,False,False
3326,Porphyry,Cenozoic,carbonate,33.0583333333,-110.745833333,63.5,Christmas,USA,33.0583333333,-110.745833333,carbonate,resolved,siliciclastic,resolved,33.0583333333,-110.745833333,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
3346,VMS,Precambrian,felsic,34.75,-112.122222222,1520.5,Jerome (United Verde),USA,34.75,-112.122222222,felsic,resolved,felsic,resolved,34.75,-112.122222222,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
3373,Porphyry,Unknown,other,31.9822222222,-111.063055556,,Mission-Pima,USA,31.9822222222,-111.063055556,other,other,other,other,31.9822222222,-111.063055556,True,USA,North America,other,other,unknown,valid,True,True,True,False
3374,Porphyry,Cenozoic,felsic,32.4,-111.5,63.2,Silver  Bell,USA,32.4,-111.5,felsic,resolved,volcanic,resolved,32.4,-111.5,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
3376,Porphyry,Cenozoic,other,31.8930555556,-111.035,58.0,Twin  Buttes,USA,31.8930555556,-111.035,other,other,other,other,31.8930555556,-111.035,True,USA,North America,other,other,resolved,valid,True,True,False,False
3377,Porphyry,Mesozoic,carbonate,33.149444444444,-110.98722222222,70.3,Ray,USA,33.149444444444,-110.98722222222,carbonate,resolved,siliciclastic,resolved,33.149444444444,-110.98722222222,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
3856,Sediment-Hosted,Precambrian,siliciclastic,46.75,-89.55,1047.0,White Pine,USA,46.75,-89.55,siliciclastic,resolved,siliciclastic,resolved,46.75,-89.55,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
3978,Porphyry,Cenozoic,carbonate,32.79,-108.06731,55.5,Santa  Rita,USA,32.79,-108.06731,carbonate,resolved,siliciclastic,resolved,32.79,-108.06731,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
4181,Porphyry,Cenozoic,felsic,40.5222222222,-112.148611111,39.0,Bingham,USA,40.5222222222,-112.148611111,felsic,resolved,felsic,resolved,40.5222222222,-112.148611111,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
4322,Sediment-Hosted,Paleozoic,other,-10.713490343447,25.445446855678,521.0,Kolwezi,DR Congo,-10.713490343447,25.445446855678,other,other,metamorphic,resolved,-10.713490343447,25.445446855678,True,DR Congo,Africa,other,resolved,resolved,valid,True,False,False,False
4331,Sediment-Hosted,Unknown,other,-11.6344444444,27.5808333333,,L'Etoile du Congo,DR Congo,-11.6344444444,27.5808333333,other,other,metamorphic,resolved,-11.6344444444,27.5808333333,True,DR Congo,Africa,other,resolved,unknown,valid,True,False,True,False
4343,Sediment-Hosted,Precambrian,metamorphic,-12.6819444444,27.9166666667,900.0,Fitula,Zambia,-12.6819444444,27.9166666667,metamorphic,resolved,metamorphic,resolved,-12.6819444444,27.9166666667,True,Zambia,Africa,resolved,resolved,resolved,valid,False,False,False,False
4345,Sediment-Hosted,Precambrian,metamorphic,-12.5227777778,28.2361111111,900.0,Mufulira,Zambia,-12.5227777778,28.2361111111,metamorphic,resolved,metamorphic,resolved,-12.5227777778,28.2361111111,True,Zambia,Africa,resolved,resolved,resolved,valid,False,False,False,False
4346,Sediment-Hosted,Precambrian,metamorphic,-13.039544,28.713245,900.0,Bwana M'Kubwa,Zambia,-13.039544,28.713245,metamorphic,resolved,metamorphic,resolved,-13.039544,28.713245,True,Zambia,Africa,resolved,resolved,resolved,valid,False,False,False,False
4349,Sediment-Hosted,Paleozoic,volcanic,-12.833055555556,28.201666666667,511.5,Nkana,Zambia,-12.833055555556,28.201666666667,volcanic,resolved,metamorphic,resolved,-12.833055555556,28.201666666667,True,Zambia,Africa,resolved,resolved,resolved,valid,False,False,False,False
4350,Sediment-Hosted,Unknown,volcanic,-12.7733333333,28.1591666667,,Mindola-Nkana N-S,Zambia,-12.7733333333,28.1591666667,volcanic,resolved,metamorphic,resolved,-12.7733333333,28.1591666667,True,Zambia,Africa,resolved,resolved,unknown,valid,False,False,True,False
4364,VMS,Cenozoic,volcanic,40.402012533194,140.69662520124,14.15,Furutobe-Ainai,Japan,40.402012533194,140.69662520124,volcanic,resolved,volcanic,resolved,40.402012533194,140.69662520124,True,Japan,Asia,resolved,resolved,resolved,valid,False,False,False,False
4381,VMS,Precambrian,mafic,48.69,-81.3666666667,2716.0,Kidd Creek,Canada,48.69,-81.3666666667,mafic,resolved,volcanic,resolved,48.69,-81.3666666667,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
4464,Porphyry,Cenozoic,volcanic,32.651040512379,-108.36550795271,55.5,Tyrone,USA,32.651040512379,-108.36550795271,volcanic,resolved,siliciclastic,resolved,32.651040512379,-108.36550795271,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
