holdout_continent,n_seeds,n_test,hgctm_beats_context_all_seeds,context_beats_global_all_seeds,hgctm_beats_global_all_seeds,hgctm_log_prob_per_recorded_count_median,hgctm_log_prob_per_recorded_count_min,hgctm_log_prob_per_recorded_count_max,hgctm_log_prob_per_recorded_count_std,context_only_log_prob_per_recorded_count_median,context_only_log_prob_per_recorded_count_min,context_only_log_prob_per_recorded_count_max,context_only_log_prob_per_recorded_count_std,global_dm_log_prob_per_recorded_count_median,global_dm_log_prob_per_recorded_count_min,global_dm_log_prob_per_recorded_count_max,global_dm_log_prob_per_recorded_count_std,hgctm_minus_context_mean_per_deposit_median,hgctm_minus_context_mean_per_deposit_min,hgctm_minus_context_mean_per_deposit_max,hgctm_minus_context_mean_per_deposit_std,context_minus_global_mean_per_deposit_median,context_minus_global_mean_per_deposit_min,context_minus_global_mean_per_deposit_max,context_minus_global_mean_per_deposit_std,hgctm_minus_global_mean_per_deposit_median,hgctm_minus_global_mean_per_deposit_min,hgctm_minus_global_mean_per_deposit_max,hgctm_minus_global_mean_per_deposit_std,fold_lda_mean_cosine_to_full_lda_median,fold_lda_mean_cosine_to_full_lda_min,fold_lda_mean_cosine_to_full_lda_max,fold_lda_mean_cosine_to_full_lda_std,fold_lda_minimum_cosine_to_full_lda_median,fold_lda_minimum_cosine_to_full_lda_min,fold_lda_minimum_cosine_to_full_lda_max,fold_lda_minimum_cosine_to_full_lda_std,hgctm_mean_cosine_to_full_hgctm_posthoc_median,hgctm_mean_cosine_to_full_hgctm_posthoc_min,hgctm_mean_cosine_to_full_hgctm_posthoc_max,hgctm_mean_cosine_to_full_hgctm_posthoc_std,hgctm_minimum_cosine_to_full_hgctm_posthoc_median,hgctm_minimum_cosine_to_full_hgctm_posthoc_min,hgctm_minimum_cosine_to_full_hgctm_posthoc_max,hgctm_minimum_cosine_to_full_hgctm_posthoc_std,hgctm_mean_cosine_to_fixed_fold_lda_median,hgctm_mean_cosine_to_fixed_fold_lda_min,hgctm_mean_cosine_to_fixed_fold_lda_max,hgctm_mean_cosine_to_fixed_fold_lda_std
Africa,3,78,False,False,False,-1.423386445191987,-1.4257435825761215,-1.422825105373608,0.001264415025964925,-1.4084658859946284,-1.4092627547523828,-1.4068639682794362,0.0009975145070581814,-1.3857965733544706,-1.3857965733544706,-1.3857965733544706,0.0,-0.2976164110529975,-0.31122004739740816,-0.24429618747207413,0.028880805220800502,-0.40833825973617466,-0.422692113641875,-0.37948320345611275,0.017968049774570526,-0.6770996145091102,-0.7195583071335828,-0.6669883011139489,0.022775680916419412,0.9459529194100168,0.9459529194100168,0.9459529194100168,0.0,0.8354196551671718,0.8354196551671718,0.8354196551671718,1.1102230246251565e-16,0.983240715094975,0.9830809916768756,0.9853932772363935,0.001054392919156822,0.9431940317153931,0.9418709874153137,0.9502606987953186,0.0036829258730625087,0.8532118432764836,0.849582868949187,0.8605906136095552,0.004579982396912579
Asia,3,349,False,True,False,-1.2756873657961758,-1.2762066727877133,-1.275550913221265,0.00028251247084526643,-1.2686121154822612,-1.2689310869893007,-1.2684113924739369,0.00021398726277594164,-1.2820367557421701,-1.2820367557421701,-1.2820367557421701,0.0,-0.13769660214975799,-0.1464726797220549,-0.13030519383689199,0.006608412603554991,0.25891476673194036,0.25276291225089853,0.26278601764607123,0.0041270723946860086,0.12245771841400652,0.11244208700988542,0.12508941549631328,0.005448686078107354,0.834092318670564,0.834092318670564,0.834092318670564,1.1102230246251565e-16,0.25874055202353535,0.25874055202353535,0.25874055202353535,0.0,0.741509952715465,0.7406708342688424,0.7422595747879573,0.0006489435394125598,0.45858752727508545,0.1781245768070221,0.47361329197883606,0.13589163206355653,0.9131878240270842,0.9115621897116121,0.9200465680855122,0.0036768001392842578
Europe,3,171,False,False,False,-1.2107544662236287,-1.2113409697632165,-1.2077421504161263,0.0015765480441306016,-1.1922152679934883,-1.1928545479130912,-1.1920402076482643,0.00034999603283397267,-1.1870684162733967,-1.1870684162733967,-1.1870684162733967,0.0,-0.4298073952226168,-0.4634440306666219,-0.37282677910731554,0.03740127766242282,-0.12358463837834421,-0.13893483340693502,-0.11938114260355359,0.008403998308865316,-0.5687422286295517,-0.5828251732701754,-0.49641141748565976,0.03785559221754596,0.9774726484948143,0.9774726484948143,0.9774726484948143,0.0,0.9239928653062494,0.9239928653062494,0.9239928653062494,0.0,0.930048269884927,0.9176435981478009,0.9362282497542245,0.007727708496219706,0.7700116038322449,0.7687695622444153,0.7806655764579773,0.005339215029540323,0.8407421065337756,0.8303994973032826,0.8408522859538464,0.004901728672084793
North America,3,366,False,True,True,-1.2926940987624824,-1.2930319123093605,-1.2918530774626018,0.0004956574102744704,-1.2819321803031594,-1.2822842985352372,-1.281735846168801,0.00022689555598340156,-1.3039221501212048,-1.3039221501212048,-1.3039221501212048,0.0,-0.19912298194247002,-0.2160758443990621,-0.18977104101982423,0.010887306703543204,0.42063327512605453,0.41389781134797865,0.4243888359857335,0.004340152424697964,0.21477482940550865,0.20831299158667144,0.2308622341062303,0.00948114079052397,0.9000483662017416,0.9000483662017416,0.9000483662017416,1.1102230246251565e-16,0.5516631725883594,0.5516631725883594,0.5516631725883594,0.0,0.7718116215297154,0.7685461555208478,0.7760929891041347,0.0030902727980297866,0.5686655044555664,0.5669497847557068,0.5947576761245728,0.012723660981180055,0.8037484372909395,0.8026618650251053,0.8079791722847943,0.0022937963285312216
Oceania,3,120,False,False,False,-1.2630681906280194,-1.2654545348602089,-1.2625742871945558,0.0012576170593445982,-1.257655024811915,-1.258243588401018,-1.2566759747988228,0.000646559993980177,-1.2667296154344205,-1.2667296154344205,-1.2667296154344205,0.0,-0.13540843864847957,-0.15275188249386398,-0.10420637480560463,0.02008600991620147,0.19223007802008066,0.1797623393242543,0.2129696207974136,0.013696295872476932,0.07756118214893402,0.027010456830390352,0.08802370321447602,0.02664052137378301,0.8377294459062663,0.8377294459062663,0.8377294459062663,1.1102230246251565e-16,0.31115573870468866,0.31115573870468866,0.31115573870468866,0.0,0.7473756982944906,0.7444585333578289,0.7475075259405587,0.0014072662847401853,0.004858274478465319,0.004771326202899218,0.0051123895682394505,0.00014470610086656443,0.9375080357556562,0.9368041793900487,0.9409817653251064,0.0018261810531473796
South America,3,153,True,True,True,-1.2640927222854397,-1.2653501329463064,-1.2628549840091887,0.0010186508413341719,-1.2714614641236628,-1.2729752090047946,-1.271415626160612,0.0007246319626677797,-1.2935732853978392,-1.2935732853978392,-1.2935732853978392,0.0,0.14577351288286655,0.1408730057307347,0.16365933524779802,0.009793049830694385,0.4227259949474961,0.3937867545729144,0.42360230894699585,0.013853258109826828,0.5635990006782308,0.539560267455781,0.5872616441947939,0.019474207260799816,0.8110332437639229,0.8110332437639229,0.8110332437639229,0.0,0.2978065977767013,0.2978065977767013,0.2978065977767013,0.0,0.7323462917868581,0.7276664497996015,0.7354269505345395,0.0031905546540153336,0.005058194976300001,0.004620707593858242,0.0052244942635297775,0.00025464768803669765,0.9206154857821234,0.9192656603441155,0.9212207566518803,0.0008172299493821954
