holdout_continent,fixed_lda_seed,mean_fold_lda_to_full_lda_cosine,minimum_fold_lda_to_full_lda_cosine
Africa,42,0.9459529194100168,0.8354196551671718
Asia,42,0.834092318670564,0.25874055202353535
Europe,42,0.9774726484948143,0.9239928653062494
North America,42,0.9000483662017416,0.5516631725883594
Oceania,42,0.8377294459062663,0.31115573870468866
South America,42,0.8110332437639229,0.2978065977767013
