source,prior_setting,reference_seed,seed,topic,cosine_to_reference_seed
Macrostrat,learned_equal_hyperprior,42,7,6,0.997664749622345
Macrostrat,learned_equal_hyperprior,42,7,7,0.9999803900718689
GLiM,original,42,42,1,1.0000001192092896
GLiM,original,42,42,2,1.0
GLiM,original,42,42,3,0.9999999403953552
GLiM,original,42,42,4,1.0
GLiM,original,42,42,5,0.9999999403953552
GLiM,original,42,42,6,0.9999999403953552
GLiM,original,42,42,7,1.0000001192092896
GLiM,original,42,123,1,0.9996061325073242
GLiM,original,42,123,2,0.9996201992034912
GLiM,original,42,123,3,0.999538004398346
GLiM,original,42,123,4,0.9989044070243835
GLiM,original,42,123,5,0.9993207454681396
GLiM,original,42,123,6,0.9987248182296753
GLiM,original,42,123,7,0.9991673231124878
GLiM,original,42,7,1,0.9987394213676453
GLiM,original,42,7,2,0.9958547353744507
GLiM,original,42,7,3,0.999963641166687
GLiM,original,42,7,4,0.9985882043838501
GLiM,original,42,7,5,0.995471179485321
GLiM,original,42,7,6,0.9965483546257019
GLiM,original,42,7,7,0.9645918607711792
GLiM,equal_low,42,42,1,0.9999999403953552
GLiM,equal_low,42,42,2,1.0
GLiM,equal_low,42,42,3,0.9999999403953552
GLiM,equal_low,42,42,4,1.0000001192092896
GLiM,equal_low,42,42,5,1.0000001192092896
GLiM,equal_low,42,42,6,1.0
GLiM,equal_low,42,42,7,1.0
GLiM,equal_low,42,123,1,0.9996829628944397
GLiM,equal_low,42,123,2,0.997708797454834
GLiM,equal_low,42,123,3,0.9999964237213135
GLiM,equal_low,42,123,4,0.9995229840278625
GLiM,equal_low,42,123,5,0.9954454302787781
GLiM,equal_low,42,123,6,0.9950052499771118
GLiM,equal_low,42,123,7,0.5936079025268555
GLiM,equal_low,42,7,1,0.9996811747550964
GLiM,equal_low,42,7,2,0.9978851079940796
GLiM,equal_low,42,7,3,0.9999932050704956
GLiM,equal_low,42,7,4,0.999570369720459
GLiM,equal_low,42,7,5,0.9992823004722595
GLiM,equal_low,42,7,6,0.9984345436096191
GLiM,equal_low,42,7,7,0.995621383190155
GLiM,equal_high,42,42,1,1.0000001192092896
GLiM,equal_high,42,42,2,0.9999999403953552
GLiM,equal_high,42,42,3,0.9999999403953552
GLiM,equal_high,42,42,4,1.0
GLiM,equal_high,42,42,5,1.0
GLiM,equal_high,42,42,6,0.9999999403953552
GLiM,equal_high,42,42,7,0.9999999403953552
GLiM,equal_high,42,123,1,0.9996289610862732
GLiM,equal_high,42,123,2,0.9963021874427795
GLiM,equal_high,42,123,3,0.9995732307434082
GLiM,equal_high,42,123,4,0.9998261332511902
GLiM,equal_high,42,123,5,0.9991385340690613
GLiM,equal_high,42,123,6,0.9995468854904175
GLiM,equal_high,42,123,7,0.9477849006652832
GLiM,equal_high,42,7,1,0.999282956123352
GLiM,equal_high,42,7,2,0.9975191354751587
GLiM,equal_high,42,7,3,0.9999189972877502
GLiM,equal_high,42,7,4,0.9993113279342651
GLiM,equal_high,42,7,5,0.9987185001373291
GLiM,equal_high,42,7,6,0.999759316444397
GLiM,equal_high,42,7,7,0.9998160600662231
GLiM,reversed,42,42,1,1.0
GLiM,reversed,42,42,2,1.0
GLiM,reversed,42,42,3,0.9999999403953552
GLiM,reversed,42,42,4,1.0
GLiM,reversed,42,42,5,1.0
GLiM,reversed,42,42,6,0.9999999403953552
GLiM,reversed,42,42,7,1.0
GLiM,reversed,42,123,1,0.9993256330490112
GLiM,reversed,42,123,2,0.9985125660896301
GLiM,reversed,42,123,3,0.9999902844429016
GLiM,reversed,42,123,4,0.9990588426589966
GLiM,reversed,42,123,5,0.9982046484947205
GLiM,reversed,42,123,6,0.9977810382843018
GLiM,reversed,42,123,7,0.9756997227668762
GLiM,reversed,42,7,1,0.9995444416999817
GLiM,reversed,42,7,2,0.9949450492858887
GLiM,reversed,42,7,3,0.9997814893722534
GLiM,reversed,42,7,4,0.9987365007400513
GLiM,reversed,42,7,5,0.9969298243522644
GLiM,reversed,42,7,6,0.9968668818473816
GLiM,reversed,42,7,7,0.840272843837738
GLiM,learned_equal_hyperprior,42,42,1,0.9999999403953552
GLiM,learned_equal_hyperprior,42,42,2,0.9999999403953552
GLiM,learned_equal_hyperprior,42,42,3,1.0
GLiM,learned_equal_hyperprior,42,42,4,1.0
GLiM,learned_equal_hyperprior,42,42,5,1.0
GLiM,learned_equal_hyperprior,42,42,6,0.9999999403953552
GLiM,learned_equal_hyperprior,42,42,7,0.9999999403953552
GLiM,learned_equal_hyperprior,42,123,1,0.9995550513267517
GLiM,learned_equal_hyperprior,42,123,2,0.9971386194229126
GLiM,learned_equal_hyperprior,42,123,3,0.9999632835388184
GLiM,learned_equal_hyperprior,42,123,4,0.999142050743103
GLiM,learned_equal_hyperprior,42,123,5,0.9973534941673279
GLiM,learned_equal_hyperprior,42,123,6,0.9991814494132996
GLiM,learned_equal_hyperprior,42,123,7,0.9828194379806519
GLiM,learned_equal_hyperprior,42,7,1,0.9995476603507996
GLiM,learned_equal_hyperprior,42,7,2,0.9979056119918823
GLiM,learned_equal_hyperprior,42,7,3,0.9999838471412659
GLiM,learned_equal_hyperprior,42,7,4,0.9991170763969421
GLiM,learned_equal_hyperprior,42,7,5,0.9965813159942627
GLiM,learned_equal_hyperprior,42,7,6,0.9973084926605225
GLiM,learned_equal_hyperprior,42,7,7,0.9813132882118225
Combined,original,42,42,1,1.0000001192092896
Combined,original,42,42,2,0.9999999403953552
Combined,original,42,42,3,1.0000001192092896
Combined,original,42,42,4,0.9999999403953552
Combined,original,42,42,5,1.0000001192092896
Combined,original,42,42,6,1.0000001192092896
Combined,original,42,42,7,1.0
Combined,original,42,123,1,0.9996069669723511
Combined,original,42,123,2,0.9969688653945923
Combined,original,42,123,3,0.999944269657135
Combined,original,42,123,4,0.9999143481254578
Combined,original,42,123,5,0.9993980526924133
Combined,original,42,123,6,0.9982388615608215
Combined,original,42,123,7,0.996116042137146
Combined,original,42,7,1,0.9990704655647278
Combined,original,42,7,2,0.9994414448738098
Combined,original,42,7,3,0.9999958276748657
Combined,original,42,7,4,0.9998810887336731
Combined,original,42,7,5,0.999552309513092
Combined,original,42,7,6,0.999293327331543
Combined,original,42,7,7,0.9974549412727356
Combined,equal_high,42,42,1,1.0
Combined,equal_high,42,42,2,1.0
Combined,equal_high,42,42,3,1.0
Combined,equal_high,42,42,4,1.0000001192092896
Combined,equal_high,42,42,5,0.9999999403953552
Combined,equal_high,42,42,6,0.9999999403953552
Combined,equal_high,42,42,7,1.0000001192092896
Combined,equal_high,42,123,1,0.9998998045921326
Combined,equal_high,42,123,2,0.9990819692611694
Combined,equal_high,42,123,3,0.9999167323112488
Combined,equal_high,42,123,4,0.9999828934669495
Combined,equal_high,42,123,5,0.9999319314956665
Combined,equal_high,42,123,6,0.9993385076522827
Combined,equal_high,42,123,7,0.9998629689216614
