run_stem,source,prior_setting,seed,run_mode,n_deposits,n_families,n_steps,elapsed_seconds,learn_scales,fixed_sigma_litho,fixed_sigma_age,posterior_sigma_litho_mean,posterior_sigma_age_mean,posterior_sigma_litho_median,posterior_sigma_age_median,posterior_sigma_ratio_lithology_over_age,omega_a,effective_age_scale_sigma_times_omega,kappa,elbo_last,elbo_mean_last_100,elbo_mean_last_100_per_deposit,dm_log_prob_total,dm_log_prob_mean_per_deposit,dm_log_prob_total_per_recorded_count,mean_document_log_prob_per_recorded_count,mean_topic_cosine_to_common_lda,minimum_topic_cosine_to_common_lda,lithology_effect_unweighted_observed,age_effect_unweighted_observed,ratio_unweighted_observed,lithology_effect_weighted_all,age_effect_weighted_all,ratio_weighted_all,lithology_effect_weighted_nonmissing,age_effect_weighted_nonmissing,ratio_weighted_nonmissing_primary,lithology_effect_weighted_strict,age_effect_weighted_strict,ratio_weighted_strict,tau_mean,tau_median
glim__equal_high__seed_123,GLiM,equal_high,123,full,1237,35,5000,162.5807478427887,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.49715647546681274,0.14914694264004383,104.19722879468732,-31315.64791381359,-31271.136670817137,-25.279819459027596,-30471.357274172326,-24.633271846541895,-1.2331589346083498,-1.4870868624880076,0.8682245187536297,0.5253535964445429,0.0067836486850865185,0.003161573689430952,2.1456557244779892,0.007587123546288586,0.0032140779980550926,2.3605909846866555,0.007604382479028357,0.0031615563981146877,2.4052654836595777,0.007264402093477796,0.0031615563981146877,2.2977297187580565,0.2151430994272232,0.1678355485200882
glim__equal_high__seed_7,GLiM,equal_high,7,full,1237,35,5000,171.8751266002655,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.4967226548359024,0.1490167964507707,103.83743562017122,-31244.87129831314,-31253.920226950646,-25.265901557761232,-30474.280288954185,-24.63563483343103,-1.2332772273959605,-1.4851347500162573,0.8716904049012226,0.5248232379374491,0.0066891503520309925,0.002993782330304384,2.234347595788934,0.007405176173772124,0.0030338395448671106,2.440859532700332,0.007423395143201964,0.0030534698715559954,2.4311342359566597,0.0071124891897783775,0.0030534698715559954,2.3293136952269897,0.21578359603881836,0.1634441614151001
glim__reversed__seed_42,GLiM,reversed,42,full,1237,35,5000,156.6727659702301,False,0.15,0.3,0.15,0.3,0.15,0.3,0.5,0.3790478431300884,0.11371435293902651,102.07716879109438,-31238.39683651924,-31248.681213216783,-25.261666300094408,-30500.598276002635,-24.656910489897037,-1.2343423017402928,-1.486460720446331,0.8717058606543728,0.5288541902248358,0.00427872606087476,0.002348560746759176,1.821850282893068,0.004532032227821245,0.002370401885640554,1.9119256760954497,0.004536341469048351,0.0024085365323955384,1.8834430817358168,0.004356994184474554,0.0024085365323955384,1.8089799037181609,0.23436947166919708,0.20284640789031982
glim__reversed__seed_123,GLiM,reversed,123,full,1237,35,5000,162.9675850868225,False,0.15,0.3,0.15,0.3,0.15,0.3,0.5,0.3772016684550641,0.11316050053651922,100.70351550987817,-31248.8891146183,-31250.13167161584,-25.26283886145177,-30503.774178128762,-24.65947791279609,-1.2344708287385173,-1.4891475281765925,0.8725084469877963,0.5292608602387195,0.004416484182002023,0.002489442890509963,1.7740853581490694,0.004666085429143284,0.002508272835307227,1.8602782613844944,0.004671761849053974,0.0024916866620324184,1.8749395420543418,0.0045742407863242,0.0024916866620324184,1.8358009680852423,0.2380256950855255,0.21121792495250702
glim__reversed__seed_7,GLiM,reversed,7,full,1237,35,5000,167.075377702713,False,0.15,0.3,0.15,0.3,0.15,0.3,0.5,0.390138551454203,0.1170415654362609,100.33760349973477,-31278.907104492188,-31265.597952183485,-25.27534191769077,-30498.11784142602,-24.654905288137446,-1.234241919928208,-1.4887532060393955,0.8581767484489744,0.47865983966763165,0.004569205251755193,0.002616204461082816,1.7465015902709886,0.004831684569029398,0.0026405418192683183,1.8298080090124214,0.0048392545365545814,0.002668698006424547,1.8133391357526027,0.004800526421353271,0.002668698006424547,1.798827147094434,0.2431507408618927,0.2148171216249466
glim__learned_equal_hyperprior__seed_42,GLiM,learned_equal_hyperprior,42,full,1237,35,5000,182.64486479759216,True,,,0.2424920531951769,0.1792921226444909,0.24246115965894255,0.17925832027535615,1.352496973199441,0.4527668754267135,0.08117753415836926,103.25107455182693,-31222.1578861475,-31263.21004034698,-25.27341151200241,-30481.561017821004,-24.641520628796286,-1.233571874456536,-1.485526522512329,0.8654630007819153,0.5143559188571794,0.005796641926281154,0.0019236678490415215,3.013327861756053,0.006331301853663033,0.0019359683869978777,3.2703539459552,0.0063435635214976124,0.0019555961924706635,3.2438003029057207,0.006217629602593774,0.0019555961924706635,3.1794036143722173,0.22359664738178253,0.18813955783843994
glim__learned_equal_hyperprior__seed_123,GLiM,learned_equal_hyperprior,123,full,1237,35,5000,191.23755431175232,True,,,0.2402188976090776,0.170786843084562,0.24018620113002073,0.17074971853967752,1.4065421742712207,0.45204526712335263,0.07720338410331494,101.81675391653476,-31241.206506609917,-31244.458214529754,-25.258252396547903,-30482.42787051589,-24.642221398961915,-1.2336069555044877,-1.4875638314882178,0.8578008126097412,0.47243675449169337,0.00576256588101387,0.001839475310407579,3.132722602151718,0.006267121325569979,0.0018735424535071949,3.345065020458001,0.006281072248464512,0.0018877768405203405,3.3272323897845992,0.006102019469284832,0.0018877768405203405,3.2323839016919456,0.22429481148719788,0.1885552853345871
glim__learned_equal_hyperprior__seed_7,GLiM,learned_equal_hyperprior,7,full,1237,35,5000,183.1255166530609,True,,,0.23313081366537325,0.17076888404291796,0.23310163744640686,0.170732845117708,1.3651832122225638,0.4711354140572777,0.0804552688916594,102.93100941816077,-31411.204914093018,-31255.84776468277,-25.267459793599652,-30483.292275475385,-24.64292019036005,-1.2336419374939451,-1.487009917157343,0.8531714140716417,0.4694138787866751,0.005651895946357399,0.0019074256066232919,2.9631016416744704,0.006009568817907509,0.0019037423208551655,3.156713359824872,0.006020185482317689,0.0019552810605061566,3.0789361201909586,0.0059905510768086916,0.0019552810605061566,3.063780035417486,0.2234334498643875,0.18193285167217255
combined__original__seed_42,Combined,original,42,full,1237,35,5000,177.34430050849915,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.42949140804730435,0.06442371120709565,99.40867160708035,-31244.925097346306,-31318.104923193456,-25.31778894356787,-30522.6321706407,-24.6747228541962,-1.235234001240012,-1.488495292982539,0.8439767501145373,0.5337349972964904,0.006471748522017151,0.0014048797311261296,4.606621035687873,0.0068978531362915005,0.0014090174424184205,4.895505852966666,0.006899769671870136,0.0014002886104949371,4.927391125056275,0.007060573320010628,0.0014002886104949371,5.04222720023056,0.20506756007671356,0.16562607884407043
combined__original__seed_123,Combined,original,123,full,1237,35,5000,177.84946370124817,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.40471150191226457,0.06070672528683968,103.03953633084527,-31292.72291481495,-31286.76796372652,-25.292455912470913,-30520.355097948566,-24.672882051696497,-1.235141849370642,-1.4880045341278534,0.8438152404384551,0.534307003167202,0.006693690433166921,0.0014286969788372516,4.685171546043722,0.007129837552547792,0.001426845109474182,4.99692468734414,0.007131833172083793,0.0014368813184766412,4.963411438632141,0.007260239290441968,0.0014368813184766412,5.052775895325272,0.20937253534793854,0.17096787691116333
combined__original__seed_7,Combined,original,7,full,1237,35,5000,170.30914759635925,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.4343776808199988,0.06515665212299981,100.62402713867232,-31291.068123698235,-31286.757676640747,-25.292447596314265,-30525.981320916515,-24.677430332187967,-1.2353695394948003,-1.4864202263528246,0.8415473112580125,0.5346063616375331,0.0063393437885679305,0.0014562230324372649,4.353278067548374,0.0066713033603141405,0.0014500489390493585,4.600743589170031,0.006672974641609659,0.0014565000466239704,4.581513510471204,0.006736954688981733,0.0014565000466239704,4.625440764384016,0.20664440095424652,0.1709308922290802
combined__equal_high__seed_42,Combined,equal_high,42,full,1237,35,5000,166.15337419509888,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.26394289526725534,0.0791828685801766,99.60259145044203,-31258.57598757744,-31283.619375572205,-25.289910570389818,-30518.85995211581,-24.671673364685375,-1.2350813416477462,-1.4868576584957136,0.8469262685090797,0.5354857537957491,0.006509473896585405,0.0013822659151628614,4.7092775891955965,0.006863779420365874,0.0013918725056754442,4.93132768438086,0.006865427244234601,0.0013531384707683384,5.07370634458148,0.007016583170942154,0.0013531384707683384,5.185414000503586,0.2027898132801056,0.16690321266651154
combined__equal_high__seed_123,Combined,equal_high,123,full,1237,35,5000,171.32155990600586,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.2810179738584018,0.08430539215752055,98.61136547132047,-31224.9707968235,-31275.914924428464,-25.28368223478453,-30521.743344179293,-24.674004320274285,-1.2351980309259123,-1.4898116191766102,0.8464615363934949,0.541046767598102,0.006350855168420821,0.0014515998540446163,4.375072889905114,0.006716051217990723,0.0014536451335082383,4.620144946780893,0.006717895368991185,0.0014291254172596024,4.700703862557411,0.00679616404760123,0.0014291254172596024,4.755470699438759,0.2035371959209442,0.17029675841331482
combined__equal_high__seed_7,Combined,equal_high,7,full,1237,35,5000,164.2515904903412,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.26225073175005736,0.0786752195250172,100.32095492629517,-31273.370797634125,-31285.73208186984,-25.29161849787376,-30519.87553248185,-24.672494367406507,-1.2351224416220903,-1.4862857393398565,0.8509041077330401,0.5333692730438382,0.0062624397105537355,0.00130066922865808,4.814782707679483,0.0065973833144590465,0.0012965882119851408,5.088264148536509,0.006599068192578249,0.0013307222146483391,4.959012572223527,0.006706428380874932,0.0013307222146483391,5.039690708588038,0.2045101821422577,0.17577479779720306
combined__learned_equal_hyperprior__seed_42,Combined,learned_equal_hyperprior,42,full,1237,35,5000,183.097101688385,True,,,0.2396037584763805,0.16973284715173312,0.23957399107206104,0.16969882349865245,1.4116522670605183,0.3873825558723193,0.06575154414512409,100.51847575083237,-31424.40769189596,-31356.236735928058,-25.3486149845821,-30532.554680854668,-24.682744285250337,-1.23563555972702,-1.4884893707568616,0.8453531239635023,0.535444905584107,0.005677630950231105,0.0015099234413355588,3.760211143691578,0.005962363087399746,0.00150574663847462,3.959738600804616,0.005963586469355693,0.0015242867038341875,3.912378461581342,0.006076389170228865,0.0015242867038341875,3.9863820598476183,0.21854977309703827,0.1868637055158615
combined__learned_equal_hyperprior__seed_123,Combined,learned_equal_hyperprior,123,full,1237,35,5000,183.8056354522705,True,,,0.2417384124826938,0.1687349820223882,0.24170048480765277,0.16870102662509598,1.4326514252428064,0.3573167601279811,0.060291837096492884,98.60158547116731,-31254.22659802437,-31301.316370686887,-25.304216952859246,-30531.488673869913,-24.681882517275596,-1.2355924190153749,-1.4891600191398209,0.8440554224622995,0.542909961357984,0.005593885027337819,0.001274110353551805,4.390424276628699,0.005883458869271252,0.001272441998215222,4.623754070931033,0.00588495231837842,0.0012885312421138135,4.567178603076986,0.005979225504718918,0.0012885312421138135,4.640341894163234,0.21813000738620758,0.18737736344337463
combined__learned_equal_hyperprior__seed_7,Combined,learned_equal_hyperprior,7,full,1237,35,5000,186.53097200393677,True,,,0.23835832698666917,0.17155411511375626,0.23832660310294485,0.1715195019603319,1.3894060590071857,0.36654159773373474,0.06288171945159327,99.69653178892592,-31297.454039037228,-31292.49888937056,-25.297088835384447,-30531.446304245706,-24.68184826535627,-1.2355907043401744,-1.4884731462442449,0.847764439752053,0.5331376397072417,0.00567680480889976,0.0014335035113617778,3.9600913174652748,0.005934614687781592,0.0014384123111797216,4.125809158929045,0.005935768495105858,0.0014204581686364556,4.178770361681117,0.006039281517484564,0.0014204581686364556,4.251643343557149,0.2189427763223648,0.18568386137485504
