Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_evaporite_merged,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_evaporite_merged,GLiM_model_lithology,Combined_raw_lithology,Combined_evaporite_merged,Combined_model_lithology
Sediment-Hosted,Paleozoic,-12.833055555556,28.201666666667,511.5,4349,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Sediment-Hosted,Unknown,-12.7733333333,28.1591666667,,4350,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Cenozoic,40.402012533194,140.69662520124,14.15,4364,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Precambrian,48.69,-81.3666666667,2716.0,4381,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
Porphyry,Cenozoic,32.651040512379,-108.36550795271,55.5,4464,volcanic,False,volcanic,siliciclastic,False,siliciclastic,volcanic,False,volcanic
VMS,Precambrian,45.4425,-91.115277777778,1820.0,4496,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Porphyry,Cenozoic,33.0905555556,-109.366111111,56.0,5436,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
VMS,Paleozoic,-42.0657812716,145.570973714,502.0,5774,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Porphyry,Cenozoic,31.410301572411,97.73015250491,33.0,5792,other,False,other,other,False,other,other,False,other
Porphyry,Cenozoic,31.0166666667,97.9166666667,36.55,5793,other,False,other,other,False,other,other,False,other
Porphyry,Cenozoic,27.4,101.133333333,33.55,5798,other,False,other,other,False,other,other,False,other
VMS,Paleozoic,44.566012554007,-71.257580934437,470.0,6001,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Precambrian,49.1552777778,-85.7894444444,2720.0,6771,volcanic,False,volcanic,felsic,False,felsic,volcanic,False,volcanic
Porphyry,Mesozoic,44.9833333333,21.7833333333,74.005,6926,carbonate,False,carbonate,carbonate,False,carbonate,carbonate,False,carbonate
Porphyry,Paleozoic,45.6,-70.3333333333,443.0,7377,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Porphyry,Paleozoic,45.5358333333,-70.2166666667,443.0,7378,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Magmatic sulfide,Precambrian,-27.22868394857,120.54439591183,2706.0,7797,mafic,False,mafic,other,False,other,mafic,False,mafic
Sediment-Hosted,Unknown,35.993888855,-106.896942139,,7971,carbonate,False,carbonate,siliciclastic,False,siliciclastic,carbonate,False,carbonate
Magmatic sulfide,Precambrian,46.458842,-81.080933,1785.0,8049,siliciclastic,False,siliciclastic,other,False,other,siliciclastic,False,siliciclastic
Porphyry,Cenozoic,38.4891666667,-113.1275,28.0,8064,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Magmatic sulfide,Precambrian,46.6333333333,-81.3833333333,1770.0,8082,other,False,other,mafic,False,mafic,mafic,False,mafic
Magmatic sulfide,Precambrian,46.5361111111,-80.9988888889,1785.0,8182,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Sediment-Hosted,Precambrian,26.180074,103.05997,1500.0,8302,mafic,False,mafic,other,False,other,mafic,False,mafic
Porphyry,Paleozoic,40.8138888889,69.6463888889,293.0,8417,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Precambrian,18.0163888889,43.7011111111,1520.5,8418,other,False,other,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Porphyry,Cenozoic,7.33333333333,126.15,10.65,8428,other,False,other,other,False,other,other,False,other
VMS,Cenozoic,15.987921786818,119.95553389241,50.0,8563,other,False,other,other,False,other,other,False,other
Porphyry,Cenozoic,9.49166666667,122.679166667,28.45,8577,other,False,other,felsic,False,felsic,felsic,False,felsic
Porphyry,Cenozoic,17.3444444444,121.058333333,8.45,8582,other,False,other,other,False,other,other,False,other
VMS,Paleozoic,23.1097222222,97.2966666667,470.0,8587,metamorphic,False,metamorphic,other,False,other,metamorphic,False,metamorphic
VMS,Mesozoic,24.35,56.4,100.0,8588,other,False,other,mafic,False,mafic,mafic,False,mafic
VMS,Mesozoic,33.8527777778,133.313888889,170.0,8667,other,False,other,metamorphic,False,metamorphic,metamorphic,False,metamorphic
