Deposit_type,age_category,Latitude,Longitude,Mindat_id,mapped_species_count,present_family_count
VMS,Paleozoic,50.1975,82.4347222222,9014,8,6.0
Magmatic sulfide,Mesozoic,61.4652777778,-139.5275,9386,49,17.0
VMS,Precambrian,64.871667,20.362968,9496,75,22.0
VMS,Mesozoic,38.2294444444,-120.881944444,9552,22,16.0
VMS,Paleozoic,-35.5915697261,149.442210503,9592,10,9.0
VMS,Precambrian,64.058,24.79,9697,30,16.0
VMS,Precambrian,64.4138888889,25.1422222222,9702,51,21.0
Porphyry,Cenozoic,40.4722222222,23.7036111111,9706,54,27.0
Sediment-Hosted,Precambrian,-12.648545714661,28.040627977094,9736,14,10.0
VMS,Mesozoic,24.41869265,56.40773624,9743,8,6.0
IOCG,Precambrian,19.75,-14.3833333333,9786,26,17.0
VMS,Precambrian,48.3061111111,-79.0672222222,9832,13,10.0
Porphyry,Cenozoic,47.899009728278,20.089933276176,9905,63,22.0
Sediment-Hosted,Unknown,-12.82324,28.07512,10049,13,11.0
VMS,Precambrian,54.8333333333,-100.283333333,10058,28,16.0
Magmatic sulfide,Precambrian,46.476256349528,-81.06023639679,10328,15,10.0
VMS,Precambrian,54.6513888889,-102.331388889,10351,27,13.0
Magmatic sulfide,Precambrian,46.462280137519,-81.186388528286,10383,43,16.0
VMS,Precambrian,54.722092157646,-101.70988082886,10452,8,7.0
Porphyry,Precambrian,67.0725,20.9575,10591,38,21.0
VMS,Precambrian,67.785476874728,20.078332900302,10617,37,19.0
VMS,Precambrian,67.8776890181,20.1402924561,10618,16,11.0
VMS,Precambrian,64.8467083298,20.2762852907,10663,15,11.0
VMS,Paleozoic,47.4297222222,-66.4016666667,10687,9,8.0
Sediment-Hosted,Paleozoic,45.9369444444,-64.4769444444,10790,13,9.0
VMS,Precambrian,48.0727777778,-77.7133333333,10867,7,6.0
VMS,Precambrian,65.141854,19.157208,10915,15,9.0
VMS,Precambrian,65.09996,19.102939,10917,4,4.0
VMS,Precambrian,65.089900871547,14.45798134795,10918,21,11.0
Magmatic sulfide,Precambrian,46.58,-80.795,11127,18,10.0
VMS,Precambrian,54.763888888889,-101.88361111111,11182,28,18.0
Porphyry,Paleozoic,48.9705555556,-65.5202777778,11307,42,23.0
Porphyry,Unknown,34.4822222222,-111.856944444,11459,12,11.0
VMS,Paleozoic,31.364692687987,-8.0559644848108,11605,14,10.0
IOCG,Precambrian,-30.44,136.872777778,11726,104,32.0
VMS,Cenozoic,40.1669444444,140.832777778,11734,12,10.0
VMS,Paleozoic,47.2908333333,-66.0805555556,11777,19,12.0
VMS,Paleozoic,-41.8402208296,145.516600589,11803,30,16.0
VMS,Mesozoic,55.4333333333,-129.816666667,11824,14,13.0
VMS,Precambrian,-25.453766666667,118.57144444444,11886,16,11.0
Magmatic sulfide,Unknown,-25.541142,27.184777,11952,22,10.0
Porphyry,Cenozoic,18.8808333333,-101.640833333,11973,14,13.0
VMS,Precambrian,60.194208643377,23.363960814819,12048,26,14.0
VMS,Precambrian,61.71,23.25,12053,24,17.0
Porphyry,Precambrian,63.7708333333,25.2338888889,12054,20,13.0
Porphyry,Mesozoic,50.6,-127.477777778,12057,18,13.0
Porphyry,Cenozoic,48.430248,18.769848,12663,59,23.0
VMS,Precambrian,63.6833333333,25.9833333333,13126,34,19.0
VMS,Precambrian,62.4622222222,30.03,13132,25,18.0
Sediment-Hosted,Paleozoic,-35.0919444444,139.004722222,13473,37,22.0
Sediment-Hosted,Precambrian,-32.0744438171387,138.279724121094,13474,10,9.0
Sediment-Hosted,Precambrian,-34.3472222222,138.917777778,13477,14,11.0
Sediment-Hosted,Precambrian,-10.9755555556,25.9002777778,13482,15,7.0
Porphyry,Unknown,40.5815094,45.790990633643,13770,50,27.0
IOCG,Precambrian,28.015,75.775555555556,13826,44,17.0
Sediment-Hosted,Unknown,40.3236111111,-75.47,13841,36,17.0
Sediment-Hosted,Precambrian,-12.379562748361,27.828448825423,13949,22,14.0
VMS,Precambrian,65.065722605543,18.564164400013,13955,26,16.0
IOCG,Unknown,-33.9758333333,137.689166667,13958,8,8.0
VMS,Mesozoic,24.273273850227,56.433540153503,14096,15,10.0
Porphyry,Cenozoic,19.0777777778,-102.031388889,14115,21,15.0
Magmatic sulfide,Precambrian,46.6511111111,-81.3777777778,14297,13,6.0
Sediment-Hosted,Precambrian,-11.513835,27.440574,14351,6,4.0
VMS,Paleozoic,67.132777777778,16.077222222222,14413,80,26.0
Sediment-Hosted,Paleozoic,-11.0163888889,25.2261111111,14738,15,6.0
VMS,Paleozoic,37.573056,-7.970833,14752,60,19.0
VMS,Paleozoic,49.5980555556,-55.9411111111,14853,17,13.0
Porphyry,Precambrian,22.0166666667,80.7166666667,15187,47,23.0
Porphyry,Cenozoic,6.0270953261096,116.65560699783,15213,26,15.0
Sediment-Hosted,Precambrian,-16.8794444444,30.15,15217,7,6.0
VMS,Precambrian,49.8738888889,-90.9708333333,15806,20,9.0
Magmatic sulfide,Unknown,62.0086,32.6768,15930,4,4.0
Porphyry,Precambrian,48.5225,-81.1163888889,15963,19,15.0
Sediment-Hosted,Paleozoic,-12.083470845877,26.426579394645,15998,80,26.0
Porphyry,Mesozoic,42.601169444444,24.187177777778,16033,40,23.0
