likelihood,source,prior_setting,n_seeds,ratio_weighted_nonmissing_primary_mean,ratio_weighted_nonmissing_primary_median,ratio_weighted_nonmissing_primary_min,ratio_weighted_nonmissing_primary_max,ratio_weighted_nonmissing_primary_std,ratio_weighted_strict_mean,ratio_weighted_strict_median,ratio_weighted_strict_min,ratio_weighted_strict_max,ratio_weighted_strict_std,lithology_effect_weighted_nonmissing_mean,lithology_effect_weighted_nonmissing_median,lithology_effect_weighted_nonmissing_min,lithology_effect_weighted_nonmissing_max,lithology_effect_weighted_nonmissing_std,age_effect_weighted_nonmissing_mean,age_effect_weighted_nonmissing_median,age_effect_weighted_nonmissing_min,age_effect_weighted_nonmissing_max,age_effect_weighted_nonmissing_std,omega_a_mean,omega_a_median,omega_a_min,omega_a_max,omega_a_std,kappa_mean,kappa_median,kappa_min,kappa_max,kappa_std,elbo_mean_last_100_per_deposit_mean,elbo_mean_last_100_per_deposit_median,elbo_mean_last_100_per_deposit_min,elbo_mean_last_100_per_deposit_max,elbo_mean_last_100_per_deposit_std,log_prob_mean_per_deposit_mean,log_prob_mean_per_deposit_median,log_prob_mean_per_deposit_min,log_prob_mean_per_deposit_max,log_prob_mean_per_deposit_std,log_prob_per_present_family_mean,log_prob_per_present_family_median,log_prob_per_present_family_min,log_prob_per_present_family_max,log_prob_per_present_family_std,log_prob_per_binary_cell_mean,log_prob_per_binary_cell_median,log_prob_per_binary_cell_min,log_prob_per_binary_cell_max,log_prob_per_binary_cell_std,mean_topic_cosine_to_binary_lda_mean,mean_topic_cosine_to_binary_lda_median,mean_topic_cosine_to_binary_lda_min,mean_topic_cosine_to_binary_lda_max,mean_topic_cosine_to_binary_lda_std,minimum_topic_cosine_to_binary_lda_mean,minimum_topic_cosine_to_binary_lda_median,minimum_topic_cosine_to_binary_lda_min,minimum_topic_cosine_to_binary_lda_max,minimum_topic_cosine_to_binary_lda_std,count_topic_cosine_mean_mean,count_topic_cosine_mean_median,count_topic_cosine_mean_min,count_topic_cosine_mean_max,count_topic_cosine_mean_std,count_topic_cosine_min_mean,count_topic_cosine_min_median,count_topic_cosine_min_min,count_topic_cosine_min_max,count_topic_cosine_min_std,count_top10_jaccard_mean_mean,count_top10_jaccard_mean_median,count_top10_jaccard_mean_min,count_top10_jaccard_mean_max,count_top10_jaccard_mean_std,count_top10_jaccard_min_mean,count_top10_jaccard_min_median,count_top10_jaccard_min_min,count_top10_jaccard_min_max,count_top10_jaccard_min_std,dominant_topic_agreement_with_count_mean,dominant_topic_agreement_with_count_median,dominant_topic_agreement_with_count_min,dominant_topic_agreement_with_count_max,dominant_topic_agreement_with_count_std,mean_absolute_theta_difference_from_count_mean,mean_absolute_theta_difference_from_count_median,mean_absolute_theta_difference_from_count_min,mean_absolute_theta_difference_from_count_max,mean_absolute_theta_difference_from_count_std,count_ratio_weighted_nonmissing_primary_mean,count_ratio_weighted_nonmissing_primary_median,count_ratio_weighted_nonmissing_primary_min,count_ratio_weighted_nonmissing_primary_max,count_ratio_weighted_nonmissing_primary_std,count_ratio_weighted_strict_mean,count_ratio_weighted_strict_median,count_ratio_weighted_strict_min,count_ratio_weighted_strict_max,count_ratio_weighted_strict_std,primary_ratio_all_seeds_gt_1,strict_ratio_all_seeds_gt_1
bernoulli,GLiM,equal_high,3,4.427611675814693,4.469903304319897,4.245728454660442,4.567203268463739,0.1346054737834059,4.2309359674373805,4.298864056814226,3.969734799088401,4.424209046409515,0.1916548622990726,0.006155691826971187,0.00613975070342664,0.006080298064666079,0.006247026712820843,6.899371997399791e-05,0.001392079631744313,0.0013735757320506093,0.0013312956983215893,0.0014713674648607403,5.866185968898697e-05,0.29404949986074697,0.3006535532669856,0.2757232905336602,0.3057716557815951,0.0131259591284514,,,,,,-17.141939520282076,-17.14200562712254,-17.142579485350495,-17.141233448373182,0.0005515018717654926,-16.671753659116888,-16.671728794841304,-16.67257737095715,-16.67095481155221,0.0006626403900506157,-1.3861378731232417,-1.3861358058353737,-1.3862063589107403,-1.386071454623611,5.5093840737479183e-05,-0.47633581883191106,-0.4763351084240372,-0.47635935345591857,-0.4763129946157775,1.8932582572860667e-05,0.8230623510575183,0.822654423838472,0.8217256547242066,0.8248069746098766,0.001290590697183695,0.4755589614427777,0.47099268887087875,0.46437022563473135,0.49131396982272296,0.011463840881009017,0.5483766893545786,0.5483627255473819,0.5467136225530079,0.5500537199633462,0.001363624806308696,0.22176232437292734,0.2226891815662384,0.2195032387971878,0.22309455275535583,0.0016059643373224836,0.4670522443631686,0.4698012071961651,0.45257636854275507,0.47877915735058585,0.010872415641424623,0.13289760348583876,0.1111111111111111,0.1111111111111111,0.17647058823529413,0.030810752992877895,0.6626246294799244,0.6612772837510105,0.5901374292643492,0.7364591754244139,0.059743199642121145,0.11801266670227051,0.11789223551750183,0.11727569997310638,0.11887006461620331,0.0006564436540876837,2.414180953820022,2.406143141843829,2.4052654836595777,2.4311342359566597,0.011993134212968755,2.330693080374443,2.3293136952269897,2.2977297187580565,2.3650358271382816,0.027494909636287375,True,True
bernoulli,GLiM,original,3,4.237712793734141,4.13438898953502,4.131355742480949,4.447393649186453,0.14827192587569846,4.077727761275214,4.028867637418614,3.9174318542093576,4.286883792197669,0.15473454128127828,0.006377923301594639,0.006389178065893803,0.006280644733134424,0.006463947105755692,7.525486580821567e-05,0.0015073963059291286,0.0015453741972673869,0.0014122079646094116,0.001564606755910587,6.776473060223498e-05,0.4292516327731504,0.42737281918930237,0.4049829812528479,0.455399097877301,0.020625124795335636,,,,,,-17.144469308556012,-17.144234584791825,-17.145188869405104,-17.143984471471104,0.0005189508839707558,-16.670932093141825,-16.67107477037128,-16.672320252431856,-16.669401256622333,0.001195938049637884,-1.386069565749189,-1.3860814283471752,-1.3861849813320477,-1.3859422875683445,9.943375234578281e-05,-0.47631234551833784,-0.476316422010608,-0.4763520072123387,-0.4762686073320667,3.4169658561047e-05,0.8219642601989504,0.821886026358072,0.8208674344684602,0.8231393197703193,0.0009291415775129113,0.47422529514256223,0.4720043220909731,0.4717617128968862,0.47890985043982737,0.003313961230422503,0.5415480449086144,0.541246086359024,0.5408827321869987,0.5425153161798205,0.0006998651525627716,0.22325421373049417,0.22429312765598297,0.21824036538600922,0.22722914814949036,0.0037424644732844876,0.4685938662055424,0.47575953458306397,0.4416057184743606,0.48841634555920266,0.019770665213753716,0.1874785001719986,0.17647058823529413,0.05263157894736842,0.3333333333333333,0.11486005781745692,0.645109135004042,0.6459175424413904,0.6313662085691188,0.6580436540016168,0.010906012581432518,0.12000095347563426,0.11963894218206406,0.11814941465854645,0.12221450358629227,0.0016791914979387532,3.9855728372550794,4.04498594135059,3.827041632482546,4.084690937932102,0.11326437761084363,3.826853523135055,3.7401179741711084,3.7366115022077304,4.003831093026326,0.12515022711358353,True,True
bernoulli,Macrostrat,equal_high,3,3.817595803087596,3.752881692466195,3.5122631308449397,4.187642585951654,0.27949393455577254,3.605460019118611,3.5806302901366482,3.327641512197778,3.9081082550214066,0.2376240678916405,0.006241659072508053,0.006287806114626799,0.006094641429994271,0.006342529672903088,0.0001063306395646373,0.001642267764590691,0.001690042530686629,0.0015015145121793812,0.0017352462509060624,0.00010122401766606776,0.3286549581501303,0.3271373106164601,0.31568677177733734,0.34314079205659354,0.011259314600240818,,,,,,-17.132556879243833,-17.132207635635314,-17.133835396590303,-17.131627605505884,0.0009345457690519621,-16.66430356689626,-16.6635264876102,-16.666650882546058,-16.662733330532518,0.0016910928630751345,-1.3855184508839005,-1.3854538422619853,-1.3857136135037957,-1.3853878968859206,0.00014060235728073354,-0.47612295905417873,-0.4761007567888628,-0.4761900252156016,-0.476078095158072,4.831693894496687e-05,0.8078858355432076,0.8079379290176149,0.8073294035489329,0.808390174063075,0.0004346215353424882,0.4620715927414691,0.462648997227227,0.45955944681068134,0.4640063341864989,0.001860779189556788,0.5437360547837757,0.5437733275549752,0.5431702605315617,0.5442645762647901,0.00044752927323432265,0.2409539520740509,0.242055743932724,0.2375352382659912,0.2432708740234375,0.00246777070253064,0.38766059730234875,0.37495808039815115,0.37495808039815115,0.41306563111074385,0.0179640716821897,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.35138776610078154,0.3556992724333064,0.32983023443815684,0.36863379143088115,0.016132179517214504,0.14793979128201803,0.14745739102363586,0.14618678390979767,0.15017519891262054,0.0016636097430289018,3.967939402560361,3.970483306629519,3.95412847280181,3.9792064282497535,0.010394856045085261,3.89523395814642,3.8908769090026296,3.870870402428246,3.923954563008385,0.02188941805310735,True,True
bernoulli,Macrostrat,original,3,3.964211131130343,4.138166747827294,3.4909832372656475,4.263483408298088,0.3385110003102802,3.779738536942055,3.920137567190828,3.3631369800776376,4.0559410635576985,0.2997535546553299,0.006321500621575174,0.006376627993653057,0.006159465430070635,0.006428408441001828,0.00011650995993574697,0.0016043688431628105,0.0015409306541359275,0.00150778314945242,0.0017643927259000838,0.0001139602900178252,0.45300320303420705,0.448654039647182,0.42012302171067256,0.4902325477447665,0.028786835264365814,,,,,,-17.135296019546445,-17.134935572998312,-17.136448629952383,-17.134503855688635,0.0008338577095960222,-16.665809471530167,-16.667100949851324,-16.667647584843714,-16.66267987989546,0.0022241792948922818,-1.3856436561555865,-1.385751033402748,-1.3857964822188247,-1.3853834528451863,0.0001849247068008279,-0.47616598490086187,-0.47620288428146634,-0.47621850242410607,-0.4760765679970131,6.354797985407332e-05,0.8087438680728427,0.8092543636611694,0.8076694970711386,0.80930774348622,0.0007600075168082839,0.46245665443807943,0.4610838629594006,0.4581713557282042,0.46811474462663333,0.004173820234852844,0.5362174212932587,0.5349284346614566,0.5349168756178447,0.5388069536004748,0.001831081935261099,0.23677531878153482,0.23742981255054474,0.23521438241004944,0.23768176138401031,0.0011085309559775204,0.384028960212065,0.3833122992786858,0.37495808039815115,0.3938165009593581,0.007715577692171956,0.09161793372319688,0.1111111111111111,0.05263157894736842,0.1111111111111111,0.02756751583573285,0.24090541632983023,0.26839126919967665,0.12449474535165723,0.32983023443815684,0.0860514181583125,0.1520917365948359,0.15279974043369293,0.1466146856546402,0.15686078369617462,0.004212804556433564,4.549274148321807,4.4491847096841175,4.404303624924801,4.794334110356502,0.17424956563624067,4.509484789414285,4.440196447762523,4.319605455301047,4.768652465179284,0.18975679168659515,True,True
binary_dm,GLiM,equal_high,3,5.1116943252600295,4.949574902853113,4.922283219959255,5.463224852967718,0.2488192019943122,5.001764175367092,4.881219973632056,4.8467845579518345,5.277287994517384,0.19533130940812646,0.004763393109747172,0.004704959110862312,0.004652287770688619,0.004932932447690586,0.00012179561527860664,0.0009328869780824508,0.0009451483311289691,0.0009029341790702485,0.0009505784240481348,2.1295525410701243e-05,0.24409252316220706,0.23940631194756448,0.23905500787538106,0.2538162496636756,0.006877208563766002,17381.27424062436,17182.81637330005,16890.467688973684,18070.538659599337,501.78416193653527,-18.208858707592963,-18.20931774368234,-18.209602829089256,-18.207655550007292,0.000858684868185953,-17.78947445626923,-17.78970749605172,-17.78999254848738,-17.78872332426859,0.0005437298254074342,-1.479068416615475,-1.4790877922177696,-1.4791114923026543,-1.4790059653260013,4.520727208159836e-05,-0.5082706987505494,-0.5082773570300492,-0.5082855013853537,-0.5082492378362454,1.5535137868801712e-05,0.8051357329885351,0.8036014768821038,0.8009126639520278,0.8108930581314736,0.00421643793933302,0.6402341714041389,0.6423353043266363,0.6338645342006186,0.6445026756851615,0.004590104082319581,0.6384850955523905,0.6389280134545905,0.632143926939794,0.644383346262787,0.0050065276417946255,0.01853206908951203,0.019222499802708626,0.015311486087739468,0.021062221378087997,0.0023979519069696215,0.5630154159565923,0.5612454772118637,0.5560510917653774,0.5717496788925359,0.0065299781427564626,0.22549019607843138,0.25,0.17647058823529413,0.25,0.03466209711698762,0.6583131231473996,0.6491511721907841,0.6119644300727567,0.713823767178658,0.0420855252069084,0.12459972004095714,0.1251775473356247,0.12176193296909332,0.12685967981815338,0.002120875451493646,2.414180953820022,2.406143141843829,2.4052654836595777,2.4311342359566597,0.011993134212968755,2.330693080374443,2.3293136952269897,2.2977297187580565,2.3650358271382816,0.027494909636287375,True,True
binary_dm,GLiM,original,3,4.420759581571716,4.327718401923357,4.266965905784167,4.667594437007621,0.17629199422233977,4.343022124391314,4.251572723492675,4.132071649463117,4.645422000218148,0.21932379464864013,0.004769036889627903,0.004775530601070362,0.004665954477828908,0.00486562558998444,8.164461392147538e-05,0.001080527117961969,0.0010781557496336246,0.0010231245806634258,0.001140301023588857,4.7866461710162763e-05,0.3942187877915684,0.40542324501842203,0.3675671877457772,0.40966593061050605,0.018924955904993702,17861.74759903026,17857.93264698815,17531.8128136736,18195.49733642902,270.9615001318879,-18.215517011299042,-18.21245088161604,-18.222663818334222,-18.211436333946867,0.0050705006223463805,-17.78850688784613,-17.788345675524887,-17.7894537436206,-17.787721244392895,0.0007164172214992213,-1.478987970175135,-1.4789745665159486,-1.4790666945058935,-1.478922649503563,5.956500221765593e-05,-0.5082430539384608,-0.5082384478721396,-0.5082701069605886,-0.5082206069826541,2.0469063471405283e-05,0.8057882116945544,0.8048942459746338,0.8020449342896278,0.8104254548194013,0.0034792395834706735,0.6410858657543991,0.6437833499478399,0.6350198690867577,0.6444543782285993,0.004298046565380695,0.6211611142470722,0.623172535427979,0.6090922275824207,0.6312185797308173,0.009144332533468084,0.020093925297260284,0.019678596407175064,0.017512984573841095,0.023090194910764694,0.0022957485853604014,0.5459738674024388,0.5419818276961134,0.5143784786641928,0.58156129584701,0.027572147986904185,0.33730158730158727,0.3333333333333333,0.25,0.42857142857142855,0.07295546155099299,0.648073295607653,0.645109135004042,0.5917542441390461,0.7073565076798707,0.04724094636367597,0.1254801278313001,0.12282396852970123,0.12117884308099747,0.1324375718832016,0.004965288191501601,3.9855728372550794,4.04498594135059,3.827041632482546,4.084690937932102,0.11326437761084363,3.826853523135055,3.7401179741711084,3.7366115022077304,4.003831093026326,0.12515022711358353,True,True
binary_dm,Macrostrat,equal_high,3,4.8496256505923165,4.8171416323945975,4.800686977984048,4.931048341398306,0.05796510356245021,4.813404720374628,4.807588505187595,4.7154572773496515,4.917168378586637,0.08245084741786365,0.004839960660398328,0.004813020232205208,0.004772581186839323,0.004934280562150454,6.870716603782553e-05,0.0009979913841191403,0.0010006554834851268,0.0009907496085945218,0.0010025690602777726,5.179956794997562e-06,0.25336948296132256,0.25507817356747453,0.24805119357274816,0.256979081743745,0.0038398363236923135,17179.210581429656,17163.27802500807,16770.28059142236,17604.07312785854,340.58076205188587,-18.24193030925235,-18.24361487023635,-18.247088208179996,-18.23508784934071,0.0050418556338911865,-17.788038034596624,-17.788380174905228,-17.789388749815277,-17.78634517906937,0.0012658661631233603,-1.4789489883583833,-1.478977434894325,-1.4790612907327259,-1.4788082394480988,0.00010524777818134571,-0.5082296581313323,-0.5082394335687208,-0.5082682499947222,-0.5081812908305535,3.616760466064455e-05,0.7942641675183683,0.793625362394636,0.7929337559386644,0.7962333842218042,0.0014207839834175868,0.6443165957699359,0.6408707645967495,0.6310397508726049,0.6610392718404534,0.012487276963124596,0.6087801435164043,0.6071253355060305,0.6038547248712608,0.6153603701719216,0.004840713488013399,0.03673996031284332,0.03783566132187843,0.03387109935283661,0.038513120263814926,0.0020473576564913145,0.5528341872879688,0.5504852290566576,0.5504852290566575,0.5575321037505911,0.003321928588168197,0.22549019607843138,0.25,0.17647058823529413,0.25,0.03466209711698762,0.11398544866612774,0.12772837510105092,0.068714632174616,0.14551333872271624,0.03282439491305297,0.14224945505460104,0.14311280846595764,0.13985511660575867,0.1437804400920868,0.0017148518794647379,3.967939402560361,3.970483306629519,3.95412847280181,3.9792064282497535,0.010394856045085261,3.89523395814642,3.8908769090026296,3.870870402428246,3.923954563008385,0.02188941805310735,True,True
binary_dm,Macrostrat,original,3,4.694902826841565,4.724211158620404,4.463582593981615,4.896914727922677,0.17811684986776233,4.556527991045733,4.48920659578389,4.364381080798685,4.81599629655462,0.19041744225179025,0.004994657196421251,0.004958737621966161,0.00490873868498001,0.005116495282317584,8.853761086339806e-05,0.0010659867708674416,0.0010390599658152227,0.0010126248663655433,0.0011462754804215589,5.778933743709509e-05,0.38581636862615637,0.3745361946866155,0.3723790279985875,0.4105338831932661,0.017500094986626902,17279.51294620664,17126.60344214355,16939.393994242604,17772.54140223376,356.90301034054096,-18.23294066340928,-18.234721643851714,-18.238258933267144,-18.225841413108977,0.005223512242535079,-17.787824500748656,-17.787524734547535,-17.788496964432454,-17.78745180326598,0.0004764348836075305,-1.478931234535965,-1.4789063111060157,-1.4789871451137886,-1.478900247388091,3.96121757644121e-05,-0.5082235571642474,-0.5082149924156438,-0.5082427704123559,-0.5082129086647423,1.3612425245951036e-05,0.7927821065365706,0.7929062977146006,0.7905657853066391,0.7948742365884719,0.0017611086846088338,0.6478649436417432,0.6408708323770712,0.6408230883458492,0.6619009102023092,0.009924946274921752,0.617093361736763,0.613833020308188,0.6126061723168407,0.6248408925852605,0.005501179551380066,0.019605737179517746,0.016438793390989304,0.016133269295096397,0.026245148852467537,0.0046964296201454465,0.5502235859378716,0.5432900432900433,0.5385804671518957,0.5688002473716759,0.013275649120850197,0.25,0.25,0.25,0.25,0.0,0.10886553489625439,0.08649959579628133,0.0444624090541633,0.19563459983831852,0.0637099376889144,0.14612103501955667,0.14668190479278564,0.13831327855587006,0.15336792171001434,0.006158814891494808,4.549274148321807,4.4491847096841175,4.404303624924801,4.794334110356502,0.17424956563624067,4.509484789414285,4.440196447762523,4.319605455301047,4.768652465179284,0.18975679168659515,True,True
