likelihood,source,prior_setting,reference_seed,seed,topic,cosine_to_reference_seed
bernoulli,Macrostrat,original,42,123,3,0.9999633431434631
bernoulli,Macrostrat,original,42,123,4,0.999894917011261
bernoulli,Macrostrat,original,42,123,5,0.9998308420181274
bernoulli,Macrostrat,original,42,123,6,0.9997395277023315
bernoulli,Macrostrat,original,42,123,7,0.9990993142127991
bernoulli,Macrostrat,original,42,7,1,0.9999355673789978
bernoulli,Macrostrat,original,42,7,2,0.9996353983879089
bernoulli,Macrostrat,original,42,7,3,0.9999464154243469
bernoulli,Macrostrat,original,42,7,4,0.9999386072158813
bernoulli,Macrostrat,original,42,7,5,0.9998990297317505
bernoulli,Macrostrat,original,42,7,6,0.9997884035110474
bernoulli,Macrostrat,original,42,7,7,0.9989410638809204
bernoulli,Macrostrat,equal_high,42,42,1,0.9999999403953552
bernoulli,Macrostrat,equal_high,42,42,2,1.0000001192092896
bernoulli,Macrostrat,equal_high,42,42,3,0.9999999403953552
bernoulli,Macrostrat,equal_high,42,42,4,0.9999998807907104
bernoulli,Macrostrat,equal_high,42,42,5,0.9999998807907104
bernoulli,Macrostrat,equal_high,42,42,6,1.0
bernoulli,Macrostrat,equal_high,42,42,7,0.9999999403953552
bernoulli,Macrostrat,equal_high,42,123,1,0.9999244809150696
bernoulli,Macrostrat,equal_high,42,123,2,0.9993032813072205
bernoulli,Macrostrat,equal_high,42,123,3,0.9999760389328003
bernoulli,Macrostrat,equal_high,42,123,4,0.9998807907104492
bernoulli,Macrostrat,equal_high,42,123,5,0.99991774559021
bernoulli,Macrostrat,equal_high,42,123,6,0.9996891021728516
bernoulli,Macrostrat,equal_high,42,123,7,0.9990928173065186
bernoulli,Macrostrat,equal_high,42,7,1,0.9999558329582214
bernoulli,Macrostrat,equal_high,42,7,2,0.9998005628585815
bernoulli,Macrostrat,equal_high,42,7,3,0.9999644160270691
bernoulli,Macrostrat,equal_high,42,7,4,0.9999392628669739
bernoulli,Macrostrat,equal_high,42,7,5,0.9999414682388306
bernoulli,Macrostrat,equal_high,42,7,6,0.9997380971908569
bernoulli,Macrostrat,equal_high,42,7,7,0.9987375140190125
bernoulli,GLiM,original,42,42,1,1.0
bernoulli,GLiM,original,42,42,2,1.0
bernoulli,GLiM,original,42,42,3,1.0
bernoulli,GLiM,original,42,42,4,1.0
bernoulli,GLiM,original,42,42,5,0.9999998807907104
bernoulli,GLiM,original,42,42,6,0.9999999403953552
bernoulli,GLiM,original,42,42,7,1.0000001192092896
bernoulli,GLiM,original,42,123,1,0.9999188184738159
bernoulli,GLiM,original,42,123,2,0.9998821020126343
bernoulli,GLiM,original,42,123,3,0.9999397397041321
bernoulli,GLiM,original,42,123,4,0.99920254945755
bernoulli,GLiM,original,42,123,5,0.9999352097511292
bernoulli,GLiM,original,42,123,6,0.9998677372932434
bernoulli,GLiM,original,42,123,7,0.9992347955703735
bernoulli,GLiM,original,42,7,1,0.9999133348464966
bernoulli,GLiM,original,42,7,2,0.9997720718383789
bernoulli,GLiM,original,42,7,3,0.9999249577522278
bernoulli,GLiM,original,42,7,4,0.9990848302841187
bernoulli,GLiM,original,42,7,5,0.999832272529602
bernoulli,GLiM,original,42,7,6,0.9998989701271057
bernoulli,GLiM,original,42,7,7,0.9981291890144348
bernoulli,GLiM,equal_high,42,42,1,1.0
bernoulli,GLiM,equal_high,42,42,2,1.0
bernoulli,GLiM,equal_high,42,42,3,1.0
bernoulli,GLiM,equal_high,42,42,4,1.0000001192092896
bernoulli,GLiM,equal_high,42,42,5,1.0000001192092896
bernoulli,GLiM,equal_high,42,42,6,1.0
bernoulli,GLiM,equal_high,42,42,7,0.9999999403953552
bernoulli,GLiM,equal_high,42,123,1,0.999873161315918
bernoulli,GLiM,equal_high,42,123,2,0.9998869895935059
bernoulli,GLiM,equal_high,42,123,3,0.99995356798172
bernoulli,GLiM,equal_high,42,123,4,0.9921339154243469
bernoulli,GLiM,equal_high,42,123,5,0.9999101161956787
bernoulli,GLiM,equal_high,42,123,6,0.9999094605445862
bernoulli,GLiM,equal_high,42,123,7,0.9926545023918152
bernoulli,GLiM,equal_high,42,7,1,0.999918520450592
bernoulli,GLiM,equal_high,42,7,2,0.9998598694801331
bernoulli,GLiM,equal_high,42,7,3,0.999966561794281
bernoulli,GLiM,equal_high,42,7,4,0.9912610054016113
bernoulli,GLiM,equal_high,42,7,5,0.9999246597290039
bernoulli,GLiM,equal_high,42,7,6,0.9999192357063293
bernoulli,GLiM,equal_high,42,7,7,0.9914001822471619
