analysis,run_stem,likelihood,source,prior_setting,seed,run_mode,n_deposits,n_families,n_steps,sigma_litho,sigma_age,elapsed_seconds,omega_a,kappa,elbo_mean_last_100,elbo_mean_last_100_per_deposit,log_prob_total,log_prob_mean_per_deposit,log_prob_per_present_family,log_prob_per_binary_cell,mean_topic_cosine_to_binary_lda,minimum_topic_cosine_to_binary_lda,lithology_effect_weighted_nonmissing,age_effect_weighted_nonmissing,ratio_weighted_nonmissing_primary,lithology_effect_weighted_strict,age_effect_weighted_strict,ratio_weighted_strict,tau_mean,tau_median,count_reference_available,count_topic_cosine_mean,count_topic_cosine_min,count_top10_jaccard_mean,count_top10_jaccard_min,dominant_topic_agreement_with_count,mean_absolute_theta_difference_from_count,count_ratio_weighted_nonmissing_primary,count_ratio_weighted_strict
presence_absence_sensitivity,presence_absence__binary_dm__macrostrat__original__seed_42,binary_dm,Macrostrat,original,42,full,1237,35,5000,0.3,0.15,185.5762836933136,0.4105338831932661,16939.393994242604,-22556.35067344457,-18.234721643851714,-22003.07788064002,-17.78745180326598,-1.478900247388091,-0.5082129086647423,0.7905657853066391,0.6408230883458492,0.005116495282317584,0.0011462754804215589,4.463582593981615,0.005002783020135275,0.0011462754804215589,4.364381080798685,0.17836986482143402,0.16437172889709473,1.0,0.613833020308188,0.016438793390989304,0.5385804671518957,0.25,0.19563459983831852,0.13831327855587006,4.794334110356502,4.768652465179284
presence_absence_sensitivity,presence_absence__binary_dm__macrostrat__original__seed_123,binary_dm,Macrostrat,original,123,full,1237,35,5000,0.3,0.15,172.98382687568665,0.3745361946866155,17772.54140223376,-22545.365828015805,-18.225841413108977,-22004.370745002947,-17.788496964432454,-1.4789871451137886,-0.5082427704123559,0.7929062977146006,0.6408708323770712,0.004958737621966161,0.0010126248663655433,4.896914727922677,0.004876797606215574,0.0010126248663655433,4.81599629655462,0.17645126581192017,0.16399966180324554,1.0,0.6248408925852605,0.016133269295096397,0.5432900432900433,0.25,0.0444624090541633,0.15336792171001434,4.4491847096841175,4.440196447762523
presence_absence_sensitivity,presence_absence__binary_dm__macrostrat__original__seed_7,binary_dm,Macrostrat,original,7,full,1237,35,5000,0.3,0.15,174.96755743026733,0.3723790279985875,17126.60344214355,-22560.726300451457,-18.238258933267144,-22003.1680966353,-17.787524734547535,-1.4789063111060157,-0.5082149924156438,0.7948742365884719,0.6619009102023092,0.00490873868498001,0.0010390599658152227,4.724211158620404,0.004664554851952681,0.0010390599658152227,4.48920659578389,0.17522965371608734,0.1587502807378769,1.0,0.6126061723168407,0.026245148852467537,0.5688002473716759,0.25,0.08649959579628133,0.14668190479278564,4.404303624924801,4.319605455301047
presence_absence_sensitivity,presence_absence__binary_dm__macrostrat__equal_high__seed_42,binary_dm,Macrostrat,equal_high,42,full,1237,35,5000,0.3,0.3,175.2775285243988,0.25507817356747453,17163.27802500807,-22556.80366963446,-18.23508784934071,-22001.708986508813,-17.78634517906937,-1.4788082394480988,-0.5081812908305535,0.7962333842218042,0.6610392718404534,0.004772581186839323,0.0009907496085945218,4.8171416323945975,0.0047631164297981315,0.0009907496085945218,4.807588505187595,0.1726936548948288,0.16192743182182312,1.0,0.6153603701719216,0.038513120263814926,0.5504852290566575,0.25,0.12772837510105092,0.1437804400920868,3.95412847280181,3.923954563008385
presence_absence_sensitivity,presence_absence__binary_dm__macrostrat__equal_high__seed_123,binary_dm,Macrostrat,equal_high,123,full,1237,35,5000,0.3,0.3,173.77229976654053,0.256979081743745,16770.28059142236,-22567.351594482363,-18.24361487023635,-22004.226276357767,-17.788380174905228,-1.478977434894325,-0.5082394335687208,0.7929337559386644,0.6408707645967495,0.004813020232205208,0.0010025690602777726,4.800686977984048,0.004727571571332424,0.0010025690602777726,4.7154572773496515,0.1749529093503952,0.16178840398788452,1.0,0.6071253355060305,0.03387109935283661,0.5575321037505911,0.17647058823529413,0.068714632174616,0.14311280846595764,3.970483306629519,3.8908769090026296
presence_absence_sensitivity,presence_absence__binary_dm__macrostrat__equal_high__seed_7,binary_dm,Macrostrat,equal_high,7,full,1237,35,5000,0.3,0.3,175.9298825263977,0.24805119357274816,17604.07312785854,-22571.648113518655,-18.247088208179996,-22005.473883521496,-17.789388749815277,-1.4790612907327259,-0.5082682499947222,0.793625362394636,0.6310397508726049,0.004934280562150454,0.0010006554834851268,4.931048341398306,0.004920391501252388,0.0010006554834851268,4.917168378586637,0.17718100547790527,0.16258595883846283,1.0,0.6038547248712608,0.03783566132187843,0.5504852290566576,0.25,0.14551333872271624,0.13985511660575867,3.9792064282497535,3.870870402428246
presence_absence_sensitivity,presence_absence__binary_dm__glim__original__seed_42,binary_dm,GLiM,original,42,full,1237,35,5000,0.3,0.15,176.71386909484863,0.40542324501842203,17531.8128136736,-22528.80174055904,-18.21245088161604,-22005.554280858683,-17.7894537436206,-1.4790666945058935,-0.5082701069605886,0.8104254548194013,0.6350198690867577,0.00486562558998444,0.001140301023588857,4.266965905784167,0.0047118055314252895,0.001140301023588857,4.132071649463117,0.17623604834079742,0.16442811489105225,1.0,0.623172535427979,0.017512984573841095,0.5419818276961134,0.3333333333333333,0.645109135004042,0.12282396852970123,4.084690937932102,4.003831093026326
presence_absence_sensitivity,presence_absence__binary_dm__glim__original__seed_123,binary_dm,GLiM,original,123,full,1237,35,5000,0.3,0.15,176.29039907455444,0.40966593061050605,17857.93264698815,-22541.435143279432,-18.222663818334222,-22003.41117931401,-17.787721244392895,-1.478922649503563,-0.5082206069826541,0.8048942459746338,0.6444543782285993,0.004665954477828908,0.0010781557496336246,4.327718401923357,0.004583857576819116,0.0010781557496336246,4.251572723492675,0.17123989760875702,0.17042872309684753,1.0,0.6090922275824207,0.019678596407175064,0.58156129584701,0.42857142857142855,0.7073565076798707,0.12117884308099747,3.827041632482546,3.7366115022077304
presence_absence_sensitivity,presence_absence__binary_dm__glim__original__seed_7,binary_dm,GLiM,original,7,full,1237,35,5000,0.3,0.15,174.48660802841187,0.3675671877457772,18195.49733642902,-22527.546745092273,-18.211436333946867,-22004.183600624285,-17.788345675524887,-1.4789745665159486,-0.5082384478721396,0.8020449342896278,0.6437833499478399,0.004775530601070362,0.0010231245806634258,4.667594437007621,0.004752845435977845,0.0010231245806634258,4.645422000218148,0.17263875901699066,0.17821574211120605,1.0,0.6312185797308173,0.023090194910764694,0.5143784786641928,0.25,0.5917542441390461,0.1324375718832016,4.04498594135059,3.7401179741711084
presence_absence_sensitivity,presence_absence__binary_dm__glim__equal_high__seed_42,binary_dm,GLiM,equal_high,42,full,1237,35,5000,0.3,0.3,173.82466626167297,0.2538162496636756,18070.538659599337,-22522.86991535902,-18.207655550007292,-22006.22078247889,-17.78999254848738,-1.4791114923026543,-0.5082855013853537,0.8036014768821038,0.6338645342006186,0.004704959110862312,0.0009505784240481348,4.949574902853113,0.004607248826798691,0.0009505784240481348,4.8467845579518345,0.1732393056154251,0.1722974181175232,1.0,0.644383346262787,0.015311486087739468,0.5717496788925359,0.25,0.6491511721907841,0.1251775473356247,2.406143141843829,2.3650358271382816
presence_absence_sensitivity,presence_absence__binary_dm__glim__equal_high__seed_123,binary_dm,GLiM,equal_high,123,full,1237,35,5000,0.3,0.3,174.0328722000122,0.23905500787538106,17182.81637330005,-22525.27869958341,-18.209602829089256,-22004.650752120247,-17.78872332426859,-1.4790059653260013,-0.5082492378362454,0.8108930581314736,0.6445026756851615,0.004652287770688619,0.0009451483311289691,4.922283219959255,0.004613476911951728,0.0009451483311289691,4.881219973632056,0.17089833319187164,0.16947433352470398,1.0,0.632143926939794,0.021062221378087997,0.5560510917653774,0.25,0.713823767178658,0.12176193296909332,2.4052654836595777,2.2977297187580565
presence_absence_sensitivity,presence_absence__binary_dm__glim__equal_high__seed_7,binary_dm,GLiM,equal_high,7,full,1237,35,5000,0.3,0.3,174.95482921600342,0.23940631194756448,16890.467688973684,-22524.926048935056,-18.20931774368234,-22005.868172615978,-17.78970749605172,-1.4790877922177696,-0.5082773570300492,0.8009126639520278,0.6423353043266363,0.004932932447690586,0.0009029341790702485,5.463224852967718,0.004765043703046833,0.0009029341790702485,5.277287994517384,0.17230422794818878,0.17411424219608307,1.0,0.6389280134545905,0.019222499802708626,0.5612454772118637,0.17647058823529413,0.6119644300727567,0.12685967981815338,2.4311342359566597,2.3293136952269897
presence_absence_sensitivity,presence_absence__bernoulli__macrostrat__original__seed_42,bernoulli,Macrostrat,original,42,full,1237,35,5000,0.3,0.15,154.21677660942078,0.4902325477447665,,-21195.915303798913,-17.134935572998312,-20617.880062451673,-16.667647584843714,-1.3857964822188247,-0.47621850242410607,0.8076694970711386,0.4610838629594006,0.006159465430070635,0.0017643927259000838,3.4909832372656475,0.0059338944238545585,0.0017643927259000838,3.3631369800776376,0.22057630121707916,0.21255476772785187,1.0,0.5349284346614566,0.23742981255054474,0.3938165009593581,0.1111111111111111,0.32983023443815684,0.1466146856546402,4.794334110356502,4.768652465179284
presence_absence_sensitivity,presence_absence__bernoulli__macrostrat__original__seed_123,bernoulli,Macrostrat,original,123,full,1237,35,5000,0.3,0.15,150.23287796974182,0.42012302171067256,,-21195.381269486843,-17.134503855688635,-20617.203874966086,-16.667100949851324,-1.385751033402748,-0.47620288428146634,0.80930774348622,0.46811474462663333,0.006428408441001828,0.00150778314945242,4.263483408298088,0.0061154795908044245,0.00150778314945242,4.0559410635576985,0.2229221910238266,0.22130702435970306,1.0,0.5349168756178447,0.23768176138401031,0.3833122992786858,0.1111111111111111,0.12449474535165723,0.15686078369617462,4.4491847096841175,4.440196447762523
