likelihood,source,prior_setting,topic7_cosine_mean,topic7_cosine_min,topic7_top10_jaccard_mean,topic7_top10_jaccard_min
bernoulli,GLiM,equal_high,0.25187746187051135,0.24126316606998444,0.17919389978213507,0.1111111111111111
bernoulli,GLiM,original,0.2275542418162028,0.21824036538600922,0.28104575163398693,0.17647058823529413
bernoulli,Macrostrat,equal_high,0.2611694633960724,0.2602377235889435,0.05263157894736842,0.05263157894736842
bernoulli,Macrostrat,original,0.2550308008988698,0.2525794804096222,0.09161793372319688,0.05263157894736842
binary_dm,GLiM,equal_high,0.48513031005859375,0.4558839797973633,0.5384615384615384,0.5384615384615384
binary_dm,GLiM,original,0.4249306817849477,0.38390472531318665,0.42857142857142855,0.42857142857142855
binary_dm,Macrostrat,equal_high,0.504619320233663,0.5004224181175232,0.42857142857142855,0.42857142857142855
binary_dm,Macrostrat,original,0.510308563709259,0.507404625415802,0.3968253968253968,0.3333333333333333
