likelihood,source,prior_setting,seed,reference,topic,topic_cosine,top10_jaccard,is_topic_7
binary_dm,GLiM,original,7,count_HGCTM,4,0.7165918946266174,0.42857142857142855,False
binary_dm,GLiM,original,7,count_HGCTM,5,0.7329692840576172,0.42857142857142855,False
binary_dm,GLiM,original,7,count_HGCTM,6,0.767539381980896,0.42857142857142855,False
binary_dm,GLiM,original,7,count_HGCTM,7,0.4568493962287903,0.42857142857142855,True
binary_dm,GLiM,equal_high,42,count_HGCTM,1,0.8162615895271301,0.8181818181818182,False
binary_dm,GLiM,equal_high,42,count_HGCTM,2,0.9129219651222229,1.0,False
binary_dm,GLiM,equal_high,42,count_HGCTM,3,0.015311486087739468,0.25,False
binary_dm,GLiM,equal_high,42,count_HGCTM,4,0.7465630173683167,0.42857142857142855,False
binary_dm,GLiM,equal_high,42,count_HGCTM,5,0.7719037532806396,0.42857142857142855,False
binary_dm,GLiM,equal_high,42,count_HGCTM,6,0.7436211109161377,0.5384615384615384,False
binary_dm,GLiM,equal_high,42,count_HGCTM,7,0.504100501537323,0.5384615384615384,True
binary_dm,GLiM,equal_high,123,count_HGCTM,1,0.8265582919120789,0.8181818181818182,False
binary_dm,GLiM,equal_high,123,count_HGCTM,2,0.9032618999481201,1.0,False
binary_dm,GLiM,equal_high,123,count_HGCTM,3,0.021062221378087997,0.25,False
binary_dm,GLiM,equal_high,123,count_HGCTM,4,0.7276800274848938,0.42857142857142855,False
binary_dm,GLiM,equal_high,123,count_HGCTM,5,0.7534579038619995,0.42857142857142855,False
binary_dm,GLiM,equal_high,123,count_HGCTM,6,0.7371031641960144,0.42857142857142855,False
binary_dm,GLiM,equal_high,123,count_HGCTM,7,0.4558839797973633,0.5384615384615384,True
binary_dm,GLiM,equal_high,7,count_HGCTM,1,0.8225046992301941,0.8181818181818182,False
binary_dm,GLiM,equal_high,7,count_HGCTM,2,0.9124471545219421,1.0,False
binary_dm,GLiM,equal_high,7,count_HGCTM,3,0.019222499802708626,0.17647058823529413,False
binary_dm,GLiM,equal_high,7,count_HGCTM,4,0.7323400378227234,0.42857142857142855,False
binary_dm,GLiM,equal_high,7,count_HGCTM,5,0.7489925026893616,0.42857142857142855,False
binary_dm,GLiM,equal_high,7,count_HGCTM,6,0.7415827512741089,0.5384615384615384,False
binary_dm,GLiM,equal_high,7,count_HGCTM,7,0.49540644884109497,0.5384615384615384,True
bernoulli,Macrostrat,original,42,count_HGCTM,1,0.7883792519569397,0.5384615384615384,False
bernoulli,Macrostrat,original,42,count_HGCTM,2,0.5949642062187195,0.6666666666666666,False
bernoulli,Macrostrat,original,42,count_HGCTM,3,0.23742981255054474,0.25,False
bernoulli,Macrostrat,original,42,count_HGCTM,4,0.3607732951641083,0.42857142857142855,False
bernoulli,Macrostrat,original,42,count_HGCTM,5,0.6900561451911926,0.3333333333333333,False
bernoulli,Macrostrat,original,42,count_HGCTM,6,0.8203168511390686,0.42857142857142855,False
bernoulli,Macrostrat,original,42,count_HGCTM,7,0.2525794804096222,0.1111111111111111,True
bernoulli,Macrostrat,original,123,count_HGCTM,1,0.7894355058670044,0.5384615384615384,False
bernoulli,Macrostrat,original,123,count_HGCTM,2,0.6088541746139526,0.6666666666666666,False
bernoulli,Macrostrat,original,123,count_HGCTM,3,0.23768176138401031,0.17647058823529413,False
bernoulli,Macrostrat,original,123,count_HGCTM,4,0.36637288331985474,0.42857142857142855,False
bernoulli,Macrostrat,original,123,count_HGCTM,5,0.6953814625740051,0.3333333333333333,False
bernoulli,Macrostrat,original,123,count_HGCTM,6,0.791681706905365,0.42857142857142855,False
bernoulli,Macrostrat,original,123,count_HGCTM,7,0.2550106346607208,0.1111111111111111,True
bernoulli,Macrostrat,original,7,count_HGCTM,1,0.7978795766830444,0.5384615384615384,False
bernoulli,Macrostrat,original,7,count_HGCTM,2,0.6161331534385681,0.6666666666666666,False
bernoulli,Macrostrat,original,7,count_HGCTM,3,0.23521438241004944,0.17647058823529413,False
bernoulli,Macrostrat,original,7,count_HGCTM,4,0.3674875795841217,0.42857142857142855,False
bernoulli,Macrostrat,original,7,count_HGCTM,5,0.6933518052101135,0.3333333333333333,False
bernoulli,Macrostrat,original,7,count_HGCTM,6,0.8040798902511597,0.42857142857142855,False
bernoulli,Macrostrat,original,7,count_HGCTM,7,0.2575022876262665,0.05263157894736842,True
bernoulli,Macrostrat,equal_high,42,count_HGCTM,1,0.808445394039154,0.5384615384615384,False
bernoulli,Macrostrat,equal_high,42,count_HGCTM,2,0.612090528011322,0.6666666666666666,False
bernoulli,Macrostrat,equal_high,42,count_HGCTM,3,0.2432708740234375,0.17647058823529413,False
bernoulli,Macrostrat,equal_high,42,count_HGCTM,4,0.36352503299713135,0.42857142857142855,False
bernoulli,Macrostrat,equal_high,42,count_HGCTM,5,0.6984663605690002,0.3333333333333333,False
bernoulli,Macrostrat,equal_high,42,count_HGCTM,6,0.818885326385498,0.42857142857142855,False
bernoulli,Macrostrat,equal_high,42,count_HGCTM,7,0.26172977685928345,0.05263157894736842,True
bernoulli,Macrostrat,equal_high,123,count_HGCTM,1,0.8158719539642334,0.5384615384615384,False
bernoulli,Macrostrat,equal_high,123,count_HGCTM,2,0.6146866083145142,0.6666666666666666,False
bernoulli,Macrostrat,equal_high,123,count_HGCTM,3,0.2375352382659912,0.17647058823529413,False
bernoulli,Macrostrat,equal_high,123,count_HGCTM,4,0.37261489033699036,0.42857142857142855,False
bernoulli,Macrostrat,equal_high,123,count_HGCTM,5,0.6940272450447083,0.3333333333333333,False
bernoulli,Macrostrat,equal_high,123,count_HGCTM,6,0.8059149980545044,0.42857142857142855,False
bernoulli,Macrostrat,equal_high,123,count_HGCTM,7,0.26154088973999023,0.05263157894736842,True
bernoulli,Macrostrat,equal_high,7,count_HGCTM,1,0.8148233294487,0.5384615384615384,False
bernoulli,Macrostrat,equal_high,7,count_HGCTM,2,0.6015378832817078,0.6666666666666666,False
bernoulli,Macrostrat,equal_high,7,count_HGCTM,3,0.242055743932724,0.3333333333333333,False
bernoulli,Macrostrat,equal_high,7,count_HGCTM,4,0.3760209381580353,0.5384615384615384,False
bernoulli,Macrostrat,equal_high,7,count_HGCTM,5,0.6948243975639343,0.3333333333333333,False
bernoulli,Macrostrat,equal_high,7,count_HGCTM,6,0.8203520178794861,0.42857142857142855,False
bernoulli,Macrostrat,equal_high,7,count_HGCTM,7,0.2602377235889435,0.05263157894736842,True
bernoulli,GLiM,original,42,count_HGCTM,1,0.814720869064331,0.5384615384615384,False
