Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
VMS,Mesozoic,35.1041666667,32.8458333333,100.0,28110,mafic,mafic,felsic,felsic
VMS,Mesozoic,35.036793294095,32.482280733821,100.0,28152,metamorphic,metamorphic,felsic,felsic
Porphyry,Cenozoic,33.4077777778,-110.954722222,59.0,28230,carbonate,carbonate,felsic,felsic
Porphyry,Cenozoic,-27.3708333333,-66.28,5.5,28448,other,other,metamorphic,metamorphic
VMS,Paleozoic,13.2,124.15,396.5,28584,unknown,unknown,unknown,unknown
Porphyry,Unknown,10.313948183707,123.71268376923,,28588,other,other,other,other
VMS,Paleozoic,34.2475,135.438888889,360.0,28719,other,other,metamorphic,metamorphic
VMS,Paleozoic,34.0288888889,134.322222222,360.0,28720,other,other,metamorphic,metamorphic
VMS,Paleozoic,34.0211111111,134.225,360.0,28721,other,other,metamorphic,metamorphic
VMS,Paleozoic,35.085,137.833333333,360.0,28722,other,other,metamorphic,metamorphic
VMS,Paleozoic,33.8277777778,133.472222222,360.0,28723,other,other,metamorphic,metamorphic
VMS,Paleozoic,36.6291666667,140.605555556,320.0,28724,other,other,other,other
VMS,Precambrian,65.372503014476,18.649008035572,1520.5,29703,felsic,felsic,metamorphic,metamorphic
Porphyry,Mesozoic,50.6611111111,-120.515,205.5,30204,felsic,felsic,other,other
Sediment-Hosted,Precambrian,34.2718898,69.2937133,770.5,30621,metamorphic,metamorphic,other,other
Sediment-Hosted,Unknown,-27.600833333333,-70.163055555556,,30673,volcanic,volcanic,other,other
Porphyry,Cenozoic,29.805,-104.4025,60.2,30976,carbonate,carbonate,siliciclastic,siliciclastic
Porphyry,Cenozoic,32.0275,-111.080555556,56.0,32000,other,other,other,other
Porphyry,Cenozoic,32.10292,-110.06876,53.0,32440,mafic,mafic,other,other
Sediment-Hosted,Cenozoic,-19.361370105939,-66.861841680366,45.0,32562,other,other,other,other
VMS,Unknown,67.137472,16.059489,,32728,carbonate,carbonate,metamorphic,metamorphic
IOCG,Unknown,63.548220882342,-116.74073296354,,32750,felsic,felsic,felsic,felsic
VMS,Unknown,59.3572222222,5.23083333333,,32790,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Precambrian,64.9872222222,19.7716666667,1887.5,33241,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,64.853111,13.884918,464.5,33954,metamorphic,metamorphic,metamorphic,metamorphic
VMS,Paleozoic,68.200929,15.991373,431.5,34420,felsic,felsic,felsic,felsic
VMS,Paleozoic,67.095265,16.001146,470.0,34428,carbonate,carbonate,metamorphic,metamorphic
Porphyry,Cenozoic,-27.3297222222,-66.6088888889,7.5,34975,other,other,volcanic,volcanic
VMS,Paleozoic,68.329524898,16.7902514037,464.5,35613,metamorphic,metamorphic,metamorphic,metamorphic
VMS,Unknown,67.132786,16.089266,,36285,carbonate,carbonate,metamorphic,metamorphic
VMS,Paleozoic,62.10968,9.824278,470.0,36363,metamorphic,metamorphic,metamorphic,metamorphic
Porphyry,Mesozoic,-30.241578766321,-71.102801250415,141.9,36818,other,other,other,other
Porphyry,Unknown,35.3674943,-114.1410656,,37441,felsic,felsic,felsic,felsic
Sediment-Hosted,Mesozoic,38.2411,-109.26375,100.0,38508,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Porphyry,Precambrian,-24.272220317269,-69.068275471678,957.245,39272,other,other,felsic,felsic
Porphyry,Cenozoic,-20.98305202099,-68.673347057618,32.0,39273,other,other,volcanic,volcanic
Porphyry,Cenozoic,-21.9205555556,-68.8325,36.0,39275,other,other,felsic,felsic
Sediment-Hosted,Paleozoic,-11.1688888889,27.0091666667,436.0,41271,other,other,metamorphic,metamorphic
Sediment-Hosted,Precambrian,-10.9525,26.7722222222,900.0,41272,other,other,metamorphic,metamorphic
Sediment-Hosted,Precambrian,-10.8466666667,26.4783333333,900.0,41275,other,other,metamorphic,metamorphic
Sediment-Hosted,Unknown,31.169445037842,-104.90000152588,,42054,carbonate,carbonate,siliciclastic,siliciclastic
Sediment-Hosted,Unknown,31.224445343018,-104.90528106689,,42058,carbonate,carbonate,siliciclastic,siliciclastic
Sediment-Hosted,Precambrian,-10.728248534883,26.381352481256,900.0,42400,other,other,metamorphic,metamorphic
IOCG,Cenozoic,-31.4277777778,140.468611111,14.05,43252,other,other,other,other
Porphyry,Cenozoic,-8.9656674438947,116.86724497085,4.335,43582,mafic,mafic,carbonate,carbonate
Porphyry,Unknown,-0.5,113.183333333,,43585,other,other,siliciclastic,siliciclastic
Porphyry,Mesozoic,34.5811111111,-113.203888889,74.2,43642,felsic,felsic,felsic,felsic
Sediment-Hosted,Precambrian,-10.719444444444,25.402777777778,546.0,44003,other,other,metamorphic,metamorphic
VMS,Precambrian,34.4558333333,-112.193888889,1640.0,44061,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Mesozoic,32.96821,-107.5417,75.0,44124,volcanic,volcanic,volcanic,volcanic
VMS,Paleozoic,-23.300852777778,150.65216944444,270.0,44460,mafic,mafic,siliciclastic,siliciclastic
VMS,Precambrian,34.545,-113.230277778,1370.0,44769,volcanic,volcanic,metamorphic,metamorphic
Sediment-Hosted,Precambrian,47.48157,-115.72882,1500.0,45680,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Sediment-Hosted,Unknown,47.49017,-115.76322,,45788,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Sediment-Hosted,Unknown,47.499249132,-115.75112466,,45790,siliciclastic,siliciclastic,siliciclastic,siliciclastic
VMS,Precambrian,64.958201522173,19.837623594794,1520.5,45920,felsic,felsic,volcanic,volcanic
VMS,Unknown,67.14302,16.034353,,46287,carbonate,carbonate,metamorphic,metamorphic
VMS,Paleozoic,62.15085,10.087722,464.5,46329,mafic,mafic,metamorphic,metamorphic
VMS,Paleozoic,62.139762175078,9.9936747550964,464.5,46331,metamorphic,metamorphic,felsic,felsic
VMS,Precambrian,65.006890719953,19.613289356057,1520.5,46414,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,38.034842007676,-8.4232566983213,320.0,46421,felsic,felsic,metamorphic,metamorphic
VMS,Paleozoic,38.281718,-7.729614,518.0,46745,volcanic,volcanic,metamorphic,metamorphic
VMS,Unknown,34.4555555556,-112.192777778,,46971,volcanic,volcanic,metamorphic,metamorphic
IOCG,Unknown,41.859761,78.195299,,46972,other,other,other,other
Porphyry,Paleozoic,42.66526992821,75.579408637148,424.0,47606,other,other,felsic,felsic
VMS,Paleozoic,69.736273,21.591482,492.5,47837,carbonate,carbonate,metamorphic,metamorphic
Magmatic sulfide,Precambrian,61.6805555556,-73.6833333333,1899.0,47950,mafic,mafic,volcanic,volcanic
VMS,Precambrian,35.759107943126,-105.66824490989,1520.5,48271,volcanic,volcanic,volcanic,volcanic
VMS,Paleozoic,62.795424,11.473154,470.0,48424,metamorphic,metamorphic,other,other
Magmatic sulfide,Unknown,33.25,106.366666667,,48983,other,other,volcanic,volcanic
VMS,Precambrian,34.500831604004,-112.25666809082,1640.0,50665,carbonate,carbonate,siliciclastic,siliciclastic
Porphyry,Mesozoic,32.67,-110.67,68.0,50863,carbonate,carbonate,siliciclastic,siliciclastic
Porphyry,Mesozoic,32.5230555556,-111.901944444,66.0,51058,felsic,felsic,felsic,felsic
Magmatic sulfide,Precambrian,38.4666666667,102.166666667,867.0,52166,other,other,metamorphic,metamorphic
Porphyry,Cenozoic,33.061157395057,-111.40899089207,34.74,52775,other,other,other,other
Porphyry,Cenozoic,32.954448464616,-111.81661605835,63.0,53487,felsic,felsic,felsic,felsic
VMS,Cenozoic,38.1527777778,140.197222222,14.15,53669,volcanic,volcanic,volcanic,volcanic
Porphyry,Cenozoic,-22.85357,-69.34511,63.5,54260,other,other,siliciclastic,siliciclastic
Porphyry,Cenozoic,43.0927777778,-111.322777778,50.0,54489,felsic,felsic,siliciclastic,siliciclastic
Porphyry,Cenozoic,-17.0455555556,-70.7072222222,51.0,55427,other,other,volcanic,volcanic
Porphyry,Unknown,-16.5352777778,-71.5916666667,,55597,other,other,metamorphic,metamorphic
Sediment-Hosted,Paleozoic,48.26667,67.3333,300.0,55929,other,other,carbonate,carbonate
IOCG,Precambrian,-25.2567587597,28.580646074,1400.0,56211,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,33.9333333333,133.633333333,360.0,56379,other,other,metamorphic,metamorphic
Magmatic sulfide,Unknown,-23.987938588912,28.904128281476,,56760,mafic,mafic,mafic,mafic
VMS,Unknown,48.293,-2.933,,56940,carbonate,carbonate,other,other
Porphyry,Cenozoic,-18.0416666667,178.175,5.6,58352,mafic,mafic,volcanic,volcanic
VMS,Paleozoic,40.5422222222,-117.556944444,300.0,58783,mafic,mafic,siliciclastic,siliciclastic
Porphyry,Cenozoic,40.6875,-117.083333333,38.0,59571,mafic,mafic,other,other
VMS,Mesozoic,-0.39,-78.925,89.45,60100,other,other,volcanic,volcanic
VMS,Mesozoic,-0.925533,-79.061604,117.45,60101,other,other,carbonate,carbonate
Porphyry,Cenozoic,40.548538,-117.13252,39.0,60113,mafic,mafic,siliciclastic,siliciclastic
Porphyry,Mesozoic,40.6119444444,-117.036111111,86.0,60164,carbonate,carbonate,siliciclastic,siliciclastic
Porphyry,Cenozoic,41.5105555556,22.6019444444,23.0,62248,metamorphic,metamorphic,metamorphic,metamorphic
Porphyry,Unknown,33.0666666667,-110.796111111,,62514,mafic,mafic,other,other
Porphyry,Mesozoic,35.4833333333,-115.133333333,72.5,63180,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Unknown,33.535833,54.544444,,63563,other,other,other,other
VMS,Precambrian,42.016666666667,124.51527777778,3200.0,64183,metamorphic,metamorphic,metamorphic,metamorphic
Porphyry,Mesozoic,29.681789169728,115.80344526855,105.5,64292,other,other,siliciclastic,siliciclastic
Porphyry,Unknown,39.03,-119.18,,64347,other,other,other,other
VMS,Mesozoic,41.416934906985,44.542694091797,90.0,64578,carbonate,carbonate,volcanic,volcanic
Porphyry,Cenozoic,29.9997222222,114.837777778,17.83,64759,other,other,carbonate,carbonate
Sediment-Hosted,Cenozoic,-17.68,-68.37,45.0,65223,other,other,other,other
VMS,Precambrian,60.229,23.539,1520.5,65283,felsic,felsic,volcanic,volcanic
IOCG,Precambrian,-20.739163888889,140.65382222222,1532.5,65285,mafic,mafic,other,other
VMS,Precambrian,34.50232,-83.9593,850.0,66858,volcanic,volcanic,metamorphic,metamorphic
VMS,Precambrian,33.75774,-84.93281,850.0,66898,metamorphic,metamorphic,metamorphic,metamorphic
Sediment-Hosted,Precambrian,62.691902777778,-126.665375,699.0,68115,carbonate,carbonate,other,other
VMS,Paleozoic,-20.7303225905,140.420393451,477.5,68188,metamorphic,metamorphic,mafic,mafic
Porphyry,Cenozoic,46.314033189009,23.169895112514,9.29,68257,metamorphic,metamorphic,carbonate,carbonate
Porphyry,Unknown,32.5891666667,-112.053888889,,68700,carbonate,carbonate,siliciclastic,siliciclastic
Porphyry,Cenozoic,9.8035347634699,122.45720684612,30.0,69552,other,other,other,other
Sediment-Hosted,Precambrian,30.0944444444,-8.35,900.0,71511,mafic,mafic,metamorphic,metamorphic
VMS,Cenozoic,42.475,141.05,15.0,73136,felsic,felsic,volcanic,volcanic
VMS,Cenozoic,40.7291666667,140.958333333,15.0,73233,volcanic,volcanic,volcanic,volcanic
VMS,Mesozoic,19.036683507473,-100.22958260237,120.0,73255,metamorphic,metamorphic,metamorphic,metamorphic
VMS,Mesozoic,37.9763888889,-120.642777778,170.0,75449,felsic,felsic,volcanic,volcanic
VMS,Mesozoic,37.6013888889,-120.315833333,170.0,81928,volcanic,volcanic,volcanic,volcanic
VMS,Mesozoic,39.1155555556,-121.270555556,170.0,84746,felsic,felsic,volcanic,volcanic
VMS,Mesozoic,39.0308333333,-121.288055556,170.0,85223,felsic,felsic,volcanic,volcanic
Porphyry,Mesozoic,40.2166666667,-120.783333333,100.0,86332,felsic,felsic,felsic,felsic
VMS,Paleozoic,40.7252777778,-122.498055556,390.0,92443,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,40.7991666667,-122.202777778,260.0,92495,felsic,felsic,volcanic,volcanic
VMS,Mesozoic,41.95,-123.1,159.0,93923,metamorphic,metamorphic,siliciclastic,siliciclastic
VMS,Mesozoic,39.175,-121.291666667,150.0,98618,felsic,felsic,volcanic,volcanic
Sediment-Hosted,Mesozoic,32.75,-0.583333333333,115.0,105775,other,other,carbonate,carbonate
Porphyry,Cenozoic,46.0108333333,-112.48,60.5,107252,felsic,felsic,felsic,felsic
VMS,Cenozoic,35.1644444444,132.441666667,15.0,108163,felsic,felsic,other,other
Porphyry,Cenozoic,-20.0447222222,-69.2597222222,51.8,108197,felsic,felsic,felsic,felsic
VMS,Precambrian,-28.7780555556,116.962777778,3250.0,109677,felsic,felsic,siliciclastic,siliciclastic
VMS,Precambrian,-27.046141130114,117.71221058717,3200.0,109688,mafic,mafic,mafic,mafic
Porphyry,Mesozoic,37.4063888889,-108.088333333,67.5,114858,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Porphyry,Cenozoic,-31.7138888889,-70.4888888889,9.8,122228,volcanic,volcanic,volcanic,volcanic
IOCG,Unknown,31.8333333333,59.0,,122266,felsic,felsic,volcanic,volcanic
Magmatic sulfide,Precambrian,-27.8152777778,120.704166667,2705.0,122759,mafic,mafic,siliciclastic,siliciclastic
Magmatic sulfide,Precambrian,-26.8833333333,120.383333333,2705.0,122767,mafic,mafic,other,other
Porphyry,Mesozoic,50.480831312986,-121.0142405168,196.0,122804,felsic,felsic,felsic,felsic
Porphyry,Paleozoic,50.558838888889,6.1339666666667,396.5,122928,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Porphyry,Cenozoic,-9.797208,160.022208,1.95,122945,mafic,mafic,other,other
VMS,Precambrian,-21.0805555556,116.925,3200.0,122949,mafic,mafic,volcanic,volcanic
Porphyry,Precambrian,-21.65937462058,119.97837714324,2500.0,122950,felsic,felsic,siliciclastic,siliciclastic
Porphyry,Precambrian,-21.788877237102,119.87376717439,2500.0,122951,mafic,mafic,volcanic,volcanic
Sediment-Hosted,Precambrian,-13.1325,28.3925,900.0,123105,metamorphic,metamorphic,metamorphic,metamorphic
Magmatic sulfide,Unknown,47.7208333333,-91.8241666667,,123423,mafic,mafic,mafic,mafic
Porphyry,Mesozoic,35.3072222222,99.7886111111,173.0,123464,other,other,other,other
IOCG,Precambrian,26.1,101.9,1850.0,123470,other,other,metamorphic,metamorphic
Sediment-Hosted,Precambrian,46.8333333333,-87.75,2000.0,124002,siliciclastic,siliciclastic,siliciclastic,siliciclastic
VMS,Mesozoic,35.036111111111,33.116388888889,100.0,125608,mafic,mafic,felsic,felsic
Sediment-Hosted,Precambrian,-23.7894444444,16.6438888889,602.5,126508,metamorphic,metamorphic,metamorphic,metamorphic
Sediment-Hosted,Precambrian,-30.5233954,138.5314475,630.0,126948,carbonate,carbonate,other,other
IOCG,Precambrian,-20.625,140.688333333,1532.5,127294,metamorphic,metamorphic,metamorphic,metamorphic
Porphyry,Paleozoic,43.00348378007,106.85218868256,368.1,127444,felsic,felsic,felsic,felsic
Porphyry,Cenozoic,41.1218,41.9498,37.3,131133,volcanic,volcanic,volcanic,volcanic
VMS,Paleozoic,45.7719444444,-71.31,464.5,131315,volcanic,volcanic,volcanic,volcanic
VMS,Unknown,40.3472222222,140.766666667,,131316,volcanic,volcanic,volcanic,volcanic
Porphyry,Unknown,48.23,-121.5658,,132210,metamorphic,metamorphic,metamorphic,metamorphic
Sediment-Hosted,Cenozoic,-17.4789,-68.356,45.0,132305,other,other,siliciclastic,siliciclastic
Porphyry,Precambrian,19.7,-97.8166666667,1880.5,132814,carbonate,carbonate,volcanic,volcanic
Porphyry,Cenozoic,-22.5333333333,-69.9166666667,65.7,133117,other,other,volcanic,volcanic
Porphyry,Cenozoic,29.4694444444,90.0277777778,15.5,134565,felsic,felsic,felsic,felsic
Porphyry,Cenozoic,29.6294444444,91.5988888889,14.15,134575,other,other,felsic,felsic
Porphyry,Cenozoic,29.7111111111,91.8388888889,15.18,134576,other,other,other,other
Magmatic sulfide,Precambrian,22.8583333333,102.966666667,945.0,134599,other,other,siliciclastic,siliciclastic
VMS,Precambrian,24.1,101.683333333,1850.0,134605,other,other,siliciclastic,siliciclastic
Porphyry,Mesozoic,31.1416666667,117.283333333,148.0,134676,volcanic,volcanic,felsic,felsic
IOCG,Precambrian,26.183333333333,102.98333333333,1500.0,134745,mafic,mafic,other,other
Porphyry,Cenozoic,26.158205559589,100.18367765932,44.85,134936,other,other,volcanic,volcanic
Sediment-Hosted,Cenozoic,-17.329166666667,-68.407777777778,45.0,135092,other,other,siliciclastic,siliciclastic
Sediment-Hosted,Unknown,-31.1130555556,137.153055556,,135234,siliciclastic,siliciclastic,siliciclastic,siliciclastic
IOCG,Unknown,-31.2144444444,137.497222222,,135235,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Porphyry,Mesozoic,25.1852777778,116.4075,105.0,135237,other,other,felsic,felsic
VMS,Precambrian,34.384781223876,100.11875336329,680.5,135298,other,other,mafic,mafic
Porphyry,Cenozoic,29.5111111111,90.0,13.765,135329,felsic,felsic,felsic,felsic
Porphyry,Unknown,45.3563888889,-113.993611111,,136123,siliciclastic,siliciclastic,metamorphic,metamorphic
Porphyry,Cenozoic,29.5,91.4055555556,13.45,142172,other,other,felsic,felsic
Porphyry,Cenozoic,30.0,98.5,38.0,142173,other,other,siliciclastic,siliciclastic
Porphyry,Cenozoic,31.2333333333,97.8666666667,37.5,142174,other,other,other,other
Porphyry,Cenozoic,31.1666666667,97.8583333333,36.0,142183,other,other,other,other
Porphyry,Cenozoic,30.4666666667,98.5,43.5,142185,other,other,other,other
Porphyry,Cenozoic,31.4833333333,97.35,42.0,142186,other,other,other,other
Porphyry,Cenozoic,29.4916666667,90.9222222222,14.67,142189,other,other,felsic,felsic
Porphyry,Cenozoic,31.25,97.7333333333,38.5,142195,other,other,other,other
Porphyry,Paleozoic,42.0666666667,92.5333333333,343.0,142686,other,other,other,other
Porphyry,Paleozoic,42.1166666667,92.6166666667,344.6,142687,other,other,siliciclastic,siliciclastic
Porphyry,Paleozoic,42.3583333333,94.7555555556,367.0,142688,other,other,siliciclastic,siliciclastic
Porphyry,Paleozoic,42.1666666667,92.85,357.5,142689,other,other,other,other
Porphyry,Paleozoic,42.2,92.9666666667,373.0,142690,other,other,other,other
Porphyry,Paleozoic,42.5333333333,91.9166666667,348.0,142691,other,other,other,other
Porphyry,Mesozoic,28.038611111111,99.989722222222,213.0,142692,other,other,felsic,felsic
Porphyry,Paleozoic,42.25,112.5,430.5,142695,other,other,siliciclastic,siliciclastic
Porphyry,Mesozoic,49.425,117.298888889,178.0,142696,other,other,felsic,felsic
Porphyry,Mesozoic,32.0666666667,119.1,114.5,142697,volcanic,volcanic,other,other
Porphyry,Paleozoic,50.1313888889,125.786111111,390.5,142698,other,other,volcanic,volcanic
Porphyry,Mesozoic,29.8172222222,115.4525,106.05,142699,other,other,carbonate,carbonate
Porphyry,Precambrian,35.3166666667,111.666666667,2150.0,142700,felsic,felsic,other,other
Porphyry,Cenozoic,29.65,87.479166666667,25.3,142703,other,other,volcanic,volcanic
Magmatic sulfide,Unknown,42.866666666667,127.375,,143447,metamorphic,metamorphic,felsic,felsic
Magmatic sulfide,Unknown,41.670833333333,125.70833333333,,143624,felsic,felsic,felsic,felsic
Magmatic sulfide,Mesozoic,43.3027777778,127.419444444,196.0,143633,other,other,other,other
Magmatic sulfide,Mesozoic,42.8833333333,126.5,208.0,143648,other,other,metamorphic,metamorphic
Magmatic sulfide,Unknown,43.1291666667,129.668055556,,143685,other,other,other,other
Porphyry,Unknown,-32.7227777778,148.195,,143718,mafic,mafic,volcanic,volcanic
VMS,Paleozoic,42.35,113.433333333,288.0,143888,other,other,other,other
Porphyry,Paleozoic,-32.9669601279,147.758734576,447.0,143892,felsic,felsic,other,other
Magmatic sulfide,Paleozoic,46.7575,89.6763888889,296.9,143975,other,other,carbonate,carbonate
Magmatic sulfide,Paleozoic,42.3367557,94.73407634,268.35,144051,other,other,siliciclastic,siliciclastic
VMS,Paleozoic,42.280555555556,89.5225,345.0,144055,other,other,other,other
Magmatic sulfide,Paleozoic,42.25,94.1166666667,268.35,144069,other,other,siliciclastic,siliciclastic
Magmatic sulfide,Paleozoic,42.15,94.2666666667,268.35,144070,other,other,siliciclastic,siliciclastic
Magmatic sulfide,Paleozoic,42.29718102,94.60404525,285.0,144071,other,other,other,other
Magmatic sulfide,Paleozoic,42.2166666667,94.6833333333,268.35,144072,other,other,siliciclastic,siliciclastic
Magmatic sulfide,Paleozoic,42.39329096,94.58143114,268.35,144073,other,other,siliciclastic,siliciclastic
Magmatic sulfide,Paleozoic,42.70423487,95.70082923,283.0,144081,other,other,other,other
Magmatic sulfide,Unknown,41.92970185,94.98848499,,144083,other,other,felsic,felsic
IOCG,Paleozoic,46.8480555556,89.7130555556,275.5,144270,other,other,felsic,felsic
VMS,Paleozoic,47.3527777778,89.1983333333,373.0,144272,other,other,felsic,felsic
Magmatic sulfide,Unknown,45.1277777778,131.344444444,,144450,other,other,mafic,mafic
IOCG,Precambrian,25.5472222222,102.229166667,1520.5,144548,mafic,mafic,other,other
Magmatic sulfide,Unknown,36.05,102.2,,144713,mafic,mafic,felsic,felsic
VMS,Mesozoic,31.25,99.5666666667,233.0,144903,other,other,carbonate,carbonate
VMS,Paleozoic,36.6427777778,104.262222222,445.0,144955,mafic,mafic,volcanic,volcanic
VMS,Paleozoic,36.6577777778,104.229444444,515.0,144957,mafic,mafic,volcanic,volcanic
VMS,Paleozoic,36.783333333333,103.7,515.0,144964,mafic,mafic,other,other
VMS,Paleozoic,36.64905,104.25845,515.0,144966,mafic,mafic,volcanic,volcanic
VMS,Precambrian,34.9,106.483333333,750.0,145027,metamorphic,metamorphic,other,other
VMS,Paleozoic,37.4,101.1,445.0,145060,mafic,mafic,metamorphic,metamorphic
VMS,Precambrian,29.9333333333,120.5,889.0,145237,other,other,other,other
IOCG,Precambrian,-5.7878388888889,-50.537411111111,2568.5,145877,metamorphic,metamorphic,metamorphic,metamorphic
IOCG,Precambrian,-6.43083773729,-50.068699121475,2675.0,145879,felsic,felsic,felsic,felsic
IOCG,Unknown,-6.382435109319,-49.547460855723,,145884,metamorphic,metamorphic,metamorphic,metamorphic
VMS,Mesozoic,44.2083333333,142.702777778,100.0,146259,mafic,mafic,siliciclastic,siliciclastic
Porphyry,Mesozoic,39.1438888889,46.1377777778,82.0,146855,felsic,felsic,other,other
VMS,Mesozoic,31.1844444444,99.5386111111,217.0,146933,other,other,carbonate,carbonate
Magmatic sulfide,Paleozoic,26.3166666667,102.083333333,263.0,147060,other,other,siliciclastic,siliciclastic
Magmatic sulfide,Unknown,26.7952777778,101.575,,147067,other,other,metamorphic,metamorphic
VMS,Paleozoic,59.349836,5.232108,464.5,147142,volcanic,volcanic,metamorphic,metamorphic
VMS,Precambrian,28.4938888889,101.688888889,1900.0,147151,other,other,metamorphic,metamorphic
Sediment-Hosted,Mesozoic,26.5225,102.2,100.0,153539,other,other,other,other
Sediment-Hosted,Precambrian,24.116666666667,102.16666666667,1500.0,155468,mafic,mafic,siliciclastic,siliciclastic
Magmatic sulfide,Unknown,25.05,100.866666667,,155526,mafic,mafic,other,other
Sediment-Hosted,Precambrian,24.15,102.16666666667,1500.0,155678,mafic,mafic,siliciclastic,siliciclastic
Porphyry,Paleozoic,50.6166666667,19.3666666667,297.5,155764,other,other,other,other
Magmatic sulfide,Paleozoic,25.7833333333,101.9,261.0,155865,other,other,other,other
Porphyry,Mesozoic,-38.25,-70.5833333333,74.0,155867,volcanic,volcanic,other,other
Porphyry,Cenozoic,29.6833333333,88.9333333333,35.55,155898,other,other,felsic,felsic
Porphyry,Cenozoic,8.63333333333,-82.2,3.95,155979,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,45.3191666667,-71.9202777778,470.0,156937,siliciclastic,siliciclastic,metamorphic,metamorphic
Magmatic sulfide,Precambrian,24.975,108.758333333,1064.0,157684,mafic,mafic,siliciclastic,siliciclastic
Porphyry,Cenozoic,31.112474953211,-110.43371371659,63.05,158068,siliciclastic,siliciclastic,siliciclastic,siliciclastic
VMS,Paleozoic,37.585133778547,-7.1153895556927,353.0,158668,carbonate,carbonate,other,other
Porphyry,Cenozoic,23.4333333333,121.45,21.5,158696,felsic,felsic,volcanic,volcanic
IOCG,Unknown,-26.558435795857,-70.325290753794,,158934,other,other,other,other
IOCG,Unknown,67.769281,20.146252,,158941,volcanic,volcanic,volcanic,volcanic
VMS,Cenozoic,40.278527979238,140.67520582896,15.0,159565,volcanic,volcanic,volcanic,volcanic
Porphyry,Cenozoic,47.0258333333,-112.36,46.0,162015,carbonate,carbonate,siliciclastic,siliciclastic
Sediment-Hosted,Unknown,48.0694444444,-115.637777778,,163419,carbonate,carbonate,siliciclastic,siliciclastic
Sediment-Hosted,Precambrian,48.2294444444,-115.898611111,1500.0,164790,carbonate,carbonate,siliciclastic,siliciclastic
Magmatic sulfide,Unknown,47.7502777778,-91.8177777778,,166723,felsic,felsic,felsic,felsic
VMS,Cenozoic,40.25,140.6,15.0,171360,volcanic,volcanic,volcanic,volcanic
VMS,Paleozoic,51.47,58.49,398.0,175692,felsic,felsic,other,other
Porphyry,Cenozoic,40.615907067831,-111.40513630613,33.0,183025,felsic,felsic,other,other
Porphyry,Cenozoic,39.8580555556,-112.125,35.5,183459,felsic,felsic,siliciclastic,siliciclastic
Sediment-Hosted,Precambrian,-10.815,26.5886111111,900.0,185349,other,other,metamorphic,metamorphic
Porphyry,Cenozoic,22.815784307634,103.02956451205,36.0,185556,other,other,other,other
Porphyry,Cenozoic,22.8833333333,102.583333333,34.05,185558,other,other,other,other
VMS,Paleozoic,57.384914,61.535013,390.5,185726,felsic,felsic,metamorphic,metamorphic
Magmatic sulfide,Unknown,41.86751307,94.92629621,,185761,other,other,other,other
Magmatic sulfide,Unknown,40.21668356,91.51722021,,185767,other,other,other,other
Sediment-Hosted,Cenozoic,-18.181922222222,-68.192369444444,45.0,185781,other,other,other,other
VMS,Paleozoic,54.12,59.33,388.0,185841,mafic,mafic,volcanic,volcanic
VMS,Mesozoic,31.5666666667,99.3,217.0,186441,other,other,carbonate,carbonate
VMS,Paleozoic,24.3333333333,99.75,300.0,186761,metamorphic,metamorphic,siliciclastic,siliciclastic
VMS,Precambrian,49.7694444444,-77.5705555556,2725.0,186817,felsic,felsic,mafic,mafic
VMS,Precambrian,49.7891666667,-77.8355555556,2725.0,186819,volcanic,volcanic,volcanic,volcanic
VMS,Precambrian,49.7755555556,-77.6575,3250.0,186820,volcanic,volcanic,volcanic,volcanic
VMS,Precambrian,49.7269444444,-77.7455555556,3250.0,186826,volcanic,volcanic,volcanic,volcanic
VMS,Precambrian,49.71,-77.7077777778,3250.0,186827,volcanic,volcanic,volcanic,volcanic
Sediment-Hosted,Unknown,27.95,110.116666667,,187080,other,other,other,other
Sediment-Hosted,Cenozoic,26.5416666667,112.475,64.0,187092,other,other,carbonate,carbonate
Porphyry,Cenozoic,18.9166666667,102.933333333,53.0,187465,metamorphic,metamorphic,felsic,felsic
VMS,Cenozoic,60.0583333333,-147.903333333,20.0,187984,volcanic,volcanic,unknown,unknown
VMS,Cenozoic,60.02175,-147.91921,60.0,187986,carbonate,carbonate,siliciclastic,siliciclastic
VMS,Cenozoic,60.8947222222,-146.701388889,60.0,187989,carbonate,carbonate,siliciclastic,siliciclastic
VMS,Cenozoic,60.8533333333,-146.5375,49.95,187990,mafic,mafic,volcanic,volcanic
Porphyry,Cenozoic,-21.00168271738,-68.808583068848,36.0,188053,other,other,felsic,felsic
