Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
Magmatic sulfide,Precambrian,-27.22868394857,120.54439591183,2706.0,7797,mafic,mafic,other,other
Sediment-Hosted,Unknown,35.993888855,-106.896942139,,7971,carbonate,carbonate,siliciclastic,siliciclastic
Magmatic sulfide,Precambrian,46.458842,-81.080933,1785.0,8049,siliciclastic,siliciclastic,other,other
Porphyry,Cenozoic,38.4891666667,-113.1275,28.0,8064,felsic,felsic,felsic,felsic
Magmatic sulfide,Precambrian,46.6333333333,-81.3833333333,1770.0,8082,other,other,mafic,mafic
Magmatic sulfide,Precambrian,46.5361111111,-80.9988888889,1785.0,8182,felsic,felsic,volcanic,volcanic
Sediment-Hosted,Precambrian,26.180074,103.05997,1500.0,8302,mafic,mafic,other,other
Porphyry,Paleozoic,40.8138888889,69.6463888889,293.0,8417,volcanic,volcanic,volcanic,volcanic
VMS,Precambrian,18.0163888889,43.7011111111,1520.5,8418,other,other,metamorphic,metamorphic
Porphyry,Cenozoic,7.33333333333,126.15,10.65,8428,other,other,other,other
VMS,Cenozoic,15.987921786818,119.95553389241,50.0,8563,other,other,other,other
Porphyry,Cenozoic,9.49166666667,122.679166667,28.45,8577,other,other,felsic,felsic
Porphyry,Cenozoic,17.3444444444,121.058333333,8.45,8582,other,other,other,other
VMS,Paleozoic,23.1097222222,97.2966666667,470.0,8587,metamorphic,metamorphic,other,other
VMS,Mesozoic,24.35,56.4,100.0,8588,other,other,mafic,mafic
VMS,Mesozoic,33.8527777778,133.313888889,170.0,8667,other,other,metamorphic,metamorphic
VMS,Precambrian,54.6611111111,-102.033333333,1520.5,8700,volcanic,volcanic,volcanic,volcanic
Magmatic sulfide,Precambrian,55.7022222222,-97.9247222222,1880.0,8701,metamorphic,metamorphic,metamorphic,metamorphic
Sediment-Hosted,Precambrian,-31.087736111111,138.67381944444,630.0,8744,carbonate,carbonate,other,other
VMS,Mesozoic,55.393361111111,-129.85136388889,226.5,8794,mafic,mafic,volcanic,volcanic
Porphyry,Cenozoic,16.6377777778,120.676666667,10.5,8802,other,other,other,other
Porphyry,Cenozoic,-6.31513109142,155.495322227,3.4,8831,other,other,other,other
Porphyry,Mesozoic,49.879444444444,-120.00638888889,143.0,8859,felsic,felsic,felsic,felsic
