holdout_continent,K,split_number,n_inner_train,n_inner_validation,validation_perplexity,mean_topic_cosine,minimum_topic_cosine
Oceania,5,1,893,224,28.575727837977006,0.9826542606089342,0.9366410094974923
Oceania,5,2,893,224,28.485037132297297,0.7578221386962396,0.1520248072235491
Oceania,5,3,893,224,28.019982225481545,0.9479174072694144,0.9102571565421733
Oceania,6,1,893,224,29.184581552323085,0.8920924155406346,0.6258857791912794
Oceania,6,2,893,224,29.407202839685606,0.9095852725826763,0.7593422970300953
Oceania,6,3,893,224,29.009760593210896,0.9590413286052684,0.9020410855478249
Oceania,7,1,893,224,29.379639612240318,0.9498364397049027,0.8293808437059479
Oceania,7,2,893,224,28.869370757428513,0.9645218415085139,0.9364604726713869
Oceania,7,3,893,224,29.079093837597714,0.9762237426103697,0.9479412293742776
Oceania,8,1,893,224,30.69264958925465,0.8870234021997908,0.33671559218549496
Oceania,8,2,893,224,30.198713718240107,0.9413661710073609,0.8579057425795579
Oceania,8,3,893,224,29.885608782904338,0.9728649375227794,0.9327642511069899
Oceania,9,1,893,224,30.78364285231123,0.8777919387596441,0.12099314739403863
Oceania,9,2,893,224,29.81573063946987,0.9598242145247082,0.8989956297464063
Oceania,9,3,893,224,30.294478879545053,0.8128060188672436,0.34813306164127916
