holdout_continent,K,split_number,n_inner_train,n_inner_validation,validation_perplexity,mean_topic_cosine,minimum_topic_cosine
South America,5,1,867,217,29.357420673507423,0.958143801791118,0.8936952706616341
South America,5,2,867,217,27.77825978149107,0.9479646412759013,0.8815191878933889
South America,5,3,867,217,27.65245678544558,0.9506425140728748,0.871659798602901
South America,6,1,867,217,29.951877856608764,0.8705054787717593,0.5300003560165348
South America,6,2,867,217,28.444851717659272,0.9943999614362652,0.9892525562790332
South America,6,3,867,217,28.639556709396835,0.8517282271823953,0.5620770258641411
South America,7,1,867,217,30.38056990995221,0.9642278075115442,0.9293313854219212
South America,7,2,867,217,29.098950239027044,0.7869105446348333,0.08082515565542091
South America,7,3,867,217,29.1457449695198,0.9182634535203703,0.6771599834748651
South America,8,1,867,217,31.6370272343289,0.9749705745578312,0.9096369448442474
South America,8,2,867,217,30.074240814802874,0.8516893009698245,0.18271238902065143
South America,8,3,867,217,30.057075956617393,0.9496067647113101,0.800223911845529
South America,9,1,867,217,32.06525317697463,0.8829294773768899,0.1405312828349123
South America,9,2,867,217,29.827592825942283,0.8275883027447303,0.1193799953856121
South America,9,3,867,217,30.776836256176008,0.8965772754633977,0.3375277188731589
