source,seed,topic,topic_cosine_to_full,top10_jaccard_to_full,is_topic_7
Macrostrat,42,1,0.9970952272415161,1.0,False
Macrostrat,42,2,0.8130314946174622,0.6666666666666666,False
Macrostrat,42,3,0.9978548884391785,0.8181818181818182,False
Macrostrat,42,4,0.9103780388832092,0.25,False
Macrostrat,42,5,0.9763839244842529,0.3333333333333333,False
Macrostrat,42,6,0.9769522547721863,0.5384615384615384,False
Macrostrat,42,7,0.9939336180686951,0.25,True
Macrostrat,123,1,0.997644305229187,1.0,False
Macrostrat,123,2,0.8170406818389893,0.6666666666666666,False
Macrostrat,123,3,0.9977045059204102,0.8181818181818182,False
Macrostrat,123,4,0.9125182628631592,0.25,False
Macrostrat,123,5,0.9725462198257446,0.25,False
Macrostrat,123,6,0.9783996939659119,0.6666666666666666,False
Macrostrat,123,7,0.9931665658950806,0.25,True
Macrostrat,7,1,0.9970175623893738,1.0,False
Macrostrat,7,2,0.8095630407333374,0.6666666666666666,False
Macrostrat,7,3,0.9976517558097839,0.8181818181818182,False
Macrostrat,7,4,0.9084909558296204,0.25,False
Macrostrat,7,5,0.97263503074646,0.17647058823529413,False
Macrostrat,7,6,0.9768005609512329,0.5384615384615384,False
Macrostrat,7,7,0.9925758242607117,0.25,True
GLiM,42,1,0.9972953200340271,1.0,False
GLiM,42,2,0.9886183142662048,0.8181818181818182,False
GLiM,42,3,0.9987576603889465,0.8181818181818182,False
GLiM,42,4,0.9130712747573853,0.8181818181818182,False
GLiM,42,5,0.9478409886360168,0.17647058823529413,False
GLiM,42,6,0.9826439619064331,0.6666666666666666,False
GLiM,42,7,0.9961181879043579,0.25,True
GLiM,123,1,0.997235119342804,1.0,False
GLiM,123,2,0.988573431968689,0.8181818181818182,False
GLiM,123,3,0.9987277984619141,0.8181818181818182,False
GLiM,123,4,0.91301429271698,0.6666666666666666,False
GLiM,123,5,0.9467494487762451,0.1111111111111111,False
GLiM,123,6,0.9832407236099243,0.6666666666666666,False
GLiM,123,7,0.9969962239265442,0.25,True
GLiM,7,1,0.997349202632904,1.0,False
GLiM,7,2,0.9877814650535583,0.8181818181818182,False
GLiM,7,3,0.9987828135490417,0.8181818181818182,False
GLiM,7,4,0.9053487181663513,0.6666666666666666,False
GLiM,7,5,0.9523807764053345,0.25,False
GLiM,7,6,0.9843663573265076,0.6666666666666666,False
GLiM,7,7,0.997191846370697,0.17647058823529413,True
