Deposit_type,n_full,n_removed,n_retained,removed_percent,minimum_species_count_removed,maximum_species_count_retained,removed_species_count_mean,retained_species_count_mean,removed_family_count_mean,retained_family_count_mean
IOCG,82,9,73,10.975609756097562,44,43,59.44444444444444,21.410958904109588,24.444444444444443,13.356164383561644
Magmatic sulfide,81,9,72,11.11111111111111,53,53,84.44444444444444,20.819444444444443,22.444444444444443,9.972222222222221
Porphyry,595,60,535,10.084033613445378,41,40,54.65,16.01121495327103,23.983333333333334,11.51588785046729
Sediment-Hosted,138,14,124,10.144927536231885,34,31,51.5,11.870967741935484,20.142857142857142,8.233870967741936
VMS,341,35,306,10.263929618768328,35,35,52.714285714285715,14.607843137254902,22.0,10.098039215686274
