source,seed,topic,rank,trimmed_family,full_family,same_at_rank
Macrostrat,123,2,1,Cu_sulfides_supergene,Cu_carbonates_silicates,False
Macrostrat,123,2,2,Cu_carbonates_silicates,Fe_sulfides,False
Macrostrat,123,2,3,Native_elements_misc,Cu_sulfides_primary,False
Macrostrat,123,2,4,Cu_oxides,Cu_sulfides_supergene,False
Macrostrat,123,2,5,Halides_other,Fe_oxides_hydroxides,False
Macrostrat,123,2,6,Carbonates,Halides_other,False
Macrostrat,123,2,7,Quartz,Carbonates,False
Macrostrat,123,2,8,Cu_sulfides_other,Cu_oxides,False
Macrostrat,123,2,9,Cu_sulfides_primary,Other_silicates,False
Macrostrat,123,2,10,Other_silicates,Quartz,False
Macrostrat,123,3,1,Fe_sulfides,Cu_sulfides_primary,False
Macrostrat,123,3,2,Cu_sulfides_primary,Fe_sulfides,False
Macrostrat,123,3,3,Micas_sericite,Micas_sericite,True
Macrostrat,123,3,4,Mo_sulfides,Mo_sulfides,True
Macrostrat,123,3,5,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
Macrostrat,123,3,6,Cu_sulfides_supergene,Cu_sulfides_supergene,True
Macrostrat,123,3,7,Skarn_calc_silicates,Skarn_calc_silicates,True
Macrostrat,123,3,8,Zn_sulfides,Zn_sulfides,True
Macrostrat,123,3,9,Other_silicates,Other_silicates,True
Macrostrat,123,3,10,Cu_carbonates_silicates,Pb_sulfides,False
Macrostrat,123,4,1,As_Sb_Bi_sulfosalts,Native_elements_misc,False
Macrostrat,123,4,2,Fe_sulfides,Other_silicates,False
Macrostrat,123,4,3,Other_silicates,Quartz,False
Macrostrat,123,4,4,Skarn_calc_silicates,Cu_sulfides_other,False
Macrostrat,123,4,5,Ni_Co_sulfides_arsenides,Au_Ag_native,False
Macrostrat,123,4,6,Native_elements_misc,Carbonates,False
Macrostrat,123,4,7,Au_Ag_native,Ni_Co_sulfides_arsenides,False
Macrostrat,123,4,8,Oxides_misc,Cu_sulfides_supergene,False
Macrostrat,123,4,9,PGE_alloys_intermetallics,Cu_sulfides_primary,False
Macrostrat,123,4,10,Ti_oxides,Pb_sulfides,False
Macrostrat,123,5,1,Halides_fluorite,Cu_sulfides_primary,False
