Mindat_id,Deposit_type,age_category,Macrostrat_model_lithology,GLiM_model_lithology,mapped_species_count,present_family_count,Mindat_id,documentation_rank_within_type,documentation_percentile_within_type,remove_top_documented
131316,VMS,Unknown,volcanic,volcanic,31,20.0,131316,46,0.1348973607038123,False
13132,VMS,Precambrian,siliciclastic,metamorphic,25,18.0,13132,77,0.22580645161290322,False
132,IOCG,Precambrian,felsic,metamorphic,43,21.0,132,11,0.13414634146341464,False
132210,Porphyry,Unknown,metamorphic,metamorphic,7,7.0,132210,500,0.8403361344537815,False
132305,Sediment-Hosted,Cenozoic,other,siliciclastic,5,4.0,132305,112,0.8115942028985508,False
132814,Porphyry,Precambrian,carbonate,volcanic,6,6.0,132814,521,0.8756302521008403,False
133117,Porphyry,Cenozoic,other,volcanic,16,14.0,133117,289,0.4857142857142857,False
134,IOCG,Precambrian,metamorphic,mafic,43,20.0,134,12,0.14634146341463414,False
134565,Porphyry,Cenozoic,felsic,felsic,18,13.0,134565,252,0.4235294117647059,False
134575,Porphyry,Cenozoic,other,felsic,30,21.0,134575,110,0.18487394957983194,False
134576,Porphyry,Cenozoic,other,other,73,25.0,134576,8,0.013445378151260505,True
134599,Magmatic sulfide,Precambrian,other,siliciclastic,33,16.0,134599,23,0.2839506172839506,False
134605,VMS,Precambrian,other,siliciclastic,23,14.0,134605,92,0.2697947214076246,False
134676,Porphyry,Mesozoic,volcanic,felsic,39,24.0,134676,63,0.10588235294117647,False
13473,Sediment-Hosted,Paleozoic,siliciclastic,siliciclastic,37,22.0,13473,9,0.06521739130434782,True
13474,Sediment-Hosted,Precambrian,carbonate,carbonate,10,9.0,13474,80,0.5797101449275363,False
134745,IOCG,Precambrian,mafic,other,22,14.0,134745,41,0.5,False
13477,Sediment-Hosted,Precambrian,carbonate,other,14,11.0,13477,58,0.42028985507246375,False
13482,Sediment-Hosted,Precambrian,other,metamorphic,15,7.0,13482,56,0.4057971014492754,False
134936,Porphyry,Cenozoic,other,volcanic,66,27.0,134936,12,0.020168067226890758,True
135092,Sediment-Hosted,Cenozoic,other,siliciclastic,9,8.0,135092,85,0.6159420289855072,False
135234,Sediment-Hosted,Unknown,siliciclastic,siliciclastic,6,4.0,135234,108,0.782608695652174,False
135235,IOCG,Unknown,siliciclastic,siliciclastic,28,18.0,135235,27,0.32926829268292684,False
135237,Porphyry,Mesozoic,other,felsic,46,20.0,135237,38,0.06386554621848739,True
135298,VMS,Precambrian,other,mafic,41,24.0,135298,25,0.07331378299120235,True
135329,Porphyry,Cenozoic,felsic,felsic,21,17.0,135329,196,0.32941176470588235,False
136123,Porphyry,Unknown,siliciclastic,metamorphic,4,4.0,136123,563,0.946218487394958,False
13770,Porphyry,Unknown,volcanic,volcanic,50,27.0,13770,28,0.047058823529411764,True
13826,IOCG,Precambrian,other,other,44,17.0,13826,9,0.10975609756097561,True
13841,Sediment-Hosted,Unknown,siliciclastic,siliciclastic,36,17.0,13841,11,0.07971014492753623,True
13949,Sediment-Hosted,Precambrian,volcanic,metamorphic,22,14.0,13949,24,0.17391304347826086,False
13955,VMS,Precambrian,metamorphic,volcanic,26,16.0,13955,70,0.20527859237536658,False
13958,IOCG,Unknown,metamorphic,other,8,8.0,13958,76,0.926829268292683,False
140,VMS,Paleozoic,felsic,volcanic,37,22.0,140,27,0.07917888563049853,True
14096,VMS,Mesozoic,other,mafic,15,10.0,14096,171,0.501466275659824,False
14115,Porphyry,Cenozoic,volcanic,other,21,15.0,14115,206,0.346218487394958,False
142172,Porphyry,Cenozoic,other,felsic,18,14.0,142172,245,0.4117647058823529,False
142173,Porphyry,Cenozoic,other,siliciclastic,21,14.0,142173,209,0.35126050420168065,False
142174,Porphyry,Cenozoic,other,other,10,9.0,142174,419,0.704201680672269,False
142183,Porphyry,Cenozoic,other,other,13,11.0,142183,353,0.5932773109243697,False
142185,Porphyry,Cenozoic,other,other,22,15.0,142185,191,0.32100840336134456,False
142186,Porphyry,Cenozoic,other,other,3,3.0,142186,587,0.9865546218487395,False
142189,Porphyry,Cenozoic,other,felsic,10,9.0,142189,420,0.7058823529411765,False
142195,Porphyry,Cenozoic,other,other,13,10.0,142195,363,0.6100840336134454,False
142686,Porphyry,Paleozoic,other,other,18,15.0,142686,244,0.41008403361344536,False
142687,Porphyry,Paleozoic,other,siliciclastic,33,21.0,142687,85,0.14285714285714285,False
142688,Porphyry,Paleozoic,other,siliciclastic,14,12.0,142688,338,0.5680672268907563,False
142689,Porphyry,Paleozoic,other,other,12,11.0,142689,374,0.6285714285714286,False
142690,Porphyry,Paleozoic,other,other,13,12.0,142690,352,0.5915966386554622,False
142691,Porphyry,Paleozoic,other,other,15,12.0,142691,311,0.5226890756302521,False
142692,Porphyry,Mesozoic,other,felsic,35,20.0,142692,78,0.13109243697478992,False
142695,Porphyry,Paleozoic,other,siliciclastic,24,18.0,142695,158,0.26554621848739496,False
142696,Porphyry,Mesozoic,other,felsic,32,20.0,142696,93,0.15630252100840336,False
142697,Porphyry,Mesozoic,volcanic,other,29,19.0,142697,117,0.19663865546218487,False
142698,Porphyry,Paleozoic,other,volcanic,29,19.0,142698,118,0.19831932773109243,False
142699,Porphyry,Mesozoic,other,carbonate,29,17.0,142699,121,0.20336134453781513,False
142700,Porphyry,Precambrian,felsic,other,32,19.0,142700,97,0.16302521008403362,False
142703,Porphyry,Cenozoic,other,volcanic,15,13.0,142703,309,0.519327731092437,False
14297,Magmatic sulfide,Precambrian,felsic,felsic,13,6.0,14297,60,0.7407407407407407,False
143447,Magmatic sulfide,Unknown,metamorphic,felsic,16,15.0,143447,50,0.6172839506172839,False
14351,Sediment-Hosted,Precambrian,other,metamorphic,6,4.0,14351,107,0.7753623188405797,False
143624,Magmatic sulfide,Unknown,felsic,felsic,32,16.0,143624,25,0.30864197530864196,False
143633,Magmatic sulfide,Mesozoic,other,other,4,3.0,143633,76,0.9382716049382716,False
143648,Magmatic sulfide,Mesozoic,other,metamorphic,16,8.0,143648,52,0.6419753086419753,False
143685,Magmatic sulfide,Unknown,other,other,4,3.0,143685,77,0.9506172839506173,False
143718,Porphyry,Unknown,mafic,volcanic,23,17.0,143718,176,0.2957983193277311,False
143888,VMS,Paleozoic,other,other,19,13.0,143888,123,0.36070381231671556,False
143892,Porphyry,Paleozoic,felsic,other,27,20.0,143892,130,0.2184873949579832,False
143975,Magmatic sulfide,Paleozoic,other,carbonate,77,22.0,143975,5,0.06172839506172839,True
144051,Magmatic sulfide,Paleozoic,other,siliciclastic,44,16.0,144051,16,0.19753086419753085,False
144055,VMS,Paleozoic,other,other,37,22.0,144055,28,0.08211143695014662,True
144069,Magmatic sulfide,Paleozoic,other,siliciclastic,17,12.0,144069,45,0.5555555555555556,False
144070,Magmatic sulfide,Paleozoic,other,siliciclastic,3,3.0,144070,80,0.9876543209876543,False
144071,Magmatic sulfide,Paleozoic,other,other,11,5.0,144071,63,0.7777777777777778,False
144072,Magmatic sulfide,Paleozoic,other,siliciclastic,6,5.0,144072,72,0.8888888888888888,False
144073,Magmatic sulfide,Paleozoic,other,siliciclastic,41,18.0,144073,18,0.2222222222222222,False
144081,Magmatic sulfide,Paleozoic,other,other,7,5.0,144081,70,0.8641975308641975,False
144083,Magmatic sulfide,Unknown,other,felsic,31,16.0,144083,27,0.3333333333333333,False
14413,VMS,Paleozoic,carbonate,metamorphic,80,26.0,14413,3,0.008797653958944282,True
144270,IOCG,Paleozoic,other,felsic,26,15.0,144270,34,0.4146341463414634,False
144272,VMS,Paleozoic,other,felsic,32,18.0,144272,45,0.13196480938416422,False
144450,Magmatic sulfide,Unknown,other,mafic,21,12.0,144450,37,0.4567901234567901,False
144548,IOCG,Precambrian,mafic,other,38,22.0,144548,15,0.18292682926829268,False
144713,Magmatic sulfide,Unknown,mafic,felsic,15,9.0,144713,55,0.6790123456790124,False
144903,VMS,Mesozoic,other,carbonate,18,12.0,144903,143,0.41935483870967744,False
144955,VMS,Paleozoic,mafic,volcanic,23,18.0,144955,88,0.25806451612903225,False
144957,VMS,Paleozoic,mafic,volcanic,26,16.0,144957,72,0.21114369501466276,False
144964,VMS,Paleozoic,mafic,other,13,10.0,144964,195,0.5718475073313783,False
144966,VMS,Paleozoic,mafic,volcanic,8,7.0,144966,253,0.7419354838709677,False
145027,VMS,Precambrian,metamorphic,other,14,10.0,145027,182,0.533724340175953,False
145060,VMS,Paleozoic,mafic,metamorphic,12,9.0,145060,213,0.624633431085044,False
145237,VMS,Precambrian,other,other,17,15.0,145237,146,0.4281524926686217,False
145877,IOCG,Precambrian,metamorphic,metamorphic,49,22.0,145877,6,0.07317073170731707,True
145879,IOCG,Precambrian,felsic,felsic,42,22.0,145879,14,0.17073170731707318,False
145884,IOCG,Unknown,metamorphic,metamorphic,28,16.0,145884,29,0.35365853658536583,False
146259,VMS,Mesozoic,mafic,siliciclastic,15,10.0,146259,172,0.5043988269794721,False
146855,Porphyry,Mesozoic,felsic,other,41,23.0,146855,59,0.09915966386554621,True
146933,VMS,Mesozoic,other,carbonate,49,24.0,146933,15,0.04398826979472141,True
147060,Magmatic sulfide,Paleozoic,other,siliciclastic,3,3.0,147060,81,1.0,False
147067,Magmatic sulfide,Unknown,other,metamorphic,7,5.0,147067,71,0.8765432098765432,False
147142,VMS,Paleozoic,volcanic,metamorphic,5,5.0,147142,302,0.8856304985337243,False
147151,VMS,Precambrian,other,metamorphic,19,13.0,147151,124,0.36363636363636365,False
14738,Sediment-Hosted,Paleozoic,other,metamorphic,15,6.0,14738,57,0.41304347826086957,False
14752,VMS,Paleozoic,carbonate,volcanic,60,19.0,14752,9,0.026392961876832845,True
14853,VMS,Paleozoic,mafic,volcanic,17,13.0,14853,148,0.4340175953079179,False
15187,Porphyry,Precambrian,volcanic,metamorphic,47,23.0,15187,34,0.05714285714285714,True
152,Sediment-Hosted,Precambrian,carbonate,other,48,22.0,152,6,0.043478260869565216,True
15213,Porphyry,Cenozoic,carbonate,felsic,26,15.0,15213,145,0.24369747899159663,False
15217,Sediment-Hosted,Precambrian,volcanic,metamorphic,7,6.0,15217,94,0.6811594202898551,False
153539,Sediment-Hosted,Mesozoic,other,other,28,14.0,153539,19,0.13768115942028986,False
155468,Sediment-Hosted,Precambrian,mafic,siliciclastic,14,10.0,155468,61,0.4420289855072464,False
155526,Magmatic sulfide,Unknown,mafic,other,47,14.0,155526,12,0.14814814814814814,False
