Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
10058,VMS,Precambrian,54.8333333333,-100.283333333,1800.0,volcanic,volcanic,felsic,felsic
10328,Magmatic sulfide,Precambrian,46.476256349528,-81.06023639679,1785.0,siliciclastic,siliciclastic,other,other
10351,VMS,Precambrian,54.6513888889,-102.331388889,1520.5,volcanic,volcanic,volcanic,volcanic
10383,Magmatic sulfide,Precambrian,46.462280137519,-81.186388528286,1785.0,mafic,mafic,volcanic,volcanic
10452,VMS,Precambrian,54.722092157646,-101.70988082886,1907.5,mafic,mafic,mafic,mafic
10591,Porphyry,Precambrian,67.0725,20.9575,935.85,felsic,felsic,volcanic,volcanic
10618,VMS,Precambrian,67.8776890181,20.1402924561,2200.0,felsic,felsic,metamorphic,metamorphic
10663,VMS,Precambrian,64.8467083298,20.2762852907,1520.5,felsic,felsic,metamorphic,metamorphic
10687,VMS,Paleozoic,47.4297222222,-66.4016666667,445.0,mafic,mafic,volcanic,volcanic
10790,Sediment-Hosted,Paleozoic,45.9369444444,-64.4769444444,300.0,other,other,siliciclastic,siliciclastic
10867,VMS,Precambrian,48.0727777778,-77.7133333333,2715.0,mafic,mafic,volcanic,volcanic
10915,VMS,Precambrian,65.141854,19.157208,1950.0,siliciclastic,siliciclastic,volcanic,volcanic
10917,VMS,Precambrian,65.09996,19.102939,1520.5,felsic,felsic,metamorphic,metamorphic
10918,VMS,Precambrian,65.089900871547,14.45798134795,1950.0,volcanic,volcanic,metamorphic,metamorphic
11127,Magmatic sulfide,Precambrian,46.58,-80.795,1780.0,siliciclastic,siliciclastic,other,other
11182,VMS,Precambrian,54.763888888889,-101.88361111111,1800.0,volcanic,volcanic,metamorphic,metamorphic
11459,Porphyry,Unknown,34.4822222222,-111.856944444,,volcanic,volcanic,metamorphic,metamorphic
