source,seed,topic_reference_order,rank,family,probability
GLiM,42,3,8,Other_silicates,0.00030814635
GLiM,42,3,9,Clay_minerals,0.00030622326
GLiM,42,3,10,Cu_sulfides_other,0.00030333025
GLiM,42,4,1,Ni_Co_sulfides_arsenides,0.41950795
GLiM,42,4,2,Sulfides_misc,0.17437184
GLiM,42,4,3,As_Sb_Bi_sulfosalts,0.16703855
GLiM,42,4,4,Fe_sulfides,0.10032
GLiM,42,4,5,Native_elements_misc,0.055208948
GLiM,42,4,6,Zn_sulfides,0.035275955
GLiM,42,4,7,PGE_alloys_intermetallics,0.018980449
GLiM,42,4,8,Pb_sulfides,0.011777875
GLiM,42,4,9,Fe_oxides_hydroxides,0.0075448267
GLiM,42,4,10,REE_accessory,0.002137367
GLiM,42,5,1,Other_silicates,0.18760245
GLiM,42,5,2,Fe_oxides_hydroxides,0.12392578
GLiM,42,5,3,Carbonates,0.10779114
GLiM,42,5,4,Cu_sulfides_primary,0.103608504
GLiM,42,5,5,Fe_sulfides,0.100211576
GLiM,42,5,6,Quartz,0.05184285
GLiM,42,5,7,Skarn_calc_silicates,0.051820114
GLiM,42,5,8,Feldspars,0.04227174
GLiM,42,5,9,Au_Ag_native,0.038887214
GLiM,42,5,10,Oxides_misc,0.031043105
GLiM,42,6,1,Cu_sulfides_other,0.15482756
GLiM,42,6,2,Fe_sulfides,0.14228761
GLiM,42,6,3,Pb_sulfides,0.13561441
GLiM,42,6,4,Zn_sulfides,0.1051134
GLiM,42,6,5,Cu_sulfides_primary,0.10361392
GLiM,42,6,6,Cu_sulfides_supergene,0.06751239
GLiM,42,6,7,Au_Ag_native,0.061174966
GLiM,42,6,8,Quartz,0.057662155
GLiM,42,6,9,Micas_sericite,0.056924537
GLiM,42,6,10,Barite,0.052431066
GLiM,42,7,1,Phosphates_other,0.59394556
GLiM,42,7,2,Halides_other,0.3018814
GLiM,42,7,3,Mn_oxides,0.067615256
GLiM,42,7,4,Cu_sulfides_other,0.0046864147
GLiM,42,7,5,Sulfates_other,0.0039316854
GLiM,42,7,6,Other_silicates,0.0019782013
GLiM,42,7,7,Cu_carbonates_silicates,0.001394418
GLiM,42,7,8,Cu_oxides,0.0012991574
GLiM,42,7,9,Sulfides_misc,0.0011586978
GLiM,42,7,10,Carbonates,0.0010666017
Combined,42,1,1,Fe_oxides_hydroxides,0.12721764
Combined,42,1,2,Skarn_calc_silicates,0.12714688
Combined,42,1,3,Mo_sulfides,0.12056102
Combined,42,1,4,Cu_sulfides_primary,0.119047225
Combined,42,1,5,Evaporite_sulfates,0.105395
Combined,42,1,6,Cu_sulfides_supergene,0.098528296
Combined,42,1,7,Micas_sericite,0.09837394
Combined,42,1,8,Clay_minerals,0.09607705
Combined,42,1,9,Cu_carbonates_silicates,0.06203242
Combined,42,1,10,Halides_fluorite,0.012942779
Combined,42,2,1,Other_silicates,0.28080824
Combined,42,2,2,Cu_sulfides_supergene,0.24394561
Combined,42,2,3,Cu_carbonates_silicates,0.24351051
Combined,42,2,4,Cu_oxides,0.15057194
Combined,42,2,5,Native_elements_misc,0.06917338
Combined,42,2,6,Cu_sulfides_primary,0.0059494176
Combined,42,2,7,Fe_oxides_hydroxides,0.0011599135
Combined,42,2,8,Fe_sulfides,0.00071971945
Combined,42,2,9,Carbonates,0.00042405946
Combined,42,2,10,Micas_sericite,0.00031259068
Combined,42,3,1,Sulfates_other,0.9567385
Combined,42,3,2,Evaporite_sulfates,0.032243397
Combined,42,3,3,Barite,0.0018982304
Combined,42,3,4,Fe_oxides_hydroxides,0.0009045378
Combined,42,3,5,Sulfides_misc,0.00042052314
Combined,42,3,6,Zn_sulfides,0.0003256167
Combined,42,3,7,Pb_sulfides,0.00031274543
Combined,42,3,8,As_Sb_Bi_sulfosalts,0.00031056392
Combined,42,3,9,Cu_sulfides_supergene,0.00029840702
Combined,42,3,10,Cu_sulfides_other,0.00029643712
Combined,42,4,1,Ni_Co_sulfides_arsenides,0.5220274
Combined,42,4,2,Sulfides_misc,0.1930981
Combined,42,4,3,As_Sb_Bi_sulfosalts,0.19270848
Combined,42,4,4,Native_elements_misc,0.051134393
Combined,42,4,5,PGE_alloys_intermetallics,0.020791553
Combined,42,4,6,REE_accessory,0.008320275
Combined,42,4,7,Pb_sulfides,0.002036193
Combined,42,4,8,Cu_sulfides_other,0.0019187039
Combined,42,4,9,Fe_sulfides,0.0016124883
Combined,42,4,10,Au_Ag_native,0.0011001414
Combined,42,5,1,Other_silicates,0.14502119
Combined,42,5,2,Fe_sulfides,0.12272544
Combined,42,5,3,Carbonates,0.116643324
Combined,42,5,4,Fe_oxides_hydroxides,0.11290154
Combined,42,5,5,Cu_sulfides_primary,0.09293783
Combined,42,5,6,Quartz,0.053544417
Combined,42,5,7,Skarn_calc_silicates,0.049021963
Combined,42,5,8,Feldspars,0.043833807
Combined,42,5,9,Au_Ag_native,0.040170424
Combined,42,5,10,Pb_sulfides,0.036637634
Combined,42,6,1,Fe_sulfides,0.16951974
Combined,42,6,2,Cu_sulfides_other,0.14704053
Combined,42,6,3,Cu_sulfides_primary,0.1267696
Combined,42,6,4,Pb_sulfides,0.10955949
Combined,42,6,5,Zn_sulfides,0.10871178
Combined,42,6,6,Fe_oxides_hydroxides,0.059253097
Combined,42,6,7,Au_Ag_native,0.057154205
Combined,42,6,8,Quartz,0.05450549
Combined,42,6,9,Cu_sulfides_supergene,0.050769635
Combined,42,6,10,Barite,0.04941996
Combined,42,7,1,Phosphates_other,0.5432033
Combined,42,7,2,Halides_other,0.33081618
Combined,42,7,3,Mn_oxides,0.09655828
Combined,42,7,4,Sulfates_other,0.0028918039
Combined,42,7,5,Cu_sulfides_other,0.0013755055
Combined,42,7,6,Sulfides_misc,0.0013648396
Combined,42,7,7,Other_silicates,0.0011754276
Combined,42,7,8,As_Sb_Bi_sulfosalts,0.0011502026
Combined,42,7,9,Cu_carbonates_silicates,0.0010759715
Combined,42,7,10,Cu_oxides,0.0010075283
