source,seed,n_deposits,n_families,n_steps,elapsed_seconds,elbo_last,elbo_mean_last_100,elbo_mean_last_100_per_doc,dm_log_prob_mean_per_doc,dm_log_prob_total,mean_topic_cosine_to_lda,min_topic_cosine_to_lda,omega_a,kappa,lithology_effective_mean_abs,age_effective_mean_abs,ratio_lithology_over_age,tau_mean,tau_median
Macrostrat,42,1237,35,5000,168.98140740394592,-31251.592210412025,-31281.511153810025,-25.28820626823769,-24.68084489876453,-30530.205139771722,0.8458537378600335,0.5258338570047564,0.4024960903326074,100.66688354119371,0.006176079623401165,0.0013016796438023448,4.744700167055067,0.20208284258842468,0.17464564740657806
Macrostrat,123,1237,35,5000,155.31067156791687,-35179.85991573334,-31340.75064012289,-25.336095909557713,-24.680482890562867,-30529.75733562627,0.8461641998141367,0.5246380691390886,0.44519618151175167,100.73646205437683,0.006223518401384354,0.001478751190006733,4.208631204114884,0.2049625813961029,0.1774037778377533
Macrostrat,7,1237,35,5000,147.10270929336548,-31268.087980151176,-31297.17919634938,-25.3008724303552,-24.680177776054403,-30529.3799089793,0.8472385960961916,0.5264969528097279,0.418668921147188,99.60035924727259,0.006158333737403154,0.0013635571813210845,4.516373659839218,0.20067760348320007,0.1667061746120453
GLiM,42,1237,35,5000,143.74712443351746,-31243.98009467125,-31260.15004253149,-25.270937787010098,-24.641610595939596,-30481.67230717728,0.8661233385521141,0.5346370033850257,0.510920690305807,103.4989198376802,0.006766814272850752,0.0018584224162623286,3.641160488399733,0.21966572105884552,0.1640748679637909
GLiM,123,1237,35,5000,148.0558614730835,-31256.608891129494,-31273.26495923519,-25.281539983213573,-24.640389108422827,-30480.161327119036,0.8668501128003957,0.5261791343942246,0.49078870061721297,102.45030399670459,0.006843215320259333,0.001815506722778082,3.7693142274834814,0.21736857295036316,0.16484211385250092
GLiM,7,1237,35,5000,144.18249082565308,-31247.83258652687,-31284.345776076316,-25.290497797959834,-24.63983412657866,-30479.474814577803,0.8554829255306162,0.49620871848161047,0.5451461073798616,103.37166963037244,0.006746881641447544,0.002079535508528352,3.244417618154636,0.21881254017353058,0.17878220975399017
Combined,42,1237,35,5000,144.4279806613922,-31283.641696572304,-31311.231252245903,-25.31223221685198,-24.67470576355523,-30522.611029517822,0.8419691899276348,0.5331551666108633,0.4061466146508784,100.98164179982156,0.006207928527146578,0.0013892450369894505,4.468562681065543,0.20354746282100677,0.1670903116464615
Combined,123,1237,35,5000,148.43982982635498,-31273.70004785061,-31286.673587441444,-25.29237961798015,-24.675424869196206,-30523.500563195706,0.8458107161713265,0.5417947715183133,0.4301885094621876,99.85334356360332,0.0063281189650297165,0.0014754298608750105,4.289000197730034,0.20743641257286072,0.169374480843544
Combined,7,1237,35,5000,147.21961212158203,-31280.441823363304,-31303.125966957807,-25.305679843943256,-24.674269253410625,-30522.071066468943,0.8456372075276789,0.5338775546062705,0.3932513310168954,98.91851747036961,0.00620316294953227,0.0012841074494645,4.830719541514319,0.20660154521465302,0.1739901453256607
