Mindat_id,n_minerals_total,n_minerals_mapped,n_families_primary,n_families_copper,pct_mapped
17055.0,48,48,8,19,100.0
17154.0,12,12,3,8,100.0
17175.0,32,32,6,19,100.0
17373.0,9,9,4,7,100.0
17460.0,23,23,5,13,100.0
17539.0,15,15,6,12,100.0
17692.0,34,34,8,21,100.0
17816.0,28,28,7,20,100.0
18255.0,22,22,6,15,100.0
18270.0,23,23,6,18,100.0
18379.0,17,17,5,9,100.0
18441.0,18,18,5,13,100.0
18571.0,16,16,5,12,100.0
18578.0,10,10,2,6,100.0
18580.0,10,10,5,9,100.0
18581.0,15,15,4,12,100.0
18583.0,28,28,7,17,100.0
18672.0,25,25,5,13,100.0
18705.0,3,3,1,2,100.0
18790.0,26,26,5,12,100.0
18837.0,26,26,6,16,100.0
18839.0,47,47,9,21,100.0
18963.0,9,9,1,5,100.0
19036.0,20,20,5,15,100.0
19062.0,20,20,6,14,100.0
19089.0,6,6,3,5,100.0
19265.0,15,15,6,14,100.0
19429.0,45,45,8,21,100.0
19493.0,19,19,6,15,100.0
19949.0,14,14,5,10,100.0
19966.0,21,21,6,14,100.0
19975.0,26,26,7,16,100.0
20111.0,34,34,7,18,100.0
20202.0,5,5,2,4,100.0
20269.0,33,33,8,22,100.0
21099.0,18,18,6,12,100.0
21132.0,20,20,6,12,100.0
21217.0,27,27,5,12,100.0
21221.0,17,17,5,12,100.0
21538.0,37,37,7,18,100.0
21589.0,61,61,8,22,100.0
21603.0,15,15,5,11,100.0
21605.0,14,14,5,12,100.0
21638.0,4,4,1,3,100.0
21755.0,35,35,7,20,100.0
22091.0,38,38,7,17,100.0
22183.0,17,17,4,12,100.0
22204.0,22,22,7,16,100.0
22531.0,29,29,8,17,100.0
22701.0,20,20,6,13,100.0
22945.0,21,21,6,16,100.0
22987.0,10,10,4,7,100.0
23128.0,14,14,5,11,100.0
23197.0,24,24,6,12,100.0
23362.0,43,43,8,19,100.0
23365.0,18,18,4,11,100.0
23547.0,30,30,5,16,100.0
24322.0,7,7,3,6,100.0
24511.0,24,24,7,16,100.0
24995.0,67,67,9,27,100.0
25120.0,69,69,9,28,100.0
25121.0,73,73,8,25,100.0
25286.0,23,23,7,16,100.0
25293.0,19,19,6,12,100.0
25303.0,56,56,6,21,100.0
25368.0,28,28,7,19,100.0
25411.0,28,28,8,17,100.0
25444.0,4,4,3,3,100.0
25473.0,18,18,7,14,100.0
25581.0,16,16,5,12,100.0
25611.0,9,9,3,7,100.0
25612.0,5,5,1,4,100.0
25613.0,20,20,6,16,100.0
25615.0,5,5,3,4,100.0
25693.0,30,30,7,18,100.0
25759.0,46,46,7,21,100.0
25845.0,22,22,8,18,100.0
25904.0,21,21,6,16,100.0
25940.0,6,6,2,5,100.0
25949.0,36,36,8,22,100.0
25958.0,9,9,3,4,100.0
26138.0,10,10,5,9,100.0
26155.0,33,33,8,22,100.0
26179.0,12,12,4,6,100.0
26201.0,21,21,5,14,100.0
26314.0,17,17,4,7,100.0
26538.0,9,9,5,7,100.0
26686.0,17,17,5,12,100.0
26702.0,21,21,7,14,100.0
27056.0,34,34,7,22,100.0
27162.0,43,43,7,24,100.0
27221.0,43,43,8,23,100.0
27227.0,41,41,8,23,100.0
27261.0,27,27,8,16,100.0
27717.0,4,4,3,3,100.0
27934.0,18,18,7,13,100.0
28042.0,7,7,4,6,100.0
28095.0,44,44,6,21,100.0
28109.0,29,29,5,15,100.0
28110.0,5,5,2,5,100.0
28152.0,4,4,3,4,100.0
28230.0,46,46,8,27,100.0
28448.0,44,44,8,24,100.0
