mineral_raw,mineral_base,key,count,family_primary,family_copper,tags
Brannerite,Brannerite,brannerite,14,Oxides_hydroxides,Ti_oxides,U_Th_indicator
Connellite,Connellite,connellite,14,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Troilite,Troilite,troilite,14,Sulfides_and_analogues,Sulfides_misc,
Arsenic,Arsenic,arsenic,14,Native_elements,Native_elements_misc,
Matildite,Matildite,matildite,14,Sulfosalts,As_Sb_Bi_sulfosalts,Ag_bearing
Stützite,Stützite,stützite,14,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Argentopentlandite,Argentopentlandite,argentopentlandite,14,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ag_bearing;Ni_bearing
Alunogen,Alunogen,alunogen,14,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Galenobismutite,Galenobismutite,galenobismutite,14,Sulfosalts,Pb_sulfides,
Hastingsite,Hastingsite,hastingsite,13,Silicates,Other_silicates,
Polydymite,Polydymite,polydymite,13,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Krennerite,Krennerite,krennerite,13,Sulfides_and_analogues,Sulfides_misc,Ag_bearing;Au_bearing
Polybasite,Polybasite,polybasite,13,Sulfosalts,Cu_sulfides_other,Ag_bearing;Cu_bearing
Lepidocrocite,Lepidocrocite,lepidocrocite,13,Oxides_hydroxides,Fe_oxides_hydroxides,
Realgar,Realgar,realgar,13,Sulfosalts,Ni_Co_sulfides_arsenides,
Cyanotrichite,Cyanotrichite,cyanotrichite,13,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Paratacamite,Paratacamite,paratacamite,13,Halides,Halides_other,Cu_bearing
Celestine,Celestine,celestine,13,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Famatinite,Famatinite,famatinite,13,Sulfosalts,Cu_sulfides_other,Cu_bearing
Topaz,Topaz,topaz,13,Halides,Halides_fluorite,
Sudburyite,Sudburyite,sudburyite,13,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,
Irarsite,Irarsite,irarsite,13,Sulfosalts,Ni_Co_sulfides_arsenides,
Stephanite,Stephanite,stephanite,12,Sulfosalts,As_Sb_Bi_sulfosalts,Ag_bearing
Dyscrasite,Dyscrasite,dyscrasite,12,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,Ag_bearing
Tellurium,Tellurium,tellurium,12,Native_elements,Native_elements_misc,
Devilline,Devilline,devilline,12,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Svanbergite,Svanbergite,svanbergite,12,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Stibiopalladinite,Stibiopalladinite,stibiopalladinite,12,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,
Mawsonite,Mawsonite,mawsonite,12,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Natrojarosite,Natrojarosite,natrojarosite,12,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Molybdite,Molybdite,molybdite,12,Oxides_hydroxides,Oxides_misc,Mo_bearing
Parkerite,Parkerite,parkerite,12,Sulfosalts,Pb_sulfides,Ni_bearing
Coloradoite,Coloradoite,coloradoite,12,Sulfides_and_analogues,Sulfides_misc,
Cobaltpentlandite,Cobaltpentlandite,cobaltpentlandite,12,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Co_bearing
Dravite,Dravite,dravite,12,Silicates,Other_silicates,
Volynskite,Volynskite,volynskite,12,Sulfosalts,As_Sb_Bi_sulfosalts,Ag_bearing
Goslarite,Goslarite,goslarite,12,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Saponite,Saponite,saponite,12,Silicates,Other_silicates,
Orpiment,Orpiment,orpiment,12,Sulfosalts,Ni_Co_sulfides_arsenides,
Rosasite,Rosasite,rosasite,12,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing
Coquimbite,Coquimbite,coquimbite,12,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Greenockite,Greenockite,greenockite,12,Sulfides_and_analogues,Sulfides_misc,
Beudantite,Beudantite,beudantite,12,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Pyromorphite,Pyromorphite,pyromorphite,11,Phosphates_arsenates_vanadates,Phosphates_other,
Nontronite,Nontronite,nontronite,11,Silicates,Other_silicates,
Analcime,Analcime,analcime,11,Silicates,Other_silicates,
Ferro-actinolite,Ferro-actinolite,ferro-actinolite,11,Silicates,Other_silicates,
Hollingworthite,Hollingworthite,hollingworthite,11,Sulfosalts,Ni_Co_sulfides_arsenides,
Woodhouseite,Woodhouseite,woodhouseite,11,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Grunerite,Grunerite,grunerite,11,Silicates,Other_silicates,
Glaucodot,Glaucodot,glaucodot,11,Sulfosalts,Ni_Co_sulfides_arsenides,Co_bearing
Heazlewoodite,Heazlewoodite,heazlewoodite,11,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Monazite-(Ce),Monazite,monazite,11,Phosphates_arsenates_vanadates,REE_accessory,REE_indicator
Linarite,Linarite,linarite,11,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Braggite,Braggite,braggite,11,Sulfides_and_analogues,Sulfides_misc,
Hercynite,Hercynite,hercynite,10,Oxides_hydroxides,Fe_oxides_hydroxides,
Xenotime-(Y),Xenotime,xenotime,10,Phosphates_arsenates_vanadates,REE_accessory,REE_indicator
Vaesite,Vaesite,vaesite,10,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Goldfieldite,Goldfieldite,goldfieldite,10,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Thorite,Thorite,thorite,10,Silicates,Other_silicates,U_Th_indicator
Coffinite,Coffinite,coffinite,10,Silicates,Other_silicates,U_Th_indicator
Marialite,Marialite,marialite,10,Halides,Halides_other,
Hexahydrite,Hexahydrite,hexahydrite,10,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Beaverite-(Cu),Beaverite,beaverite,10,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Plumbojarosite,Plumbojarosite,plumbojarosite,10,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Skutterudite,Skutterudite,skutterudite,10,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Co_bearing
Rhodonite,Rhodonite,rhodonite,10,Silicates,Other_silicates,
Lizardite,Lizardite,lizardite,10,Silicates,Other_silicates,
Mottramite,Mottramite,mottramite,10,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing
Thaumasite,Thaumasite,thaumasite,10,Carbonates_nitrates,Carbonates,
Naumannite,Naumannite,naumannite,10,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Antimony,Antimony,antimony,10,Native_elements,Native_elements_misc,
Stannoidite,Stannoidite,stannoidite,10,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Niggliite,Niggliite,niggliite,9,Native_elements,PGE_alloys_intermetallics,
Iodargyrite,Iodargyrite,iodargyrite,9,Halides,Halides_other,Ag_bearing
Siderotil,Siderotil,siderotil,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Pyrosmalite-(Fe),Pyrosmalite,pyrosmalite,9,Silicates,Other_silicates,
Rozenite,Rozenite,rozenite,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Voltaite,Voltaite,voltaite,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Sulvanite,Sulvanite,sulvanite,9,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Hisingerite,Hisingerite,hisingerite,9,Silicates,Other_silicates,
Spherocobaltite,Spherocobaltite,spherocobaltite,9,Carbonates_nitrates,Carbonates,Co_bearing
Serpierite,Serpierite,serpierite,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Maslovite,Maslovite,maslovite,9,Sulfosalts,As_Sb_Bi_sulfosalts,
Empressite,Empressite,empressite,9,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Wurtzite,Wurtzite,wurtzite,9,Sulfides_and_analogues,Zn_sulfides,
Gibbsite,Gibbsite,gibbsite,9,Oxides_hydroxides,Oxides_misc,
Maghemite,Maghemite,maghemite,9,Oxides_hydroxides,Fe_oxides_hydroxides,
Scorodite,Scorodite,scorodite,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Römerite,Römerite,römerite,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Spangolite,Spangolite,spangolite,9,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Tsumoite,Tsumoite,tsumoite,9,Sulfosalts,As_Sb_Bi_sulfosalts,
Pilsenite,Pilsenite,pilsenite,9,Sulfosalts,As_Sb_Bi_sulfosalts,
Gedrite,Gedrite,gedrite,8,Silicates,Other_silicates,
Domeykite,Domeykite,domeykite,8,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Safflorite,Safflorite,safflorite,8,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Co_bearing
Chalcophyllite,Chalcophyllite,chalcophyllite,8,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Magnesio-hornblende,Magnesio-hornblende,magnesio-hornblende,8,Silicates,Other_silicates,
Germanite,Germanite,germanite,8,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Chrysotile,Chrysotile,chrysotile,8,Silicates,Other_silicates,
Natrolite,Natrolite,natrolite,8,Silicates,Other_silicates,
Alloclasite,Alloclasite,alloclasite,8,Sulfosalts,Ni_Co_sulfides_arsenides,Co_bearing
Bonattite,Bonattite,bonattite,8,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Hedleyite,Hedleyite,hedleyite,8,Sulfosalts,As_Sb_Bi_sulfosalts,
Laitakarite,Laitakarite,laitakarite,8,Sulfosalts,As_Sb_Bi_sulfosalts,
Brucite,Brucite,brucite,8,Oxides_hydroxides,Oxides_misc,
Allargentum,Allargentum,allargentum,8,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,Ag_bearing
Wavellite,Wavellite,wavellite,8,Phosphates_arsenates_vanadates,Phosphates_other,
Fluorapophyllite-(K),Fluorapophyllite,fluorapophyllite,8,Halides,Halides_fluorite,
Szomolnokite,Szomolnokite,szomolnokite,8,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Natroalunite,Natroalunite,natroalunite,8,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Atokite,Atokite,atokite,7,Native_elements,PGE_alloys_intermetallics,
Descloizite,Descloizite,descloizite,7,Phosphates_arsenates_vanadates,Phosphates_other,
Manganite,Manganite,manganite,7,Oxides_hydroxides,Mn_oxides,
Vanadinite,Vanadinite,vanadinite,7,Phosphates_arsenates_vanadates,Phosphates_other,
Spionkopite,Spionkopite,spionkopite,7,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Awaruite,Awaruite,awaruite,7,Native_elements,PGE_alloys_intermetallics,Ni_bearing
Clinoatacamite,Clinoatacamite,clinoatacamite,7,Halides,Halides_other,Cu_bearing
Sylvite,Sylvite,sylvite,7,Halides,Halides_other,
Ullmannite,Ullmannite,ullmannite,7,Sulfosalts,Ni_Co_sulfides_arsenides,Ni_bearing
Gerhardtite,Gerhardtite,gerhardtite,7,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing
Hydroxylapatite,Hydroxylapatite,hydroxylapatite,7,Phosphates_arsenates_vanadates,Phosphates_apatite,
Tamarugite,Tamarugite,tamarugite,7,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Leucophosphite,Leucophosphite,leucophosphite,7,Phosphates_arsenates_vanadates,Phosphates_other,
Seligmannite,Seligmannite,seligmannite,7,Sulfosalts,Cu_sulfides_other,Cu_bearing
Cacoxenite,Cacoxenite,cacoxenite,7,Phosphates_arsenates_vanadates,Phosphates_other,
Betekhtinite,Betekhtinite,betekhtinite,7,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Plumbogummite,Plumbogummite,plumbogummite,7,Phosphates_arsenates_vanadates,Phosphates_other,
Rammelsbergite,Rammelsbergite,rammelsbergite,7,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Sobolevskite,Sobolevskite,sobolevskite,7,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,
Duftite,Duftite,duftite,7,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Palygorskite,Palygorskite,palygorskite,7,Silicates,Other_silicates,
Talnakhite,Talnakhite,talnakhite,7,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Palladium,Palladium,palladium,7,Native_elements,PGE_alloys_intermetallics,
Pargasite,Pargasite,pargasite,7,Silicates,Other_silicates,
Autunite,Autunite,autunite,7,Phosphates_arsenates_vanadates,Phosphates_other,U_Th_indicator
Chalcoalumite,Chalcoalumite,chalcoalumite,7,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Pickeringite,Pickeringite,pickeringite,7,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Fibroferrite,Fibroferrite,fibroferrite,7,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Yarrowite,Yarrowite,yarrowite,6,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Rhomboclase,Rhomboclase,rhomboclase,6,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
