Mindat_id,Amphiboles_pyroxenes,As_Sb_Bi_sulfosalts,Au_Ag_native,Barite,Borates,Carbonates,Clay_minerals,Cu_carbonates_silicates,Cu_oxides,Cu_sulfides_other,Cu_sulfides_primary,Cu_sulfides_supergene,Epidote_group,Evaporite_sulfates,Fe_oxides_hydroxides,Fe_sulfides,Feldspars,Halides_fluorite,Halides_other,Micas_sericite,Mn_oxides,Mo_sulfides,Native_elements_misc,Ni_Co_sulfides_arsenides,Other_accessory,Other_silicates,Oxides_misc,PGE_alloys_intermetallics,Pb_sulfides,Phosphates_apatite,Phosphates_other,Quartz,REE_accessory,Skarn_calc_silicates,Sulfates_other,Sulfides_misc,Ti_oxides,Zn_sulfides
3373.0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,2,1,0,0,0,1,0,1,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1
3374.0,0,0,0,1,0,4,1,5,2,0,1,1,0,1,2,1,0,1,1,1,0,1,1,0,0,8,0,0,1,0,6,1,0,4,7,0,0,1
3376.0,0,1,0,0,0,5,2,3,2,0,2,2,0,2,4,2,1,3,0,1,1,1,1,0,0,17,0,0,1,0,4,0,0,4,7,0,1,1
3377.0,0,0,2,1,0,2,2,2,2,0,2,2,0,2,5,1,1,0,2,1,0,1,1,0,0,15,0,0,1,0,4,1,0,1,5,0,2,1
3856.0,0,0,1,1,0,5,1,2,1,3,2,3,0,0,2,2,2,1,3,1,0,1,3,0,0,4,0,0,1,0,0,1,0,1,1,2,1,2
3978.0,0,0,1,0,0,3,2,2,2,2,2,2,0,2,3,2,1,0,0,1,0,1,1,0,0,4,0,0,1,0,8,1,0,3,1,0,1,1
4181.0,0,2,2,1,0,9,2,2,2,7,2,3,0,1,4,3,1,1,0,1,1,1,1,4,0,14,1,2,2,0,5,1,0,4,8,4,0,1
4322.0,0,0,1,1,0,8,0,4,4,13,1,3,0,1,1,1,0,0,0,0,1,0,1,3,0,9,10,1,1,0,12,1,0,0,7,5,0,0
4331.0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0
4342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4343.0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4345.0,0,0,0,0,0,1,0,2,1,1,2,1,0,2,0,1,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0
4346.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
4349.0,0,0,0,1,0,2,0,1,0,1,2,2,0,1,0,2,3,0,0,1,0,1,1,2,0,3,1,0,0,0,3,1,0,0,0,0,1,0
4350.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,0
4364.0,0,0,2,1,0,0,0,0,0,5,2,1,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
4381.0,0,11,2,0,0,5,0,0,0,16,2,3,0,0,1,2,1,1,0,1,0,0,2,6,0,11,1,0,2,0,0,1,2,2,1,5,1,1
4464.0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,3,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,20,1,0,0,9,0,0,1
4496.0,0,0,2,1,0,5,2,4,2,2,2,3,0,1,2,3,1,0,0,1,0,0,1,2,0,6,2,0,1,0,8,1,0,1,8,5,1,1
4555.0,0,0,1,1,0,3,0,2,2,2,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,5,0,0,0
5436.0,0,2,1,0,0,3,2,3,2,4,2,3,0,1,3,2,1,1,1,1,7,1,1,0,0,12,2,0,1,0,4,1,0,4,13,1,1,1
5774.0,0,1,2,1,1,7,1,1,2,14,2,3,1,2,4,3,1,3,0,1,0,1,1,2,0,10,2,0,3,1,3,1,2,1,9,4,2,1
5792.0,0,1,2,0,0,4,2,2,2,1,2,3,0,1,4,2,2,2,0,1,3,1,1,0,0,10,2,0,3,0,0,1,0,3,4,0,1,1
5793.0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
5798.0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,1
6001.0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6771.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,2,1,0,0,1,0,0,0,0,0,15,4,0,1,0,0,1,0,2,0,1,1,1
6926.0,0,2,0,0,0,2,0,0,0,1,2,2,0,0,0,1,1,1,0,1,0,1,0,10,0,6,0,0,1,0,0,1,0,3,2,0,0,1
7314.0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
7372.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7377.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7378.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
7797.0,0,0,2,0,0,10,2,0,0,3,2,1,1,1,6,3,1,0,2,1,0,0,2,14,0,16,3,1,0,1,0,1,0,2,6,1,2,1
7971.0,0,0,0,0,0,1,0,3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0
8049.0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,10,0,0,0,1,3,0,0,0,0,0,0,2,1,1
8064.0,0,0,0,1,0,0,1,2,1,0,2,2,0,0,1,1,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,2,3,0,1,0
8082.0,0,10,2,0,0,2,0,0,0,4,2,2,0,1,3,2,1,0,4,0,0,0,1,9,0,9,2,2,4,0,0,1,0,2,0,5,0,1
8182.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8302.0,0,0,0,1,0,2,0,1,0,1,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8417.0,0,0,1,1,0,3,0,2,2,0,2,3,0,2,2,3,2,0,0,1,0,1,0,0,0,2,0,0,1,0,5,1,0,2,5,0,0,1
8418.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8428.0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8563.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8577.0,0,0,1,0,0,0,0,2,0,0,2,2,0,2,2,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1
8582.0,0,0,2,0,0,0,1,2,0,1,2,2,0,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
8587.0,0,1,0,1,0,3,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,7,1,0,1
