Mindat_id,Borates,Carbonates_nitrates,Halides,Native_elements,Other_unknown,Oxides_hydroxides,Phosphates_arsenates_vanadates,Silicates,Sulfates_chromates_molybdates_tungstates,Sulfides_and_analogues,Sulfosalts
10452.0,0,1,0,1,0,0,0,0,0,5,1
10591.0,0,3,2,2,0,3,0,15,4,9,0
10617.0,0,5,3,3,0,6,1,12,1,6,0
10618.0,0,4,0,1,0,3,0,1,3,4,0
10663.0,0,0,0,1,0,0,0,3,1,7,3
10687.0,0,0,0,0,0,1,0,2,1,5,0
10790.0,0,3,0,2,0,0,0,0,2,6,0
10867.0,0,0,0,0,0,0,0,0,0,6,1
10915.0,0,0,0,1,0,0,0,0,2,4,8
10917.0,0,0,1,0,0,0,0,0,0,2,1
10918.0,0,0,0,1,0,0,0,0,0,15,5
11127.0,0,0,0,0,0,1,0,5,0,10,2
11182.0,0,2,0,2,0,2,0,8,1,10,3
11307.0,0,5,2,2,0,3,0,17,3,9,1
11434.0,0,2,0,1,0,2,1,5,1,7,0
11459.0,0,2,0,1,0,0,0,2,1,6,0
11508.0,0,1,0,1,0,5,1,7,6,9,1
11605.0,0,1,0,0,0,1,0,6,0,5,1
11726.0,0,10,5,6,0,17,6,14,8,30,8
11734.0,0,0,0,0,0,1,0,1,3,7,0
11777.0,0,0,0,2,0,3,0,1,3,8,2
11803.0,0,6,1,2,0,2,1,4,6,4,4
11824.0,0,1,0,1,0,1,0,3,1,6,1
11886.0,0,1,2,1,0,3,0,3,0,6,0
11952.0,0,0,0,10,0,1,0,1,0,7,3
11973.0,0,1,0,0,0,1,0,4,1,7,0
12048.0,0,1,0,1,0,1,0,11,0,8,4
12053.0,0,1,0,1,0,3,0,3,2,9,5
12054.0,0,0,0,3,0,3,0,2,1,10,1
12057.0,0,1,0,0,0,3,0,7,0,7,0
12663.0,3,4,3,1,0,6,0,28,5,11,1
13126.0,0,2,0,3,0,2,0,7,4,11,5
13132.0,0,2,1,2,0,5,0,6,0,8,1
13203.0,0,7,1,3,0,6,1,4,24,9,2
13473.0,0,2,1,4,0,5,3,6,0,13,3
13474.0,0,2,1,0,0,2,0,1,1,3,0
13477.0,0,2,2,1,0,3,0,1,1,4,0
13482.0,0,6,0,0,0,0,3,3,1,2,0
13770.0,0,4,2,3,0,6,1,15,4,12,3
13826.0,0,2,2,0,0,4,0,12,1,16,7
13841.0,0,5,2,1,0,2,0,18,1,3,4
13949.0,0,4,0,1,0,4,0,6,0,7,0
13955.0,0,0,1,3,0,3,0,9,4,6,0
13958.0,0,2,1,0,0,1,0,2,0,2,0
14050.0,0,3,0,1,0,3,0,9,6,6,1
14096.0,0,0,0,1,0,2,0,2,0,10,0
14115.0,0,3,0,0,0,2,0,5,3,7,1
14297.0,0,1,0,0,0,2,0,0,0,10,0
14351.0,0,2,0,0,0,0,2,2,0,0,0
14413.0,0,4,2,7,0,6,0,19,4,22,16
14738.0,0,2,0,0,0,4,2,5,0,2,0
14752.0,0,4,0,3,0,4,0,5,1,22,21
14853.0,0,1,0,1,0,3,0,3,1,8,0
15187.0,0,4,3,2,0,8,0,5,7,16,2
15213.0,0,3,0,2,0,3,0,4,0,11,3
15217.0,0,1,0,1,0,1,0,0,0,4,0
15806.0,0,0,0,0,0,7,0,0,0,7,6
15930.0,0,0,0,0,0,0,0,0,0,3,1
15963.0,0,2,0,2,0,1,0,5,1,7,1
15998.0,0,9,1,3,0,11,1,34,4,17,0
16033.0,0,2,1,2,0,8,0,5,3,15,4
16144.0,0,3,1,0,0,2,3,5,1,5,0
16242.0,0,9,0,1,0,5,1,15,7,9,3
16397.0,0,1,2,4,0,4,0,8,0,22,4
16404.0,0,1,0,1,0,1,0,1,1,4,0
16510.0,0,1,0,0,0,1,0,5,2,6,1
16722.0,0,0,0,0,0,2,0,1,0,9,2
16723.0,0,1,0,2,0,3,0,2,4,9,1
16762.0,0,2,1,1,0,3,6,3,2,9,1
17046.0,0,6,0,0,0,2,0,17,3,17,3
17053.0,0,4,0,0,0,1,0,3,0,4,0
17055.0,0,1,3,5,0,6,0,15,1,10,7
17154.0,0,0,0,2,0,0,0,1,0,9,0
