Deposit_type,resolved,unknown
IOCG,33.33333333333333,66.66666666666666
Magmatic sulfide,54.166666666666664,45.83333333333333
Porphyry,82.18954248366013,17.81045751633987
Sediment-Hosted,70.44025157232704,29.559748427672954
VMS,86.77248677248677,13.227513227513226
