continent_approx_original,resolved,unknown
Africa,63.78378378378379,36.21621621621622
Asia,79.36507936507937,20.634920634920633
Europe,78.88888888888889,21.11111111111111
North_America,78.61111111111111,21.38888888888889
Oceania,78.90625,21.09375
Other,75.0,25.0
South_America,78.61635220125787,21.38364779874214
