Mindat_id,latitude,longitude,litho_raw,litho_class,api_status
205844.0,-17.5333333333,-51.6,"sand, clay, gravel; sedimentary rocks",other,ok
205857.0,-28.6333333333,-69.8833333333,intrusive igneous rocks,other,ok
205858.0,-22.9666666667,-69.0583333333,sedimentary rocks,other,ok
205859.0,-27.7833333333,-69.2333333333,intrusive igneous rocks,other,ok
205860.0,-22.975463130546,-69.061440941728,sedimentary rocks,other,ok
205861.0,-21.9538888889,-68.7355555556,sedimentary rocks,other,ok
205862.0,-20.9016666667,-68.8852777778,sedimentary rocks,other,ok
205864.0,-22.9877777778,-69.0763888889,sedimentary rocks,other,ok
205922.0,-31.3,-69.3666666667,sedimentary rocks,other,ok
205923.0,-27.2666666667,-66.65,sedimentary rocks,other,ok
205926.0,-27.4,-66.55,sedimentary rocks,other,ok
205927.0,-27.2833333333,-66.5666666667,sedimentary rocks,other,ok
205928.0,-26.3,-67.9,sedimentary rocks,other,ok
205929.0,-27.3833333333,-66.2166666667,sedimentary rocks,other,ok
205930.0,-30.0,-69.1666666667,sedimentary rocks,other,ok
205931.0,-31.963613491568,-70.053673983493,sedimentary rocks,other,ok
205942.0,-22.4666666667,-68.9666666667,sedimentary rocks,other,ok
205943.0,-23.3,-69.2333333333,sedimentary rocks,other,ok
205944.0,-22.37964284915,-68.914602851868,sedimentary rocks,other,ok
205945.0,-21.9166666667,-69.8333333333,sedimentary rocks,other,ok
205947.0,-22.4166666667,-68.95,sedimentary rocks,other,ok
205949.0,-32.4075,-70.425,intrusive igneous rocks,other,ok
205952.0,-28.5,-70.3,intrusive igneous rocks,other,ok
205981.0,46.9897222222,74.9872222222,intrusive igneous rocks,other,ok
205983.0,52.3333333333,62.1833333333,clay; sedimentary rocks,other,ok
205985.0,51.846900508083,74.291111826897,sedimentary rocks,other,ok
206003.0,-5.715,-79.2069444444,intrusive igneous rocks,other,ok
206004.0,-13.9291666667,-75.35,sedimentary rocks,other,ok
206005.0,-17.097725754867,-70.627246168525,sedimentary rocks,other,ok
206009.0,-6.08333333333,-79.2833333333,sedimentary rocks,other,ok
206135.0,45.5666666667,22.2333333333,"Major:{gravel}, Minor{sand,clay}; sedimentary rocks",other,ok
206138.0,45.55,22.35,"Major:{gravel}, Minor{sand,clay}; sedimentary rocks",other,ok
206142.0,50.4666666667,19.6166666667,sedimentary rocks,other,ok
206145.0,58.9666666667,152.683333333,sedimentary rocks,other,ok
206152.0,54.2833333333,157.666666667,sedimentary rocks,other,ok
206153.0,59.7166666667,150.316666667,intrusive igneous rocks,other,ok
206154.0,59.25,153.766666667,intrusive igneous rocks,other,ok
206156.0,53.75,126.616666667,intrusive igneous rocks,other,ok
206157.0,54.05,89.5666666667,sedimentary rocks,other,ok
206163.0,41.0977777778,70.1258333333,intrusive igneous rocks,other,ok
206169.0,40.7769444444,69.7791666667,intrusive igneous rocks,other,ok
206190.0,11.8166666667,125.25,sedimentary rocks,other,ok
206191.0,9.43333333333,122.7,sedimentary rocks,other,ok
206195.0,9.58333333333,122.566666667,sedimentary rocks,other,ok
206196.0,9.56666666667,122.633333333,sedimentary rocks,other,ok
206199.0,13.5,121.883333333,sedimentary rocks,other,ok
206202.0,13.424352095715,121.98377421588,sedimentary rocks,other,ok
206205.0,9.6002021352618,125.55099008653,sedimentary rocks,other,ok
206207.0,7.55,126.166666667,sedimentary rocks,other,ok
206208.0,7.59166666667,126.066666667,sedimentary rocks,other,ok
206210.0,7.35,126.016666667,sedimentary rocks,other,ok
206211.0,6.56666666667,124.4,sedimentary rocks,other,ok
206223.0,40.5775,40.9045,intrusive igneous rocks,other,ok
206296.0,39.375,46.0227777778,sedimentary rocks,other,ok
206306.0,-5.01666666667,141.216666667,sedimentary rocks,other,ok
206307.0,-5.06666666667,141.333333333,sedimentary rocks,other,ok
206313.0,-24.2,-65.8666666667,sedimentary rocks,other,ok
206317.0,-32.1377777778,-69.4391666667,sedimentary rocks,other,ok
206318.0,-32.25,-69.4333333333,sedimentary rocks,other,ok
206321.0,-32.4166666667,-69.0833333333,sedimentary rocks,other,ok
206322.0,-32.4833333333,-69.1,sedimentary rocks,other,ok
206330.0,9.69722222222,-83.3583333333,sedimentary rocks; sedimentary,other,ok
206334.0,23.7083333333,95.5166666667,sedimentary rocks,other,ok
206449.0,53.535,-127.2375,feldspar porphyritic intrusive rocks; sedimentary; sedimentary rocks,other,ok
206849.0,-3.578908312764,-78.433699622227,sedimentary rocks,other,ok
206850.0,0.333055555556,-78.5830555556,intrusive igneous rocks,other,ok
206851.0,-3.6,-78.5,sedimentary rocks,other,ok
206852.0,-1.56638888889,-79.1330555556,sedimentary rocks,other,ok
