continent_approx_original,other,resolved,unknown
Africa,16.216216216216218,30.810810810810814,52.972972972972975
Asia,62.22222222222222,37.46031746031746,0.31746031746031744
Europe,5.0,95.0,0.0
North_America,5.833333333333333,93.88888888888889,0.2777777777777778
Oceania,10.15625,89.84375,0.0
Other,37.5,62.5,0.0
South_America,64.77987421383648,35.22012578616352,0.0
