Mindat_id,litho_class,age_category,Deposit_type
17460.0,felsic,Precambrian,VMS
17692.0,felsic,Paleozoic,VMS
17816.0,felsic,Cenozoic,Porphyry
18255.0,felsic,Unknown,Porphyry
18270.0,volcanic,Cenozoic,Porphyry
18379.0,volcanic,Precambrian,Magmatic sulfide
18441.0,felsic,Mesozoic,Porphyry
18571.0,felsic,Precambrian,VMS
18578.0,felsic,Precambrian,VMS
18580.0,felsic,Precambrian,VMS
18581.0,felsic,Precambrian,VMS
18583.0,felsic,Precambrian,VMS
18672.0,carbonate,Paleozoic,VMS
18790.0,mafic,Mesozoic,VMS
18837.0,felsic,Unknown,IOCG
18839.0,felsic,Precambrian,VMS
18963.0,metamorphic,Unknown,Magmatic sulfide
19036.0,volcanic,Precambrian,Sediment-Hosted
19062.0,carbonate,Unknown,IOCG
19089.0,carbonate,Precambrian,Sediment-Hosted
19265.0,felsic,Paleozoic,VMS
19493.0,felsic,Paleozoic,VMS
19949.0,volcanic,Cenozoic,Porphyry
19966.0,felsic,Precambrian,VMS
21099.0,felsic,Mesozoic,Porphyry
21132.0,metamorphic,Unknown,Magmatic sulfide
21589.0,felsic,Cenozoic,Porphyry
21605.0,volcanic,Precambrian,VMS
21638.0,volcanic,Precambrian,Magmatic sulfide
21755.0,volcanic,Mesozoic,VMS
22091.0,volcanic,Unknown,Magmatic sulfide
22183.0,felsic,Mesozoic,Porphyry
22204.0,felsic,Mesozoic,Porphyry
22531.0,siliciclastic,Mesozoic,Sediment-Hosted
22945.0,volcanic,Cenozoic,Porphyry
22987.0,metamorphic,Mesozoic,VMS
23128.0,metamorphic,Paleozoic,VMS
23197.0,volcanic,Paleozoic,VMS
23365.0,mafic,Precambrian,VMS
23547.0,carbonate,Mesozoic,VMS
24511.0,volcanic,Unknown,Sediment-Hosted
24995.0,felsic,Precambrian,IOCG
25120.0,felsic,Mesozoic,Porphyry
25121.0,felsic,Mesozoic,Porphyry
25286.0,carbonate,Unknown,Sediment-Hosted
25293.0,siliciclastic,Paleozoic,Sediment-Hosted
25303.0,mafic,Precambrian,VMS
25444.0,siliciclastic,Unknown,Porphyry
25581.0,felsic,Cenozoic,Porphyry
25613.0,felsic,Cenozoic,VMS
25693.0,volcanic,Precambrian,VMS
25845.0,felsic,Cenozoic,Porphyry
25904.0,mafic,Cenozoic,Porphyry
25940.0,volcanic,Precambrian,VMS
25949.0,felsic,Mesozoic,Porphyry
25958.0,mafic,Unknown,Magmatic sulfide
26138.0,mafic,Paleozoic,VMS
26155.0,volcanic,Mesozoic,Porphyry
26201.0,mafic,Paleozoic,VMS
26314.0,mafic,Unknown,Magmatic sulfide
26538.0,metamorphic,Unknown,IOCG
26686.0,felsic,Unknown,Porphyry
26702.0,felsic,Precambrian,Sediment-Hosted
27056.0,mafic,Unknown,IOCG
27162.0,carbonate,Mesozoic,Porphyry
27717.0,volcanic,Precambrian,VMS
27934.0,felsic,Paleozoic,VMS
28042.0,volcanic,Precambrian,Sediment-Hosted
28095.0,volcanic,Mesozoic,VMS
28109.0,mafic,Mesozoic,VMS
28110.0,mafic,Mesozoic,VMS
28152.0,metamorphic,Mesozoic,VMS
28230.0,carbonate,Cenozoic,Porphyry
29703.0,felsic,Precambrian,VMS
30204.0,felsic,Mesozoic,Porphyry
30621.0,metamorphic,Precambrian,Sediment-Hosted
30673.0,volcanic,Unknown,Sediment-Hosted
30976.0,carbonate,Cenozoic,Porphyry
32440.0,mafic,Cenozoic,Porphyry
32728.0,carbonate,Unknown,VMS
32750.0,felsic,Unknown,IOCG
32790.0,volcanic,Unknown,VMS
33241.0,felsic,Precambrian,Porphyry
33954.0,metamorphic,Paleozoic,VMS
34420.0,felsic,Paleozoic,VMS
34428.0,carbonate,Paleozoic,VMS
35613.0,metamorphic,Paleozoic,VMS
36285.0,carbonate,Unknown,VMS
36363.0,metamorphic,Paleozoic,VMS
37441.0,felsic,Unknown,Porphyry
38508.0,siliciclastic,Mesozoic,Sediment-Hosted
42054.0,carbonate,Unknown,Sediment-Hosted
42058.0,carbonate,Unknown,Sediment-Hosted
43582.0,mafic,Cenozoic,Porphyry
43642.0,felsic,Mesozoic,Porphyry
44061.0,volcanic,Precambrian,VMS
44124.0,volcanic,Mesozoic,Porphyry
44460.0,mafic,Paleozoic,VMS
44769.0,volcanic,Precambrian,VMS
45680.0,siliciclastic,Precambrian,Sediment-Hosted
45788.0,siliciclastic,Unknown,Sediment-Hosted
45790.0,siliciclastic,Unknown,Sediment-Hosted
45920.0,felsic,Precambrian,VMS
46287.0,carbonate,Unknown,VMS
46329.0,mafic,Paleozoic,VMS
46331.0,metamorphic,Paleozoic,VMS
46414.0,felsic,Precambrian,VMS
46421.0,felsic,Paleozoic,VMS
46745.0,volcanic,Paleozoic,VMS
46971.0,volcanic,Unknown,VMS
47837.0,carbonate,Paleozoic,VMS
47950.0,mafic,Precambrian,Magmatic sulfide
48271.0,volcanic,Precambrian,VMS
48424.0,metamorphic,Paleozoic,VMS
50665.0,carbonate,Precambrian,VMS
50863.0,carbonate,Mesozoic,Porphyry
51058.0,felsic,Mesozoic,Porphyry
53487.0,felsic,Cenozoic,Porphyry
53669.0,volcanic,Cenozoic,VMS
54489.0,felsic,Cenozoic,Porphyry
56211.0,felsic,Precambrian,IOCG
56760.0,mafic,Unknown,Magmatic sulfide
56940.0,carbonate,Unknown,VMS
58352.0,mafic,Cenozoic,Porphyry
58783.0,mafic,Paleozoic,VMS
59571.0,mafic,Cenozoic,Porphyry
60113.0,mafic,Cenozoic,Porphyry
60164.0,carbonate,Mesozoic,Porphyry
62248.0,metamorphic,Cenozoic,Porphyry
62514.0,mafic,Unknown,Porphyry
63180.0,volcanic,Mesozoic,Porphyry
64183.0,metamorphic,Precambrian,VMS
64578.0,carbonate,Mesozoic,VMS
65283.0,felsic,Precambrian,VMS
65285.0,mafic,Precambrian,IOCG
66858.0,volcanic,Precambrian,VMS
66898.0,metamorphic,Precambrian,VMS
68115.0,carbonate,Precambrian,Sediment-Hosted
68188.0,metamorphic,Paleozoic,VMS
68257.0,metamorphic,Cenozoic,Porphyry
68700.0,carbonate,Unknown,Porphyry
71511.0,mafic,Precambrian,Sediment-Hosted
73136.0,felsic,Cenozoic,VMS
73233.0,volcanic,Cenozoic,VMS
73255.0,metamorphic,Mesozoic,VMS
75449.0,felsic,Mesozoic,VMS
81928.0,volcanic,Mesozoic,VMS
84746.0,felsic,Mesozoic,VMS
85223.0,felsic,Mesozoic,VMS
86332.0,felsic,Mesozoic,Porphyry
92443.0,felsic,Paleozoic,VMS
92495.0,felsic,Paleozoic,VMS
93923.0,metamorphic,Mesozoic,VMS
98618.0,felsic,Mesozoic,VMS
107252.0,felsic,Cenozoic,Porphyry
108163.0,felsic,Cenozoic,VMS
108197.0,felsic,Cenozoic,Porphyry
109677.0,felsic,Precambrian,VMS
109688.0,mafic,Precambrian,VMS
114858.0,siliciclastic,Mesozoic,Porphyry
122228.0,volcanic,Cenozoic,Porphyry
122266.0,felsic,Unknown,IOCG
122759.0,mafic,Precambrian,Magmatic sulfide
122767.0,mafic,Precambrian,Magmatic sulfide
122804.0,felsic,Mesozoic,Porphyry
122928.0,siliciclastic,Paleozoic,Porphyry
122945.0,mafic,Cenozoic,Porphyry
122949.0,mafic,Precambrian,VMS
122950.0,felsic,Precambrian,Porphyry
122951.0,mafic,Precambrian,Porphyry
123105.0,metamorphic,Precambrian,Sediment-Hosted
123423.0,mafic,Unknown,Magmatic sulfide
124002.0,siliciclastic,Precambrian,Sediment-Hosted
125608.0,mafic,Mesozoic,VMS
126508.0,metamorphic,Precambrian,Sediment-Hosted
126948.0,carbonate,Precambrian,Sediment-Hosted
127294.0,metamorphic,Precambrian,IOCG
127444.0,felsic,Paleozoic,Porphyry
131133.0,volcanic,Cenozoic,Porphyry
131315.0,volcanic,Paleozoic,VMS
131316.0,volcanic,Unknown,VMS
132210.0,metamorphic,Unknown,Porphyry
132814.0,carbonate,Precambrian,Porphyry
134565.0,felsic,Cenozoic,Porphyry
134676.0,volcanic,Mesozoic,Porphyry
134745.0,mafic,Precambrian,IOCG
135234.0,siliciclastic,Unknown,Sediment-Hosted
135235.0,siliciclastic,Unknown,IOCG
135329.0,felsic,Cenozoic,Porphyry
136123.0,siliciclastic,Unknown,Porphyry
142697.0,volcanic,Mesozoic,Porphyry
142700.0,felsic,Precambrian,Porphyry
143447.0,metamorphic,Unknown,Magmatic sulfide
143624.0,felsic,Unknown,Magmatic sulfide
143718.0,mafic,Unknown,Porphyry
143892.0,felsic,Paleozoic,Porphyry
144548.0,mafic,Precambrian,IOCG
144713.0,mafic,Unknown,Magmatic sulfide
144955.0,mafic,Paleozoic,VMS
144957.0,mafic,Paleozoic,VMS
144964.0,mafic,Paleozoic,VMS
