Deposit_type,other,resolved,unknown
IOCG,16.666666666666664,74.44444444444444,8.88888888888889
Magmatic sulfide,34.375,50.0,15.625
Porphyry,36.76470588235294,60.45751633986928,2.7777777777777777
Sediment-Hosted,28.30188679245283,58.490566037735846,13.20754716981132
VMS,15.079365079365079,74.60317460317461,10.317460317460316
